,PSD1,PSD2,PSD3,PSD4
34,2.076426298433288,1.9010343947003976,1.7236766509706432,1.815133065316729
37,1.1732483831698357,0.9667708337740948,0.9276565943772876,1.0014932734229929
40,1.2224492981148003,0.8948278834869815,1.1279320947286264,1.0448533263635762
41,1.3391979854558531,1.297982242748716,1.401721494831289,1.192874638272248
42,1.7892208431855228,2.113528908214532,1.907571654037133,2.01924659307225
43,0.2964441287424789,0.4788398870972017,0.3298944662122942,0.271927168804039
44,0.3553050033314066,0.2235839658762003,0.3790501903612964,0.3009126014380329
45,0.2854504587060534,0.4880563039201511,0.2749201693176419,0.3657448720965313
46,0.1769368659037795,0.0809884472192104,0.1605503177042098,0.1363640217145251
47,0.1046201809291454,0.0979860767119322,0.1134131938054547,0.0658127527817051
48,0.2604168429304335,0.2038772416981672,0.2744835580994005,0.3046416083629849
49,0.0231598518962076,0.12814336038481,0.02530810962656,0.0431365514120457
50,0.0640741259148902,0.0472684125024039,0.0665678909143637,0.0280000719810949
51,0.0727846039638818,0.0367759746609939,0.0777541851347026,0.098655767346694
52,0.0060798656733934,0.016125120010692,0.0052678347838661,0.0044537034968086
53,0.0053587502601128,0.0097799568727476,0.0046657002829542,0.0095697367557957
54,0.0289366279239837,0.0032570747074644,0.0318258408436514,0.0323805384239877
55,0.0052262113229527,0.016472622110318,0.0052941854086632,0.0154076121385776
56,0.0011608550615142,0.0102106765771147,0.0012135780915536,0.0023972472654212
57,0.0119560148923222,0.0004964881116115,0.0120399305899692,0.0097470433178645
58,0.5570447950238436,0.7083358604670207,0.5602784289077672,1.6805615681937116
65,0.1528174367753283,0.2762979405626576,0.1497583338058747,0.6304033874753974
66,0.0031772218851408,0.0018480158359301,0.0035046775277472,0.0038407119743065
67,0.0007660158738358,0.0029710000886928,0.000722298853993,0.0024372598379978
68,0.001709522638995,0.0012935546260295,0.0019735933612936,0.0006684388883619
69,0.0010563710120109,0.0011109065651732,0.0012449607187736,0.0021551453132409
70,0.000369092295133,0.0002262941318682,0.0003001389888669,0.0004435835606996
71,0.0002426350366798,8.020543409601496e-05,0.000339197112621,0.0005444549693822
72,0.0004861757774074,0.0008529517670418,0.0006104952492255,0.0010252451789804
73,0.0003338329829256,0.0003568390690744,0.0002998519153324,0.0002832392939363
74,0.0002800971737914,0.0002479327996635,0.0003111054418941,0.0002263511365804
75,0.0004196325869401,0.0003328641005472,0.0004832696997327,0.0006493246104143
76,5.116895753967042e-05,0.0001278221415652,4.238374005407133e-05,6.528242778129776e-05
77,8.03872495463637e-05,3.258657818019895e-05,0.0001020211103692,0.0001179791005757
78,0.0001442478601281,0.0002063560673482,0.0002102312281775,0.0003061730992621
79,0.0001011304881095,0.0001875611610308,0.0001318589636379,4.464941766380761e-05
80,0.0001010108030294,5.769573411626124e-05,0.00011525111546,0.0001254148144522
81,0.0001159604424522,0.0001201671813828,0.0001524355777504,0.0001948872649338
82,4.114244510951628e-05,8.262391607457463e-05,5.506075106383616e-05,5.0640968601757547e-05
83,4.205974916696464e-06,4.535119299223683e-06,8.519508516425052e-06,9.668373242547002e-06
84,2.378230106091808e-05,1.5582424059165113e-05,3.666840037073563e-05,5.149485227784374e-05
85,1.349053349232989e-05,3.543679842547973e-05,2.515342687962417e-05,1.5890418582710287e-05
