,Delta_C1,Delta_C2,Delta_C3,Delta_C4
1,10.948700925866536,13.141996292797396,116.03674895588522,1536.0148271617418
2,7.502886943919917,10.356563125324492,76.44429677449634,1197.5397442211788
3,7.869961912343029,6.385103861160827,74.305602310343,1081.718765149819
4,12.30492864591469,7.234930433816655,79.87392978039989,2131.9261268257123
5,15.073051981377873,8.919944801917882,376.6656880356649,8881.899246638395
6,8.79141514064544,4.723443449295139,54.3307522473865,945.4334282701634
7,13.3618008473074,8.997857753747137,78.11198503683487,1395.8371923859058
8,9.070081544880065,7.28323042786265,55.268416397110805,1186.2091584390214
9,13.245025289516212,7.928203613341772,93.49344075655098,2158.1383657477995
10,22.168433389961294,13.561697340565964,112.54904793121806,1934.2513433676984
12,11.673516064077129,9.354527702895428,280.42612871568883,3941.69150187717
13,7.979909413040771,7.812202085178653,71.52229907112938,1933.2081916403863
14,13.377657998226034,7.896552852454087,65.77277227729041,1471.0705240362624
15,16.17695036709582,5.470427133394747,90.65174546703123,1377.7029983164805
16,12.076314019630903,6.200703347398883,64.57002616094287,1789.449335260795
17,10.508619463799402,11.924027376606432,121.2558208942634,1463.2008313319252
18,14.46591755027116,16.563147862988924,264.0000388217651,2245.263173525177
19,10.920671423154044,5.843509168202349,21.745448742712853,941.6557155969464
20,9.695048102635075,7.582390865569684,25.03362757663809,1501.6191448802333
21,11.931635388512955,8.042334722075816,28.589541256827,1516.749376961247
22,17.120688255120513,8.132969740756003,30.2175972864148,1585.6854327103156
23,10.728537640131956,2.842120509403739,27.65475851389228,1337.253967030982
24,14.311127839458118,5.6898896474006175,37.94337640343285,1693.289885405373
25,11.663532382666652,4.833758640613775,40.01054184491652,972.7361700025048
26,8.385327299541727,5.9480069860945415,18.26945673761597,660.4203388197628
27,17.273443505804224,4.71535731186192,54.96172771481708,1507.5106810492252
28,14.272116975177582,6.951134246051502,32.633355842104564,1415.7786086607105
29,17.92713445609123,13.4464531620133,365.0546882227681,16004.127038508988
31,12.487894151816931,8.343930783496116,104.17414138192774,4940.7175841924445
32,6.149124561835553,4.118168625723315,75.13630320544029,997.3878468042192
34,17.52555911940332,7.203997851003535,99.15706904540689,3189.401122350516
35,10.67371457161973,5.1279921374733375,78.5936414766056,1859.929395477351
38,6.189311019937374,4.694857634432429,33.33528841259852,1287.097110099278
39,15.051245380054556,11.36744537295534,61.31026308500091,2094.7766327383188
40,9.963944659384143,4.497900747532055,38.19069048416251,1316.4715091638272
43,21.324590666229494,14.632093747776924,651.2099770003169,20562.52533276539
44,24.139065158206023,11.318113436475414,332.9313049551916,12515.842727915542
45,7.614329401865846,5.799664685879023,191.8751763119531,5012.650082003598
46,12.711568700214874,7.015984801415991,107.94790338783665,3237.7700836544327
47,3.7370642915417,3.150329057298568,36.28472581871903,532.7990477036273
48,4.931017076743792,8.255503320377757,31.15851957250556,747.287322142713
49,8.092045096807475,5.368946186971121,36.61468819925479,939.5714997968344
50,9.839874994447914,7.473317930395397,95.30360021609738,3633.549412779125
51,8.711682375657546,3.459639664104004,60.50975749431092,2208.900386678368
52,11.44449016903586,3.232731612941884,53.52775341905338,955.088416646902
53,12.010014340288729,5.3609455874997645,47.44138536564811,1155.6393365777408
54,8.601974848533983,4.035376097545584,65.9737970574189,1559.607529141564
55,17.14556558556159,9.227924629065516,79.347919972785,2299.679065914272
56,11.517326926511704,6.367361802611811,52.74753203300276,1217.992017861152
58,14.022076527774772,4.880743458852466,69.9169030518432,2336.744204705101
59,19.705191616706465,4.412063830654296,54.31181832063314,1490.4596646520583
60,9.377642690873287,3.615060806477943,262.6964697259309,6032.518923671846
61,8.57668680942177,5.2029319134725815,63.49331627941604,1011.9837039503708
62,16.092104072613985,11.186234386966916,232.1413561020221,6243.775137062982
63,7.81299620677237,2.783954864390472,249.8904842961411,7637.063650887712
69,7.033663674741835,6.264911341448338,51.99808772883349,1711.0211837256888
71,10.752653904002225,2.063034801441602,53.105410012310536,1486.696995313241
79,79.95590535637147,45.47876692823211,674.7544570676137,17237.062552144303
80,7.889936349149327,2.1488085547135825,205.87327288933875,6092.044832147794
82,9.79386488316462,2.255881457568808,50.38701007736839,1386.2597032412643
83,8.089628815627169,3.5513189837963477,41.04354213298696,1191.4713584859564
84,11.066698381621585,3.095807842855373,53.96237020133597,853.8096478197766
85,16.280628269932098,3.7274344966311768,60.56329105831003,1392.1391744217235
86,7.307460509893891,3.232453732087487,20.063007488259807,457.48269921986
87,19.27825681044167,7.188914984204743,102.01808933884732,2119.4873039743297
88,7.250197078796232,7.44159306771245,33.978170602159864,599.2893895763785
90,14.13024741949803,5.698377396824729,67.33953712745743,1067.2788077585749
91,7.144212360859193,5.417857192474736,57.34166750790016,1012.1555711765868
92,14.647086667579336,11.882738682397058,48.323207899174726,1447.1204814101277
93,15.640268209509989,5.549844690711595,68.94169541861238,1522.5221917692274
94,23.667254359001163,6.599735101974728,87.46524343923576,2132.584896308923
95,14.465129425978915,4.607028605064054,62.25272605530233,1243.319930087936
96,14.576450252183433,1.2450379448406053,51.89248821213065,1307.2305856874614
97,10.889464085655808,3.559898173586415,56.54278300281914,1030.197982055196
98,17.344284204583357,4.372693935055096,69.31828416408288,1492.9613968573703
102,13.984644345409835,24.28001869534692,115.779862981025,2623.4699684751545
103,10.935379446089534,7.2860356884877024,66.79103871622458,1429.95915822083
104,51.4599305152946,19.25678361848929,411.0438881394375,12571.574371366523
105,17.96541113562437,13.999277073996035,161.10956139236697,1271.4723459132938
106,6.807089232516296,3.9416183249424654,33.56101143726839,744.7045735556512
107,13.116446375397995,10.378460746811529,102.16067219942076,1900.0327962576373
108,14.652009301528627,3.143907818505112,56.62929154347772,1920.430455589832
109,10.446708984796476,4.962709110892165,40.04236567524985,664.1365413920379
110,5.646253303555584,2.381898600044813,59.45710245231581,795.0425718254053
111,16.560939302819936,4.873718836337355,117.15865654361532,2221.6406974292545
112,23.425190653674623,8.040098150494329,108.08002298774424,1988.5893908386363
113,7.792110501565409,3.0618885439250407,70.21381758687633,1104.6682032082954
114,6.9942311679737,16.23097074766401,88.87378524455251,2698.6739366277343
115,36.307251306806734,15.312555626888916,233.2166994060732,3258.886347156671
116,13.176705931041884,8.04942210490239,224.98368222353577,4124.160203326914
117,26.832575324386355,43.2290336524348,1100.9627105982931,19366.53108276318
118,55.61508160948711,17.950397635883746,340.8744415870651,5292.035531209512
119,8.695166737161019,6.850614237014313,1033.7576304841316,22809.58367717964
124,35.512239836972256,41.16208754358585,331.0136721592281,7375.082993601119
125,36.17370885173559,94.88654306531096,256.72753877181106,5475.880972677987
126,31.13010739897194,47.99585468208751,501.7336562790598,12139.3249042263
127,11.555670129812087,7.2583600309299054,88.73030812518985,1377.8506371790345
128,11.03693907908114,34.950294232130595,228.770510565422,3005.3417402874747
132,9.071848400875584,14.273379380302462,402.6115726423611,7052.206898835309
133,16.455368243808387,12.924874605053802,141.04603649372032,2078.1429352215214
134,9.810496615102153,3.969337735975617,47.05409940414654,675.0722495413556
135,7.464899900952976,4.038372483231223,58.337879461839634,981.2020122390692
136,8.064688493120109,4.334340226660025,78.62343543848871,1268.247850611771
137,11.264723872174002,11.267774731531526,75.01287839195709,1366.8809626014886
138,24.56313989934433,89.85558845171886,1206.8429866377414,15245.54835782644
141,14.00084736244722,3.1752637263282466,95.87289849157926,1769.827815224445
142,18.341528934979515,25.003379315804025,125.0120380215939,4963.294463082083
143,15.174537695899504,3.777383881687304,65.453155118936,859.4687890464809
145,21.69885676671081,14.926217589680846,1074.789751210109,19475.36665536685
148,15.999448739329637,13.888264997249768,619.0173202973508,11362.268586856257
149,9.530556444365086,10.48593490976904,256.7570970680851,4529.86500873447
150,19.59561848537554,35.81041510267458,630.9572804710255,11957.47151534174
151,15.125142190813524,4.783289928958012,104.59214808081909,2267.001357147418
152,9.679588870994394,4.957257535141678,129.10405357835512,1968.985756033639
153,14.213402854873245,5.791365994769945,73.93709837448546,1278.765130876524
154,8.643551722181634,1.8992434563725344,68.44120095132114,1162.7698353700102
155,8.941670109861303,3.452834111761736,90.73864593460198,1254.1527316293564
156,6.776148579217253,3.6386264961701302,65.04252729869435,1142.1244542987608
158,17.03730995083911,16.80829272574328,822.7742567000972,13252.19794579723
159,13.959035962990008,6.447690482948461,85.53548008754288,1341.7031254193685
160,13.33799932582598,12.579517233144648,407.23821732390365,7824.932907087739
161,17.099814977074615,11.500631804345458,337.7525179371771,5973.738585560152
164,24.774694218981058,30.11344329059616,143.87091056789006,1601.8013717608378
