,Theta_C1,Theta_C2,Theta_C3,Theta_C4
2,4255.408591127151,4018.587784057231,4368.508630879889,2059.147039132248
3,6349.366233833962,6004.31595373852,6718.033527968844,3402.2245905832942
5,2112.189148159835,2060.588357971804,2269.8098298878126,1188.4626819101477
6,3992.1895698717294,3692.5712411450622,4255.624333399258,2237.990065110896
7,2802.389522439814,2697.210473062054,2939.071206495689,1541.2885611127426
8,2696.573434218245,2541.9525333005317,2860.082993441663,1546.7931556320564
9,6135.7971416776345,5750.229250038369,6299.363083754528,3274.959577767098
15,7485.847508260997,7116.311143721048,7835.404058555459,4275.400632097983
16,7412.730936576158,7001.103518353702,7872.783794152558,4353.180008388166
17,3362.1328918499244,3161.39438615524,3475.608920785028,1965.5116552708116
18,3146.7429429543663,3138.4237649321663,3230.8446799280227,1884.8197355329328
19,3588.515174276973,3346.923179867681,3862.69025830543,2107.574583565812
20,1553.411009129957,1471.0924970491883,1631.544800504501,877.0821280361931
21,2411.2780746342305,2282.2631535543105,2511.128079685552,1465.137971650222
22,3314.0920205891543,3264.957822079767,3467.1861809427705,2076.229215233145
23,4694.371251583133,4419.973426422037,4924.378712441199,2893.3691551168317
24,5683.279678385272,5437.999831607111,5888.563402979078,3499.2215606697864
25,3615.849606041192,3471.044584464168,3825.208516817756,2247.223704918129
26,3053.02903108971,2805.329884540579,3274.9986090313087,1915.088821462382
27,1875.5245779224688,1734.4272409004298,1948.2468241371157,1147.03191219466
28,2940.8420272842586,2730.9989295945047,3048.303432477582,1833.2250122869557
29,4023.1192046798183,3849.0254225542058,4151.005631559025,2501.639480041273
30,6316.064747208721,6099.902990187491,6425.366826996829,4104.486034125401
31,3537.872278753335,3341.2215078012,3623.505900737509,2232.8936181036925
32,2467.703306053978,2436.93998475494,2628.934848148563,1647.8403412695552
35,8940.159272277873,8567.041674312706,9243.18243486028,5581.673362954423
37,2916.983444796714,2771.3591101528414,3119.1040552809527,1799.4181234155271
38,4171.951114323765,4092.6744124390175,4189.896835321781,2582.867137591817
39,1702.9401659071418,1595.2857517671596,1674.5614650084874,1029.4093722328566
40,2012.1787213513269,1925.4079524780504,1994.8219586946973,1255.4607251769798
41,1140.4796694285878,1087.2705133072243,1269.0444269949091,824.2767835798029
42,4853.659726156072,4711.576736780767,4867.942476198585,3161.160774108997
43,4483.803072509818,4246.525428713546,4649.7557777096345,2925.763163794074
44,4018.324340649146,3840.03869962096,4047.193393485437,2647.955126255691
45,1903.7536283359373,1978.972925590612,1983.2041696541733,1266.4506586134107
46,1991.5071697558435,1891.4733776370656,2056.1925785961607,1343.7470346191967
47,1390.715146198443,1334.81979799719,1480.0744339538453,932.7498726461636
48,4564.460213542828,4542.428164032267,4581.460886441042,2919.103404773697
49,3259.516427547833,3176.400782580351,3268.598776899561,2151.330135666999
50,2501.8958290251685,2335.5863993997823,2535.2957340028474,1576.5412413467093
51,2964.986854049589,2916.889368307641,2917.690888587412,1931.9510834299003
52,3962.1579588507993,3936.167387573174,4143.482299628772,2683.389492835806
53,2112.161979557244,2050.9984117915405,2137.015617612313,1450.5928122642126
54,1872.5883549106445,1815.3674373663675,2021.113706031657,1273.2940275304295
55,1163.507472132696,1181.2001845346258,1278.2967988967634,896.1641283760039
56,3909.148180940784,3747.3164318929385,3968.628102241986,2568.871541737002
57,2718.387674301234,2616.9394381888324,2704.3404472038446,1748.468473743982
58,7069.075526501543,6973.518177359909,7086.2343066811445,4634.449874510712
59,2722.034127405522,2689.249117258027,2886.778393213727,1911.5370696613156
60,9016.69288330604,8971.87994576826,9288.311607842224,6100.7348637677205
61,2560.020868508851,2375.361470009254,2600.302698230319,1680.1603279174217
62,5060.435392656382,4859.829774254728,5055.581024390211,3268.9659871013064
63,3173.5405072979224,3057.383174829486,3250.332621315461,2172.418907576837
64,3344.073505419624,3314.7055343994416,3388.0245535659096,2329.168845901043
65,3001.2823855240185,2910.6238038439387,2907.998585880988,1942.9095924320968
66,2732.035609708154,2715.959019265373,2732.3603295135363,1797.144018312306
67,2326.38417301662,2312.453295670486,2334.992019176247,1539.5952956780889
68,4606.853087675895,4236.430884588935,4707.787154694209,3105.532533098252
69,2555.008552357425,2537.757069794405,2491.763887712204,1687.168549979454
70,7028.180030608821,6739.83852812464,7317.633179698619,4810.891971281453
71,4304.936494037398,4398.000879978021,4468.33013645973,3097.8445547604424
72,7801.89318656153,7491.916528519574,7813.742961855272,5172.440835474809
74,1824.5321327082847,1787.668508312977,1903.8580859183244,1244.333166967837
75,1608.7231201915197,1573.822685901645,1645.6669523008486,1062.5733873309878
76,3468.6593133554725,3437.680301392559,3629.3519976171033,2398.80970730456
77,5185.565568536217,5027.40725322208,5421.345539525797,3554.5728420178752
78,3251.768406395309,3123.976015443318,3339.330151855381,2080.8975895646204
79,2834.9981714097003,2837.544989923984,2897.321013763657,1898.666750535624
80,6296.768633726017,6013.843299932454,6344.855119098478,4268.768773502296
81,4093.379967291608,3763.52814676361,3974.7152127149006,2667.0551352231355
82,3072.657212463556,3025.777437691725,2990.5818173473945,1960.0319979827425
83,5244.96844974423,5075.651862856024,5278.219827709081,3585.373729813095
84,2080.0276255934264,1957.1268753953564,2020.7707475951436,1343.422111132017
85,2176.741534688737,2112.214889912992,2129.2118756089094,1429.9460428030857
86,3107.420778631952,3014.602770120181,3131.422256699854,2106.4487930270784
87,3527.319184234202,3431.563403774112,3476.045523020324,2305.505319426883
88,3901.4053457611153,3830.745114142186,3829.984173276365,2537.797817174921
89,3500.3401377295468,3548.2870461970224,3623.056275077639,2415.974026054267
90,3630.780567423367,3530.9179228737826,3732.153047768849,2568.151056011923
91,2299.537257958743,2233.4515154930896,2353.6786288378144,1613.2610639876857
92,1086.9864424796174,1057.6853594674774,1134.163391898103,760.6801675805409
93,2446.6312007560127,2389.014731736704,2344.4961254474347,1597.925885215078
94,3537.6896142125547,3596.3931728928624,3634.454012196477,2438.3566813342823
95,4728.553302744121,4625.415926926313,4788.807971557313,3269.795447427092
96,4112.357976798252,3884.378501568115,4111.354026466878,2813.180878354188
97,3905.099187602896,3947.8464757485945,3943.428641924216,2701.1319190340278
98,2733.2896032199483,2644.366227843561,2722.550617862603,1852.3269865763195
