,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
1,714.8011522148406,15247.035205435332,17990.691785835927,18053.19058356582
2,1247.8041924560025,23063.21414376869,27058.332216229883,27193.86512944068
3,1314.7576304005318,25331.753001587284,29921.972973631186,30081.46926188925
4,1005.40438579866,18699.97908218434,21975.44406187827,22105.67539800325
5,983.8479723188811,15488.508968958018,18074.800650531262,18319.58120221839
6,1939.305834305749,33683.12181975813,38760.08896530958,39282.75749307632
7,2095.9225988405155,31801.771703281607,37215.18156847022,37754.23795381648
8,3373.688002751179,53465.367894367984,59637.8161201483,60678.60929134824
9,3406.034936688148,53768.27379837718,59144.3191330281,60044.36607987865
10,2398.415444230049,37007.64046060213,40808.66268769985,41601.77547890107
11,4034.196332313526,61506.29636323097,67921.48754152749,69655.84405233475
12,2413.417868196712,35556.02729458515,39224.83781716602,40034.273120979786
13,2887.8277098758117,41929.64797559905,45699.89968853226,46764.0588751833
15,1073.9885187000018,14583.191143440625,15874.258985674884,16320.283902692936
16,3653.197716919493,47305.782421374286,51473.15394184712,52745.63697924155
17,3487.705598109779,45286.370791138994,49204.88463969356,50612.76780703462
18,1539.7613586524578,19763.279970233405,21132.788431197976,21600.144002940626
19,3045.3583375349344,40565.81162236233,43794.8458905037,44936.12685211029
21,3226.95572083305,32722.073935570457,34641.86374789297,35583.02837869883
22,4083.102619366928,37333.16708437161,39520.27383240114,40383.18477744406
23,3692.969452878353,32287.721333859878,34046.92664772462,34985.00912225922
25,3668.8985670688976,29026.72624980316,30804.176034250584,31769.873228496686
26,3148.109617797375,21356.278789579912,22417.60703895368,23035.01067430196
27,3340.9689645345743,19387.72220598442,20618.737218442388,21173.117446771088
28,7027.661866357796,38582.52455766371,39756.74593169365,40145.994583546366
29,5217.244541503253,24481.337728149323,23996.85768358215,24700.55045842092
30,8432.514769381281,37508.44465315257,36546.69046148362,37583.43043852257
31,16938.521918749513,71054.19343447957,69448.20684002046,71376.43602489476
33,12524.407442056552,48659.87287294064,47603.98408550649,48640.79414874805
34,9931.273083528436,39055.163770480416,38059.59835716877,39021.22356152508
35,8464.209780765306,31029.337572433804,30663.65772805277,31478.027556222733
36,16108.25970619014,55839.612077065336,55398.95153977082,56977.24953860364
37,8116.214535862732,27182.397506983565,27074.27876315799,27810.96587776588
38,4674.096054173986,14605.478554540035,14894.277835774692,15250.79504822462
39,7953.812040915839,24566.309207594742,24712.260756777127,25367.63010094984
40,5347.59042302844,16675.691532584722,16314.350821539092,16863.55678045867
41,18603.46833009813,55942.96974034799,55517.50022147407,56991.07562677917
42,16406.481793223895,49560.04196500968,49362.62523011223,50464.76990839951
43,13755.134464454351,40833.50735905248,40410.29715939086,41483.68644071313
44,9472.580727983142,28319.723033253893,28242.848779844244,28657.836669782664
45,12877.658697307335,36081.81433304666,35384.626998765954,36495.408463909625
46,22934.78275342659,64013.51333452805,63389.14199100928,64883.87161510956
47,7041.133642116709,19243.7231711089,19094.04856377332,19564.17380111372
48,12977.274549514135,34845.1819499929,34589.56399332974,35348.91994505634
49,9360.912029822595,24861.416669751256,24663.603770334965,25114.759472366022
50,9127.211675062645,23948.89510539333,23826.50957106784,24405.71196730135
51,9950.753436595522,25542.097106952468,25577.73728169608,26049.11097232323
52,21228.26772218666,54794.56827123232,54350.82141062196,55414.69350024302
53,13914.516131622033,35097.29216165845,34246.22144351234,35278.40703984344
54,28030.30880052602,68967.46494447814,68145.00034880015,69161.5765519212
55,19564.95759557428,48325.056157593775,47887.7956342406,48706.71984736702
56,9336.32480808111,22822.57432636824,22640.393440014497,22992.836028866524
58,30764.21970921844,71018.49222645102,68651.72355270464,69974.06929243884
59,21044.19805417458,46718.17097036338,45559.70871318128,46370.98110732909
60,15753.47857507428,34959.83294920457,33720.73199808009,34368.78130160712
61,14685.150336545188,31988.0577957442,31031.943716872163,31542.578713233142
62,23237.937025281208,49737.31902279686,48592.50548355375,49655.677379246525
65,10088.03200280038,21190.06946489241,20767.4743616653,21407.585417379432
66,12486.816596747787,24495.838347047884,24008.713013386667,24405.741181096757
67,18062.570194231957,35176.90095359954,34453.132634318186,35128.123420944816
68,12549.647990894267,24043.05131022573,23601.80852220277,24133.343866740102
69,12851.955973658136,24761.18920773789,24312.718442775986,24853.16720518846
70,20865.15969062645,39937.18194415503,39163.37590045553,40002.197018830935
71,9852.742282482375,18641.074193029228,18369.548477008186,18742.061587348308
72,13965.80890558001,26348.263169314472,25735.219218242823,26207.49845381055
73,14138.399192977791,26287.615739429835,25893.86888831749,26482.97408046872
74,13287.476091433364,24630.077329816817,24115.984792150597,24610.599910045585
75,12136.099376065657,21619.755657770864,21206.235934409466,21582.278307627887
76,8348.74403903774,14405.429052983258,14031.29533678547,14350.912793947926
77,13401.0639339339,22692.523282230628,22325.37383487841,22754.12881215279
78,4659.724841223479,7850.846730008698,7625.594670997496,7756.384031883107
79,14765.841613994393,24285.679694171275,23769.98984354058,24117.60846727403
80,11527.72603684576,19072.399299263023,18607.252920742645,18962.209981384814
81,19962.867043775543,32921.49538817809,31903.74630552984,32647.40355376617
82,17161.93522157255,28340.59672934731,27680.916457499658,28119.827659256684
83,12391.801887927317,20259.485154163274,19631.25140821021,19955.029452345145
84,5984.532956383362,9773.859713234124,9445.449882015491,9590.893950258116
85,15059.64559761203,24616.7068276734,23846.261457263965,24243.14012875029
86,13391.994497234173,21529.944066090666,21176.09485404385,21480.642672865342
87,34209.187108531754,55372.49660464254,53967.22413457508,54839.03453774719
88,41028.94038063052,65600.61451168617,64056.5913050471,65344.91551828115
89,17918.232894107812,28413.24667122579,27837.01738877254,28316.13303511748
90,22820.301855755315,36643.63541592837,35517.035730806,36299.43722267795
91,19036.269183278117,30658.35713645804,30253.06866995244,30632.84898314123
92,19976.84900176131,32051.077082403324,31270.281979015475,31753.93816248917
93,21174.49119309202,33509.66678644487,32773.92015758263,33248.08626732887
94,14372.4771479031,22730.352092690213,22167.053346402645,22531.11340393981
95,11939.63595688437,19268.015833422265,18847.824055887308,19101.928953567367
96,9732.27368043898,15616.967422580756,15383.529090495384,15533.296000657563
97,13983.643390283953,22038.54450666574,21632.287486670943,21855.881970115217
98,10600.56573129806,16815.3559191013,16518.90179453616,16740.59650276598
99,22816.96632845668,35836.78769359822,35033.125153137546,35541.34400339941
100,9303.60044604667,14568.110491173124,14382.009977818796,14600.687173376116
101,31382.3753871699,48541.91837988108,47721.67739284098,48400.12246102401
102,43155.01822498814,67113.24936002842,65944.21110678725,66577.36962844266
103,26300.379120721416,40425.784450337545,39919.62712846726,40532.972138549856
104,10649.248563683892,16434.614052661793,16055.8672238833,16378.018101251306
105,23144.642207176577,35782.91408115455,35349.64902197079,35738.81648994686
106,13631.407987048931,20981.476660721128,20566.53545275805,20793.046747838165
107,6608.189945185915,10249.62079369191,9994.978389535978,10166.13419574909
108,11316.7535932339,17126.626145641058,16876.16233597598,17010.739626611776
109,24513.430314505076,36932.31750542216,36312.862933950855,36597.64697011744
110,17563.675650078705,26859.55570864523,26440.51542393044,26704.674105419093
111,8199.612061376683,12225.662865387414,11971.158411838103,12092.693152618464
112,10193.656666119732,15225.30405561827,14860.004530975357,15040.079999359705
113,11399.684268455214,17014.640169942493,16619.996823965805,16835.00433765413
114,12916.711650966186,19219.830056335777,18754.588433779478,19027.738348471303
115,19860.951006807896,29730.960247086037,29031.67325867053,29572.139153369564
116,19791.50788030149,29193.02185944174,28774.877265393527,29041.454101642797
117,34394.22750978696,50678.66436283312,49714.69868841936,50426.86278822295
118,34851.65670275681,50580.37081713007,49837.27561713045,50553.85698331869
119,45346.906465845066,66052.77152911929,64534.245760294136,65768.6423394811
120,11153.853169196327,16085.72977617012,15884.443697400658,15939.96523355762
121,8710.513201198752,12670.03989944611,12237.803420712871,12405.233288855752
122,15991.75212242817,23104.734269857538,22569.009551751973,23007.19645469891
123,30184.614860361533,43266.869780138346,42420.469041216194,42811.44879478584
124,20711.633308837118,29963.50430512047,29355.999319301103,29646.94989986688
125,25799.79977580927,36982.83608938045,36151.58836436509,36781.18923034512
126,36781.37992470572,52359.04863346201,50287.578268562094,52054.60073447216
127,20374.49345510753,28546.60947423015,27339.304258509743,29115.21487468579
128,3979.3712337637417,5611.799843984034,5274.059531481142,5360.528094132132
129,18457.414906225807,25025.697337483467,24362.64474604365,24920.94736855413
130,23936.855319659662,33301.72848258312,31598.53851514166,32272.27759834807
131,8757.20048384742,12074.663632482088,11711.80475039204,11868.30120060979
132,5553.185139184485,7720.988254822349,7248.832015410331,7470.960230266573
133,30592.866760643978,42752.52203130029,40623.10964869405,41501.589584795016
134,16863.977146100442,23238.417855870302,22291.16681681517,22723.4656215226
135,25434.26881046239,35176.98117477681,33376.54356250729,34044.08561392044
136,25026.229584938646,34301.954402101896,32876.88778073254,33663.051395827206
137,8106.937595806796,11114.2273493777,10531.712032913074,10786.91192537562
138,29994.674070398505,41483.17762532951,39446.78509328143,40510.95484809903
139,20791.643582155742,28959.594451088014,27304.135859339003,28122.421729786856
140,22630.094292190493,31389.347101947613,29457.32977097579,30185.437287528104
141,14313.087858306986,19235.207058854976,18659.48401955288,18975.140589209543
142,18229.821861611752,23653.16300272865,22516.755160575314,22790.86996458888
143,34820.83066218103,44745.40931044234,42875.6601879176,43505.06938289693
144,36587.00189337801,46759.02551482329,44314.2234029927,45016.36500649749
145,33156.25538748213,42494.910399226086,40510.08638387519,41349.19022195615
146,38408.99160929663,49359.30692589163,46811.54832630676,47710.84631622879
147,41746.76597940794,52463.48048449415,50685.58152840632,51397.71777959408
148,21861.101698123908,28917.706846594327,26757.599551571657,27015.56752681825
149,37816.954207359646,47929.70410328845,46002.470569822064,46540.25394263774
150,25222.37777856344,31810.64329592142,30607.11289149219,30927.19934694824
151,32955.75527247246,41585.93768738084,39973.58487870718,40298.80378588996
152,35003.24774293558,44205.27564959103,42395.369463643634,42918.60518356135
153,19237.445560867407,24312.310896979863,23198.2279490516,23504.43976293901
154,19228.54293173223,24113.927031319585,23019.29075492692,23338.34041049352
155,30822.152689399896,39331.04422909109,37236.25679052432,37678.72702644935
156,22546.142867489125,28013.92336650057,26861.11338604072,27199.065488675427
157,44607.09006477214,55419.77264877765,53495.14862928829,53895.31454323784
158,9406.779530416035,11729.567871256831,11070.058155832709,11273.034244974227
159,27995.614565077616,35308.45281464448,33265.35976501252,33780.7125864698
160,13608.07559949792,16792.080393738863,16275.14297619914,16347.80744057538
161,22252.17113308696,28251.027080351814,26860.83755012796,26935.258599496134
162,23792.898457264768,28930.697894803638,28017.965742467728,28120.00064493462
164,10687.487594787965,13044.317054480096,12757.68747482476,12752.27956988938
165,4961.406304713631,5680.110487730071,5805.598093428814,5834.202874152077
166,21766.10785367216,27324.15087661504,25987.131834404125,26081.911726688395
167,25935.07274942904,31758.81956121921,30437.021690480746,30626.04248554345
168,25426.032846378977,31504.866536737427,29894.87094609352,30160.39307936954
169,7931.558962857526,9942.789207922093,9300.100959647814,9539.53335084708
170,15084.513423266626,18614.64765318509,17667.546366009312,17842.07912981913
171,8280.326429066074,10536.670707971578,9731.291673553977,9903.86385646926
172,28471.721978964437,35157.53844233584,33428.27176983097,33744.40919247637
173,10275.265915146998,12312.326999036904,12024.74310200632,12128.929073083673
174,16519.295399700488,20302.682201789867,19422.538050199302,19679.643336528778
175,23333.681991378133,28894.88418402633,27273.561610858065,27542.0851877709
176,18477.256228924347,22701.98177167218,21414.371488063294,21519.93870648004
177,42031.93733873643,51150.13483394401,48981.92760904466,49108.76252824531
178,5116.149473092496,6292.146423745159,6294.480671237408,6373.870040167585
179,34414.55002770998,40556.44390875419,40192.846249295006,40478.0581273142
180,20069.2557879639,24270.497881461797,23242.14961823177,23393.724507909923
181,14151.61658457837,17402.589800526042,16636.85686715996,16683.12824670268
182,12055.598767144544,14966.33471916772,14183.623301522804,14195.263530609658
183,17173.87836916206,21269.50284790092,19985.83566618181,20098.73082721886
184,44134.70096463344,54566.73369481369,51148.69206256651,51669.12768660405
