Datetime,valueACC
2024-10-09 13:06:46.597210,"[35, 0, 52]"
2024-10-09 13:06:46.628460,"[36, 0, 52]"
2024-10-09 13:06:46.659710,"[36, 0, 52]"
2024-10-09 13:06:46.690960,"[36, 0, 52]"
2024-10-09 13:06:46.722210,"[36, 0, 52]"
2024-10-09 13:06:46.753460,"[36, 0, 52]"
2024-10-09 13:06:46.784710,"[36, 0, 52]"
2024-10-09 13:06:46.815970,"[36, 0, 52]"
2024-10-09 13:06:46.847220,"[36, 0, 51]"
2024-10-09 13:06:46.878470,"[36, 0, 52]"
2024-10-09 13:06:46.909720,"[36, 0, 52]"
2024-10-09 13:06:46.940970,"[36, 0, 52]"
2024-10-09 13:06:46.972220,"[35, 0, 52]"
2024-10-09 13:06:47.003470,"[36, 0, 51]"
2024-10-09 13:06:47.034730,"[36, 1, 52]"
2024-10-09 13:06:47.065980,"[36, 0, 51]"
2024-10-09 13:06:47.097230,"[37, 0, 52]"
2024-10-09 13:06:47.128480,"[37, 0, 51]"
2024-10-09 13:06:47.159730,"[36, 0, 51]"
2024-10-09 13:06:47.190980,"[36, 0, 51]"
2024-10-09 13:06:47.222230,"[35, 0, 52]"
2024-10-09 13:06:47.253490,"[35, 0, 52]"
2024-10-09 13:06:47.284740,"[36, 0, 52]"
2024-10-09 13:06:47.315990,"[36, 0, 52]"
2024-10-09 13:06:47.347240,"[35, 0, 52]"
2024-10-09 13:06:47.378490,"[35, 0, 52]"
2024-10-09 13:06:47.409740,"[35, 0, 52]"
2024-10-09 13:06:47.440990,"[35, 0, 52]"
2024-10-09 13:06:47.472250,"[35, 0, 52]"
2024-10-09 13:06:47.503500,"[35, 0, 52]"
2024-10-09 13:06:47.534750,"[35, 0, 52]"
2024-10-09 13:06:47.566000,"[36, 0, 52]"
2024-10-09 13:06:47.597250,"[35, 0, 52]"
2024-10-09 13:06:47.628500,"[35, 0, 52]"
2024-10-09 13:06:47.659750,"[35, 0, 52]"
2024-10-09 13:06:47.691010,"[35, 0, 52]"
2024-10-09 13:06:47.722260,"[35, 0, 52]"
2024-10-09 13:06:47.753510,"[35, 0, 52]"
2024-10-09 13:06:47.784760,"[35, 0, 52]"
2024-10-09 13:06:47.816010,"[35, 0, 52]"
2024-10-09 13:06:47.847260,"[36, 0, 52]"
2024-10-09 13:06:47.878510,"[36, 0, 52]"
2024-10-09 13:06:47.909770,"[35, 0, 52]"
2024-10-09 13:06:47.941020,"[35, 1, 52]"
2024-10-09 13:06:47.972270,"[35, 1, 52]"
2024-10-09 13:06:48.003520,"[35, 1, 52]"
2024-10-09 13:06:48.034770,"[35, 0, 52]"
2024-10-09 13:06:48.066020,"[35, 0, 52]"
2024-10-09 13:06:48.097280,"[35, 0, 52]"
2024-10-09 13:06:48.128530,"[35, 0, 52]"
2024-10-09 13:06:48.159780,"[35, 0, 52]"
2024-10-09 13:06:48.191030,"[35, 0, 52]"
2024-10-09 13:06:48.222280,"[36, 0, 52]"
2024-10-09 13:06:48.253530,"[36, 0, 52]"
2024-10-09 13:06:48.284780,"[35, 1, 52]"
2024-10-09 13:06:48.316040,"[37, 0, 52]"
2024-10-09 13:06:48.347290,"[36, 0, 51]"
2024-10-09 13:06:48.378540,"[36, 0, 52]"
2024-10-09 13:06:48.409790,"[36, 0, 51]"
2024-10-09 13:06:48.441040,"[35, 0, 51]"
2024-10-09 13:06:48.472290,"[36, 1, 52]"
2024-10-09 13:06:48.503540,"[37, 1, 51]"
2024-10-09 13:06:48.534800,"[37, 0, 51]"
2024-10-09 13:06:48.566050,"[36, 1, 51]"
2024-10-09 13:06:48.597300,"[36, 1, 51]"
2024-10-09 13:06:48.628550,"[37, 1, 51]"
2024-10-09 13:06:48.659800,"[37, 1, 51]"
2024-10-09 13:06:48.691050,"[37, 1, 51]"
2024-10-09 13:06:48.722300,"[37, 1, 51]"
2024-10-09 13:06:48.753560,"[36, 1, 51]"
2024-10-09 13:06:48.784810,"[36, 1, 51]"
2024-10-09 13:06:48.816060,"[36, 1, 50]"
2024-10-09 13:06:48.847310,"[36, 1, 51]"
2024-10-09 13:06:48.878560,"[36, 1, 51]"
2024-10-09 13:06:48.909810,"[37, 1, 51]"
2024-10-09 13:06:48.941060,"[37, 1, 51]"
2024-10-09 13:06:48.972320,"[37, 1, 51]"
2024-10-09 13:06:49.003570,"[36, 0, 51]"
2024-10-09 13:06:49.034820,"[36, 1, 51]"
2024-10-09 13:06:49.066070,"[36, 1, 51]"
2024-10-09 13:06:49.097320,"[36, 1, 51]"
2024-10-09 13:06:49.128570,"[37, 1, 51]"
2024-10-09 13:06:49.159820,"[36, 1, 51]"
2024-10-09 13:06:49.191080,"[36, 1, 51]"
2024-10-09 13:06:49.222330,"[36, 1, 52]"
2024-10-09 13:06:49.253580,"[36, 1, 51]"
2024-10-09 13:06:49.284830,"[36, 1, 51]"
2024-10-09 13:06:49.316080,"[36, 1, 52]"
2024-10-09 13:06:49.347330,"[35, 1, 51]"
2024-10-09 13:06:49.378580,"[36, 1, 52]"
2024-10-09 13:06:49.409840,"[36, 1, 51]"
2024-10-09 13:06:49.441090,"[36, 1, 51]"
2024-10-09 13:06:49.472340,"[36, 1, 51]"
2024-10-09 13:06:49.503590,"[36, 1, 51]"
2024-10-09 13:06:49.534840,"[36, 1, 52]"
2024-10-09 13:06:49.566090,"[35, 1, 51]"
2024-10-09 13:06:49.597340,"[37, 1, 51]"
2024-10-09 13:06:49.628600,"[37, 1, 51]"
2024-10-09 13:06:49.659850,"[36, 1, 51]"
2024-10-09 13:06:49.691100,"[36, 1, 52]"
2024-10-09 13:06:49.722350,"[36, 1, 52]"
2024-10-09 13:06:49.753600,"[36, 1, 52]"
