,Beta_C1,Beta_C2,Beta_C3,Beta_C4
0,5043.525061995787,5149.836511954651,4990.099757847524,4995.543998247637
2,4430.717685404395,4543.93760905532,4420.154662325069,4456.624949730931
3,6148.756672371109,6252.32656702486,6069.482557425912,6081.599314396714
4,6315.104686167864,6528.626737722578,6289.782579399346,6319.2569146794685
5,6381.844279723952,6558.758152474472,6368.64237652391,6381.431428894304
6,7329.00448494423,7512.666238009589,7305.842971438088,7346.273929134496
8,5791.515895025786,5990.873635969793,5800.594283047178,5809.373099607716
9,5913.596075544432,6125.611876527376,5925.08765436612,5935.775635018557
10,5954.111036319012,6196.825182266021,6001.466921244601,6023.488465189226
11,5463.916116604543,5604.572866156199,5470.352332600927,5456.94729613521
12,6244.400522092755,6407.332426767084,6214.770715763095,6229.740312232913
13,5505.648354001552,5671.167031310145,5486.098792420446,5498.759713920015
14,6001.159606831688,6089.440114214005,5949.371984168211,5950.922007183566
15,3738.249304609312,3892.502344154516,3745.9430621049614,3747.2707894837954
16,4347.229114143237,4461.621345687331,4328.024755166385,4333.573101909654
17,4369.500752874797,4468.692237380803,4333.4390441934775,4334.753235471811
18,5068.876999767426,5170.349602732439,5044.4313388686505,5042.94143588833
19,4176.866985393981,4285.5831669221225,4160.587482791449,4156.907082516215
20,4530.835166555542,4691.906574336699,4529.156337789061,4530.678796058252
21,3598.4453650203022,3692.968510692533,3552.440767779602,3561.107454073464
22,3542.560883213228,3594.9016687643834,3501.45014685391,3490.63422312232
23,5347.017327151427,5524.008502430098,5301.881532769441,5303.051376872061
24,4582.450851270516,4694.460431860629,4566.856235179023,4570.843670166407
25,3900.733223135688,4010.544278432109,3937.379964384877,3945.460068102416
26,3473.6237785212625,3561.853846391758,3468.58193080327,3480.5894082473737
27,7604.110781456265,7821.650724257081,7558.484522536865,7561.302745307886
28,4199.7415100292055,4287.748471554775,4189.7544854937005,4202.360127372987
29,4621.780723811317,4724.354625211131,4599.646737796436,4605.968235104459
30,4630.557659896014,4772.597006403766,4620.546978713312,4628.490130023846
31,5659.904896653177,5877.2696168750335,5659.517489495916,5663.315317159377
32,3860.410878409689,3986.6806156674343,3860.997649502548,3859.711464513153
33,8396.06865742004,8629.99369925483,8366.366110829189,8386.209403939805
34,6019.204255731655,6172.333063761851,5988.353100290256,5988.9244624386665
36,5107.463617028615,5189.6919481805335,5056.5440240890985,5053.231706223478
37,5008.362819008935,5133.094628130585,4984.3606386357,4989.688823415186
38,8700.338884780358,8898.412804189218,8694.159238691496,8699.915314605974
39,9180.565413418635,9465.944707084784,9172.395140974331,9162.096845037093
40,4979.23473563615,5132.929950371782,4952.507148071314,4959.877119643803
41,4112.0602172554,4240.739422180853,4096.5610444314125,4098.110698570553
42,8604.60089685338,8885.987742371099,8563.886265277939,8579.484709575394
44,7223.612135679988,7358.991458479561,7204.285434097109,7210.933993167773
45,4527.366905503825,4667.955487733665,4523.243486570263,4528.537629428127
46,3496.019536838983,3601.469727481873,3506.018651419549,3507.0743496831365
47,3080.84207846029,3146.771093525389,3081.097583979492,3073.82580735382
48,4099.011005990493,4238.235117964126,4102.146139009496,4097.8898006257095
49,6751.666134816865,6894.744714831111,6736.547762173017,6738.531533938342
50,3327.5521336834013,3389.751417338816,3273.754791663259,3274.659982512417
51,3983.831231008928,4142.762617799871,3975.535624636085,3981.240769793362
52,4967.916510437623,5142.95814386491,4958.71232314274,4953.196113927411
53,5590.134004280083,5726.517898846645,5571.894747984295,5569.941353837284
54,3983.085606457677,4071.351363486265,3971.771007179573,3972.4371884879024
55,2852.237963600342,2903.4593133392123,2831.384482486102,2841.0978134204397
56,2940.887663456756,3049.79087968179,2939.218280579816,2939.220412419664
58,5326.532920287214,5456.636592561328,5302.6970540509255,5316.398861593655
59,2972.128502200702,3079.1519162655336,2938.3723524518505,2942.0508261710715
60,4694.728771418736,4913.038744376563,4696.985925913235,4689.235385215674
61,6332.833095071504,6523.236707873235,6285.961200142317,6271.597977544804
62,3749.0603693903336,3855.591701053673,3706.7981391977473,3714.040055573074
63,7060.19745820812,7142.399530356053,6969.188647363546,6986.324442877464
65,5402.618436391274,5612.486751145361,5439.866637243322,5413.913693340565
66,6237.973850621315,6427.393081438543,6173.541577835726,6187.6195212919365
67,5065.222337432486,5155.100641308382,5014.480675187885,5053.169165509361
68,3984.8931626655744,4117.016317427747,3971.0983846376,3963.860381575774
69,4752.928118549228,4945.760089060125,4744.755511762111,4763.182575935476
70,9237.652192777698,9577.014059159992,9234.600848267415,9241.894047915071
71,6802.513270194029,6965.972456384459,6804.298303974212,6794.662274985689
72,6063.422577056484,6238.531833172731,6111.316484649988,6111.181813891891
73,8265.866664093659,8557.001752661223,8223.75038074897,8244.413041386257
74,6953.5651309681925,7098.228123691007,6928.156171617439,6946.9738750206725
75,7702.901011149329,7956.592424334328,7657.015578998575,7664.217924756796
76,6558.562031221119,6714.358201235818,6523.045786322724,6550.657435471973
77,7334.500415998516,7624.063347722984,7342.499836901878,7345.249477531309
78,4153.281126934286,4314.003440870263,4168.831273998292,4157.898850195402
