,Gamma_C1,Gamma_C2,Gamma_C3,Gamma_C4
0,44.69659301398945,45.84052589222894,42.763837988634286,41.164699322244765
1,21.52571654117939,21.88069216775208,21.14478557106786,20.374308836642918
2,29.77458406032073,30.338077312333724,29.179282422583327,28.563277170549657
3,38.661577416014055,38.53435719772056,36.96509876888478,35.29642670522588
4,35.22752133456171,36.026452211234144,34.25140366072012,32.81268571606289
7,46.78006950665052,47.07501842430521,45.0292031273717,42.517270089202256
8,46.455082714748144,46.9273490693184,43.26727830326148,41.87081190969492
9,42.769570198406335,42.98823812082183,42.42028897269128,39.57398858474955
11,21.842884556834637,22.09384861443408,21.29969475192584,20.1567821640639
12,21.22980866703108,21.917974826633685,20.647234273596325,19.958291253302843
13,17.0954532347348,17.773288674036525,16.774792755347036,15.612595869725082
14,27.058555537337167,27.98826014080848,25.983597324907286,25.085902354608347
15,25.44521562878701,25.887876194162395,24.678550477313205,23.622449226307708
16,24.473792263331266,24.91696893537701,23.834704535029665,22.66374733246356
17,45.639680691024914,47.531471750473706,44.75970714874734,43.4747803745648
18,22.431316493832217,23.03779701860412,22.049259511745905,20.23891476117197
19,23.42738813054427,24.16692614425841,23.187989832663888,21.756824323508276
20,25.503058537553745,26.166349256266265,24.530983100523816,23.044222506891412
21,21.726231071940205,22.07023857249504,21.08128257982047,20.2615107642332
22,33.18921609683575,32.96587041938679,31.384328041133795,31.065543459716608
25,34.37881583373282,34.98952260035476,32.66518988129942,30.357520474469663
26,23.40882171018771,23.56787860738329,22.500040046682077,20.83559344959781
27,24.91413500953798,25.166853773504343,24.14431890259665,23.100205922454137
28,20.375501291787817,20.5093589876445,20.067588378321247,18.6862894555232
29,32.71630549853101,33.69801310176394,31.29275606061328,30.185898274449904
31,33.10904464862983,32.34873881721486,30.878381970943003,30.060368951291665
32,28.912272422052254,29.74472813939699,28.690907705704475,26.47185108503976
33,32.061236452670016,32.51236188124217,31.32994912872269,29.88313008471314
34,26.073549840213357,26.905378962753957,24.97205945309283,23.965018746852973
35,22.774959798421296,22.87080129415565,21.91842102474074,21.17525956949068
36,28.17089017080731,28.5907226235303,27.014119894856677,25.57277674846024
