,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
3,16.16807275378914,682.804367087951,1050.1547526430331,1036.943130056959
4,9.987042257393234,1224.2259956682674,1790.6717114651783,1806.922889801074
5,15.334680947146191,462.8742339065978,690.7327614296732,691.259334015303
8,14.699774681658798,3235.716662736135,4394.638922149925,4441.353318362301
9,16.203993640244295,832.8937151802211,1152.0726219341066,1161.5285619038964
10,11.435548456975296,1395.73295609862,1934.4845579952932,1940.8855770246605
11,19.302248040206507,1927.7063128593009,2600.594220827777,2604.1267675821155
12,15.454038958018996,1824.055928266056,2462.2290698815323,2451.004747179425
13,15.186218732577576,2078.4030921529265,2767.7317144761164,2762.9785921889875
18,15.463787890398788,3339.731110369836,4235.730482106535,4266.79566609971
21,11.442214139906898,648.7292350929803,828.5261947146557,824.0107097791998
22,41.65828030223549,1441.1840937112174,1864.6621709955623,1873.8850342594744
23,20.010012713883,290.91130186929274,366.8615675038346,368.9339388819248
24,12.840695946698744,968.742099168978,1212.8588858339872,1219.6522548319497
27,13.56755399257254,787.3967152654853,973.8197276410546,980.2605059116772
28,12.050827571765431,2311.016156911508,2748.227214941674,2778.857948323003
29,21.31814735576007,2101.8926500017787,2538.7515585338915,2546.9824266673186
30,17.469851131849353,801.5015491350794,981.9782979341574,982.2773724732718
31,14.162769077759654,575.6100454754009,717.3260196107123,715.2892004404339
32,15.879181212398253,626.8429345140441,754.8019459865191,752.1838537680328
33,17.894846742284862,851.6828006053363,1056.8663350321958,1040.539104189255
36,23.680687571857696,2551.301926729708,3062.4072356443144,3055.8845283989926
37,39.3502142816349,948.0881820279046,1185.2532388285758,1160.2741219208797
43,21.778587539392888,1018.2268459161104,1149.303713081574,1136.356240018919
44,20.572230559195937,2768.6682394248205,3260.526680910995,3274.0022523487905
46,8.712049868228878,492.8235741230232,574.0757179679797,571.2973125501617
47,38.19450031146207,3305.1965236243605,3861.893264579482,3865.856341166037
48,32.1359365607593,1869.873136991146,2179.0370327739256,2165.0070210943977
49,13.206800313975355,252.69035114332877,294.15812696433045,288.73191639100304
50,12.406161191443548,1136.743024734719,1302.3451447389916,1311.9683074140312
54,15.238540844718974,900.0407713084387,1023.7392890663792,1026.8631236221358
55,31.03704634260157,897.2730905586303,1028.9802230057564,1039.180536522329
57,12.15492160316169,774.1135010935573,871.4391909375558,875.2951169407135
59,38.71905030428448,1874.7468239343448,2153.578523604811,2147.094566465178
62,10.460943939107503,286.0767104247661,323.6493149483258,317.49166146466627
63,7.0062938337903935,192.86324982262843,211.4855422613079,212.0044699739086
64,22.036620240989365,450.7573509181178,496.2560184905117,491.95400475721584
65,36.78764899379764,872.2723203489876,970.6041139068304,978.873077786222
66,39.910692340860095,2988.339423425861,3327.639798986891,3336.853713669506
67,16.193078861365755,720.2772699999239,824.3982828007728,817.3722891074964
70,9.89986903296336,680.3182392611102,771.3429451734364,770.1627517679165
71,10.485899043470562,632.0426401680725,721.5055008695015,717.6840944398655
72,9.714396003501813,1719.8552037396762,1895.032049747256,1898.3355393408235
76,11.648147322166055,576.1568960160505,654.99040644099,679.3837202507501
77,25.747256290116752,1274.9739046000857,1404.2469211379128,1409.6375856549148
80,15.15686350959181,2002.897271479332,2203.2026079195703,2186.8661008401277
82,7.14430546472897,2565.407004142239,2823.927373796457,2831.996394218836
83,4.134040291665747,688.1607860595423,744.9066009639952,745.002574369803
84,8.450003669499983,1073.523848521615,1170.47635803717,1170.530356283319
