,Delta_C1,Delta_C2,Delta_C3,Delta_C4
1,272.5360326117645,271035.7870751658,113091.34176372465,336231.5201947943
5,647.9076966237508,318205.6269121347,165011.60995466876,491077.10451294034
7,1003.7831165618873,53382.47762943251,29723.32167894749,84646.91781883637
8,1287.4916458107768,60220.74894831341,43140.7453402525,108249.15863751952
10,2101.538549643989,49163.89962290569,20551.665568091976,67428.15785133812
14,7370.295602499375,9277.025702975689,10938.961363807372,15151.73274969462
15,7787.527686516778,79707.89695623214,45349.77085821511,108615.05345082944
16,7318.545221283797,18527.476661124318,21093.28335759008,25052.54636363426
17,8094.301270437166,396727.4141134432,211111.5593644385,457593.4001376252
19,9024.158788297418,144285.41581417862,85036.8178243873,161416.0951038701
20,13944.224063336991,181972.0482953928,99821.86173685153,183729.99044201372
22,13633.367902588936,125198.82112776474,65270.48940674911,122577.9432490956
23,19555.937066500726,89715.88307097272,60041.63532427897,83580.07605850583
24,16249.674763730573,51274.35621640956,36163.99031148482,49782.62924820245
25,23127.531483013503,19749.98863828977,19547.992786844337,18727.3966111668
26,19064.73558186899,37459.825399328,32119.75181825259,37146.66138646035
27,27284.75821353265,172787.13859996214,106394.49589643742,176306.08347847912
28,24038.39255032908,355910.68192292925,203267.2546639224,386674.0580452319
32,30659.856441058306,168924.878890233,109768.42985029604,172028.07407780155
33,42042.10388201084,61076.54599499648,59168.81263400728,60903.44322442756
34,45462.95993689742,118703.6161297255,91473.37528082314,118743.00494578404
35,48163.86893790255,194087.51824332948,140486.12141887078,200216.8789686905
38,43090.59318923205,137533.23478118525,107084.36893706574,149252.1735919011
39,46751.53416323702,214728.62790119427,145487.6505690238,230044.64166602952
41,54088.57775143099,325761.9972514828,267632.09391019744,406551.55866480217
42,70570.78365839858,195471.8199324605,167642.6024397304,232664.2862625815
43,77725.95565285128,325689.4351747292,229644.4795987805,328300.96376086987
44,58732.31845089361,50951.23735171712,52968.17402289399,45761.88525739426
45,61338.21326661195,66907.20428496452,66712.59970347099,61966.21160560903
