,Delta_C1,Delta_C2,Delta_C3,Delta_C4
0,141496.14919102372,165346.85976847052,286049.6920019597,203052.13506565135
1,39825.27731575508,35942.62622374892,57096.30397576802,45270.05978907758
2,16469.046005429565,14968.964356434928,29615.151178797405,25770.040927431717
3,12971.064503909814,11649.64800782281,33231.496972700574,24628.57306096051
4,8161.037193244902,9765.512077132638,25520.65086324986,25328.44540894087
5,4634.468514627851,7947.816714316544,22593.64987547229,23880.53469998938
6,3536.566650949024,9035.588333857191,24342.71478963375,25107.62289525756
7,3296.819455787498,11195.961511819844,25095.27820389828,26021.291776464623
8,2427.682356019334,12500.03562729438,26992.54756264308,28144.556406146094
9,1552.0142555597631,11010.0086170717,22962.70541756862,22443.995933627582
10,1362.8670178503328,16236.235017350637,31743.41897148203,31170.67898104361
11,900.5337919598518,17811.74229620338,33985.92198740308,34904.916460910936
12,747.9403409974447,20851.24834980279,35716.065268417406,34806.789755559126
13,530.1978197238133,23799.38668822201,38451.97661824469,37339.07951758327
14,6870.798993167092,31254.266726234287,60034.85595537933,52489.66407401161
15,410.42143348479806,26886.054776689085,46561.99028857263,44768.80075197255
16,877.7696346866401,28045.38012144632,57112.273153006594,53390.30850755436
18,3699.8705726294343,24860.26250798348,72817.88329621588,59609.48006951533
19,676.6749580755336,36299.60232278787,81344.23855391554,75386.73258776974
20,1180.4450998807197,41029.92703597312,78038.69570553054,73386.2631370357
21,942.2191373343496,45066.662219961625,69623.12072143334,67972.33318325017
22,2032.087178311662,44304.30053853337,71048.10338894131,70489.07149055721
23,1174.685247938076,54380.78926287689,73653.18566091545,71112.14552042306
24,4400.203979101531,60360.53793826975,90590.979500172,85053.93275950533
26,4793.188748388639,57922.07660213602,74871.680180165,77795.27633110066
28,36576.43800238375,60973.66875216486,201730.6677259013,142876.3417390781
29,13678.531641118076,76875.98773131221,181516.1915392152,147647.61400364607
30,5487.382428018651,80997.15556243862,97342.2581858034,95331.41880828448
31,7264.47941704712,82385.14084367483,102467.53691221404,100897.26030087288
32,7621.677877207108,88558.29609737587,102654.60338370674,102181.49768088076
33,9471.7511391397,90737.14170433788,107127.21251060268,106054.197568201
34,10975.59910984851,94281.21081967458,109395.45547630472,107712.77873610445
35,12059.831958946355,98999.17577753468,114336.51285886034,111548.35191742776
36,12535.946112304073,106490.54876630784,116387.15589487852,114716.48148689496
37,14083.366748928102,110492.14196891204,122308.65177670478,119407.58836592236
40,125148.78390671629,122138.53511566388,817159.2069208563,654629.4461110864
41,21550.77472904657,123765.4772494052,124933.26624824022,115609.25581431348
42,25118.26401282501,125839.49644140076,170684.49319536905,158471.38783969826
43,25314.07222147204,135571.60795008572,168815.43170157846,163134.3845607218
45,17964.687351337092,185272.30608787935,102103.43617481996,103999.63964492948
46,42014.60147714797,194231.65431809757,296149.74553953053,262276.88551456993
47,35135.45944453634,155168.75202494778,188734.8586114388,184848.66529664013
48,9175.86022958182,332985.3709595589,191004.96465326776,135918.49988505812
49,23292.84825311717,99170.3862391069,111607.31501566364,107397.5141521608
50,41226.56529602571,174577.62583858002,197352.5762238853,191435.20966714743
51,41699.76836397447,183591.7290459752,192502.79492136143,190942.0925034335
52,45110.14711128754,187955.3149439569,199284.36494338876,197655.85202380244
53,36107.42459553586,145207.28534146972,152959.74900794844,152849.07984555612
54,51415.26697667325,201106.3578414529,211648.5940006434,210064.260200881
55,66078.09887980728,201568.61309192504,311628.3512994467,287813.7129378187
56,52384.32803303659,235547.04962624956,233359.1970653888,212902.33750413725
57,51231.260278233945,166884.936583295,244655.794718391,213669.2241341791
