,PSD1,PSD2,PSD3,PSD4
22,16.500082279699726,8.420373181149222,23.58160433724821,46.57120745910346
24,2.705070426739478,5.612398835659922,21.04531450028486,19.587730809446175
25,3.058042987736109,5.262026570638817,18.05096944529656,25.270141760895086
26,6.369311397901236,12.207161753950896,27.99457439576934,43.37497993460971
27,4.676642850951824,1.667094413845131,37.98377950901479,51.65136065484912
28,10.164373504963358,12.207881262517327,19.783881079959222,23.199978575529208
29,13.523717475527237,3.613098175856925,10.46314420124131,24.60106050637596
31,4.218046379471443,2.2837232778372147,16.396649313790096,22.077994916778948
32,6.776633658322301,3.7948475516605273,7.899933195386428,8.479637976416118
33,7.546051443016269,8.503805130634666,20.04679186843366,24.5645924751762
34,5.093406593198294,3.181262335343146,17.825814884154887,17.294062277894785
35,1.5663148521953814,1.9776276385289129,10.003045412168609,9.329202638097764
36,1.0557136107014875,2.158742986611186,17.657602659807804,19.561156579829568
37,1.3293768197039864,2.247364632927042,7.184812570811221,8.661023359111386
38,0.1093278192182393,1.3601111984037253,9.644326822530022,15.07194357808227
39,1.833928015296888,0.3283985587014916,5.558595113981269,3.4090470390336147
40,3.785357672748379,1.6492016154646605,3.757454623246889,8.10965648331555
41,6.517475621398452,5.736739953840952,5.790136577245852,8.393228467284485
42,3.0177947968615126,5.425372526237375,9.074594190416937,11.493505039538253
43,5.031766878434823,6.684803380343771,8.683101191818897,10.22352850132705
44,10.995352474971355,10.070514906736834,12.236682434752462,16.742522670357488
45,4.907525417803987,5.608982259976727,4.837228197903707,7.887022775245235
46,10.09312444100227,10.48700550035405,12.67210576920974,12.506841907070251
47,8.424389372689243,8.175943438229611,9.536422675340788,10.69264514975788
48,3.760267348624155,3.4460894068141603,3.8674533488810394,4.284786499060474
49,6.433715738146527,6.405500912223776,6.257804630439113,7.434310927987322
50,7.596352348224724,7.879641854073821,5.665053493174896,7.286903244567329
51,13.07378360737304,12.547516155817975,12.722160951484955,12.80827837003276
52,5.855349892979215,5.067023565579932,6.558763087179576,4.670178905574294
53,5.275467883969212,4.561056615674225,4.120275822184578,5.500213815083887
54,8.374427648918113,7.77891068509363,7.093022251742686,7.654544383140949
55,3.833843152998387,3.846111904490012,3.8538250443049744,3.9115530425548752
56,11.794968741524674,11.721489430177249,9.404294627341088,10.065764322073008
65,9.71790322740176,8.676043625156574,10.104212925620288,7.793681988699073
66,3.3952772707249514,3.463608818971124,3.174623347396195,3.5532129934567416
67,1.3106789143256965,1.3105567256138977,1.4126544612370124,1.7852971599730911
68,0.1728251729276502,0.1645676036250521,0.2366629362516978,0.3009588822851597
69,0.099333999685919,0.0926075824699419,0.1014915554623205,0.0916398559567371
70,0.122925943484733,0.1683759912562243,0.2829198566872182,0.2491246612469263
71,0.3359979367994458,0.4415799575505972,0.3975323608494841,0.3700027935755399
72,0.3563398064845646,0.4212682897777807,0.4020408373132119,0.4020294933722377
73,0.0848823591858365,0.1068358402244524,0.1220602625823738,0.1343329157887289
74,0.0080022294441985,0.0045882081414029,0.0171604601793793,0.0171718179481916
75,0.0089812947368035,0.0073861380508964,0.0154006608620803,0.0187968036664069
76,0.0127973729046869,0.0093329532139945,0.0077612507859402,0.0091036478320843
77,0.0130607432987141,0.0100342273289605,0.0151314949178506,0.0242351386935152
78,0.0061883254686325,0.0044990765614802,0.0091158379163095,0.0127179014102406
79,0.0075090982711579,0.006790352461731,0.0088940707338442,0.0106011816518283
80,0.009022266095661,0.0078576877565255,0.0134809275118374,0.0146934828745275
81,0.0052955705185073,0.0054095338291369,0.0053000617434214,0.0047268375088465
82,0.0026370246439093,0.0020075605519416,0.001779574669826,0.0016733958524455
83,0.0013299561776876,0.001154953171102,0.0012540471139066,0.0019121269995217
84,0.0004489698669024,0.0008156237179825,0.0017272753218185,0.001676207244113
85,0.0001497827085525,0.0001859351560124,0.0003968957702953,0.0004769247592006
86,0.0002386265828053,0.0001802440794708,0.0003468847969103,0.0005034956567533
