,Alpha_Beta_C1,Alpha_Beta_C2,Alpha_Beta_C3,Alpha_Beta_C4
0,1.2784559205675126,1.2961608673264944,1.3100686330999856,1.2646515187098482
1,0.6260945363333467,0.6218725838055641,0.6530900305974842,0.6257062253962458
2,2.105394602396449,2.1082006843193364,2.1233748351660178,2.014687089522902
3,1.568817739143312,1.6042939101902718,1.6205387356722558,1.5194152116783022
4,0.8702213111967088,0.8772717377911292,0.8960372129696736,0.8745300644361076
5,1.8753149185011369,1.8836762746694404,1.978674864455551,1.9001245439573855
6,0.92990472936967,0.923420385413258,0.9453024582442494,0.93402317615666
7,0.721390574007519,0.7213049582874018,0.7265789262125456,0.7201253233044317
8,0.7914805926495334,0.7950041664001747,0.7984625659839029,0.7956222851598865
9,2.3888909536426057,2.416494118398085,2.440751944067784,2.349055789747624
10,0.6708053275905401,0.665989249580065,0.6737348399382076,0.6744215915392787
11,0.7421187996297206,0.7586143888846467,0.7709640083177965,0.7360120500318166
12,0.841508435180842,0.8571548389058982,0.8456738020002368,0.8547051550399761
13,1.0177396997762531,1.015839396957308,1.0468454338857327,1.0264874396258052
14,1.4857738394024744,1.4944436886429096,1.4852215063098544,1.4762841474379589
15,0.502939916171799,0.5019038622656572,0.5027701219895473,0.4991894527682806
16,0.8186176355799811,0.8266509107444453,0.7973171818828582,0.8408913921375885
17,1.2527306770822235,1.2633368931139468,1.2619125515614544,1.2764768958425123
18,1.1610173065057223,1.1730542911215922,1.1714348292194003,1.1758521051596278
19,1.1327020020730691,1.1500625112316256,1.1997322437381468,1.1387383302300602
20,1.2688713745188367,1.2809113452849898,1.3052391129314944,1.271752682390254
21,1.4643947517178602,1.4813343862136708,1.4895095131676626,1.4819747610850922
22,1.4138737246448991,1.4400302872159836,1.4639954484467852,1.4049838736183458
23,1.254275949139122,1.2831739165349518,1.2365317056020488,1.2520958495449062
24,1.882173247994767,1.914158137519029,1.9063864058665327,1.8756744284657756
25,0.9742399183462082,1.0033190875252227,0.9820528005529074,0.9780774714441736
26,0.9078967774090828,0.9200418927443028,0.8501272898423258,0.9147895594815462
27,1.3143086699887416,1.344084664142026,1.3532076913678606,1.300423958841138
28,1.202852445009176,1.212457652349062,1.2364656857801233,1.21059028202549
29,0.695615821276541,0.7025707056353876,0.6880426756450649,0.7108795916868329
30,0.6929482608386351,0.7017609048177766,0.6686750608353497,0.7101582432193076
31,0.9159867860503736,0.918135600529822,0.8967979964963727,0.9157491187758604
32,0.7268911621070735,0.7295025182756695,0.7208697741829859,0.7487447387925573
33,1.3458116804522688,1.3535428378222791,1.3591870819742369,1.3480207781287838
34,0.9181085901853716,0.9316798400684294,0.9163509604358296,0.9214108899029712
35,0.2899234775380593,0.2895176417469782,0.2783944703781369,0.2858155719320691
36,0.55671569158037,0.5579542063710327,0.5483941886804268,0.5574082755356723
37,0.5900878224589738,0.5950712614407329,0.5790669117891596,0.598110814019567
38,2.378593074306752,2.395801804161312,2.332557847389736,2.392056049102779
39,2.372577465047447,2.4022360107276453,2.36298056634237,2.37969646911552
40,1.210579062493113,1.2335933202792997,1.212411409227934,1.2418822915812342
41,1.9181039018118875,1.952938607002802,1.900089670322864,1.9456543715925048
42,2.063467944701271,2.10299232008612,2.025051889440785,2.0708803958693336
