,Beta_C1,Beta_C2,Beta_C3,Beta_C4
0,11453.342620478248,13557.142088883676,6905.885196561401,7573.682890878744
1,10318.43895036986,12234.628488656685,6358.36389329841,6938.472958099861
2,7712.64556906544,9120.67415157738,4729.768288318834,5472.024143582985
3,8254.140692892272,9735.040920537456,4972.738771737623,5851.362338958745
5,6252.756381822698,7224.042713072508,3818.418747725728,4383.999936893091
6,9526.358463951296,11235.437645662834,5687.917292042206,6723.954273920784
7,11496.980025868925,13481.677834742108,6924.8646119364485,8323.985805057264
9,10644.68042218822,12407.93775867942,6209.328819015456,7854.373291578334
10,7020.842359455913,8234.515109596154,4110.542243273268,5088.149413477411
11,8946.785845404618,10486.282728947032,5029.166906668183,6560.299460794985
12,9928.991602331089,11627.815482855292,5560.062673952328,7230.833476308187
13,12364.875265810117,14490.443866362672,6644.717858004757,9045.693819896918
14,7944.437658540017,9294.510452564418,4269.055532626283,5909.876336044907
17,16061.663177076169,18678.41084609029,8902.892356912802,11744.365364306215
18,10595.68575611011,12312.252464874726,5890.159345805701,7796.248790045877
19,7097.2105784881305,8191.184305897732,3814.029916508744,5218.443430758006
20,13406.35925981839,15622.18475620966,7105.435230485834,9820.612771302442
21,6029.032407640648,6995.111972997862,3220.4529502662003,4456.387076399253
22,6082.288524875152,6966.604759059746,3162.070700925571,4490.929821696287
23,8911.460199873836,10329.140599498056,4727.44486629915,6645.99459065094
24,10909.501160138712,12583.144858848404,5685.322445072318,8035.667464048688
25,16524.71176856764,19130.794730251968,6399.490088671636,12197.28062605295
26,7571.610710932496,8740.637865322062,2770.18548335968,5583.03047785693
27,6932.398994269723,7959.353812610721,2371.174450678294,5192.075431572274
28,13407.480157090298,15514.162817763818,4543.298045870656,9944.410142473374
29,13468.551885179377,15481.446767309248,4572.559343485418,9925.26575213378
30,9738.578983246509,11215.26730279746,3360.1569490701195,7239.337286276077
31,13486.98819252866,15666.78600753393,4753.616832323492,9992.107611701404
33,13876.809216757736,16032.159564956875,4522.77092078381,10240.059327842218
34,11594.819498655226,13315.859762913478,3864.7622143663416,8596.861471928069
36,9557.185301855165,11016.524351665728,3319.319605819051,7092.820181822815
37,10994.0791257952,12570.555361170718,3749.6676457657295,8175.595547632046
38,7724.5625093347135,8866.616048646683,2619.690829260115,5794.040070829492
39,7173.323818647064,8226.743546123365,2422.7178440094976,5365.641777753378
40,9786.358116422904,11214.76155182282,3273.389677105575,7231.788262353635
41,16263.218170074511,18524.80471051484,5622.472713687034,11993.289623885805
42,8421.33934386877,9616.701630689342,2862.1086914646144,6320.574508086664
43,7123.298314498155,8144.876454604093,2315.140181581349,5467.569773279306
44,11189.800396883056,12806.103153377331,3393.0378214112397,8411.139471581462
45,11152.844039258076,12818.90465565662,3458.2973169144148,8318.921099353352
46,13227.794695876595,15298.81336966555,4219.196324200351,9861.78973071571
47,12601.443937493994,14438.88347233086,3971.841911253034,9318.738107929268
48,7270.609912089614,8419.657766478414,2340.4742485107577,5476.60240447309
49,13366.81968321182,15248.106360730118,4245.399103555684,9901.263661786115
50,11500.948713374752,13189.720983513093,3621.9702831736863,8501.92806876381
51,10423.497221104208,11928.598604050543,3058.4409348785607,7859.368336246294
52,12558.041258888226,14259.42222418514,3935.282035501184,9378.965871103626
53,12745.19063795981,14406.533821996914,3947.951947676312,9571.704094984749
54,16823.799675529404,19071.534159802904,5277.423600003945,12482.9281331181
55,7627.4933374344355,8641.76686445558,2394.173129588893,5680.167831731991
56,9151.885039384892,10459.818534696637,3019.862307790133,6811.7865708410845
57,14930.041660998964,16973.033593905115,4871.357514535514,11015.286867911967
58,11538.287135654358,13166.159408689948,3856.028832736567,8537.672216791852
59,7410.214088477642,8428.936945651087,2506.1802038200644,5601.025985349288
60,6767.533935671565,7698.002666938783,2220.4381631106057,5066.954737240912
61,5899.711085939242,6601.6039220109205,1901.84320963654,4375.051210933272
62,17128.321378798206,19348.26295868984,5781.0656114235335,12753.576974233463
63,17941.51063968745,20455.57393407151,6703.562405675882,13326.954361952496
64,6563.18917548661,7450.101302712921,2405.138279410481,4867.508781337309
65,12302.834349302377,13977.23264874185,4608.93481442526,9216.597036168245
66,13218.366074819354,14936.76954090895,5142.294036931614,9763.099476036728
67,9249.07186458901,10603.758618440526,3602.8030203110443,6900.265729618237
68,8196.620456209257,9308.475899755236,3238.1834978406146,6039.147067234923
69,11242.725100439991,12599.927812247286,4487.115383162785,8370.441748386134
70,6747.860663374109,7619.610938574264,2548.089684850312,5143.2034602840895
72,7098.065261599747,8050.646180802881,2697.5020918458363,5343.913911599725
73,7192.091220375279,8159.489398940254,2812.618517061175,5355.022680474983
74,14012.451646785768,15845.151659685094,5552.005595921959,10430.077848589275
75,10516.891428184284,11877.99597970618,4250.327065698321,7739.63600908286
76,6049.503911586095,6825.034532149707,2378.9639800261048,4508.913833235148
77,18279.11953487252,20658.816436665074,7385.096067106861,13501.3707836784
78,18021.933293535694,20425.03758059039,7357.333356452817,13272.895374852804
79,8512.63217724117,9550.454332686038,3353.4777084085126,6405.4357480809485
80,14329.670136916204,16113.659485136728,5627.540775279555,10714.5124267615
81,9775.770655943365,10927.039439817265,3902.9135092280217,7284.0019206103425
82,10172.703938231867,11561.066524491298,4119.787801751008,7605.860547337433
83,9868.059278714598,11094.602763916922,3925.589426581366,7344.12175864738
84,11111.763867457574,12503.493714294578,4491.304769499856,8275.389829864418
85,13632.961971933057,15362.643621099738,5598.892206853878,9994.74007024884
86,4144.781205906975,4669.812688053162,1690.12243343481,3131.0139590857784
87,9086.863628987769,10162.72215610649,3681.400347096365,6767.428172207077
88,11942.858094416451,13479.46824277046,4938.159091283201,8848.540434297096
89,11858.797438008556,13316.354156507135,4910.234671340368,8886.7735573897
90,18440.737285253195,20633.909733527013,7511.071966230591,13740.722289229245
91,7875.773334290212,8856.423369350905,3249.284489104597,5897.479434251694
92,21005.0378450624,23406.74893392457,7151.190161243878,16082.3434672499
94,12447.809074961957,13946.84524146212,4227.818653969521,9405.468965395265
95,9333.157699524323,10409.779466560569,3253.548723106658,7070.474805720549
96,10753.80992202171,12001.523809135657,3800.5340918935535,8088.739463034059
97,7236.371739205902,8037.756213536293,2674.682391856275,5463.342289540869
98,8325.060456043058,9310.74094083732,3144.044679936409,6375.668742666563
100,13853.715948627423,15628.94387869859,5275.312414631942,10432.505292453112
101,10689.752328925417,11890.367826961026,4050.6106476336095,8029.201277911668
102,9972.958480059278,11146.87258599776,3874.391776705575,7544.414619295013
103,11862.850325669837,13225.40674690112,4633.921587212591,9020.968455106324
104,4411.429886169182,4915.42262092431,1713.6915038933314,3348.013290600405
105,9416.35331027652,10373.629758303796,3774.618357688797,7083.4463479740825
106,8301.512792081427,9215.438289200927,3305.7108372435705,6317.907417370803
107,10754.29643921762,11976.949882301393,4293.856021744739,8109.453867137551
108,8028.201513987466,8934.932154742586,3251.619898973312,6034.814714585316
109,11193.311612046544,12405.923741451856,4553.652156846941,8398.08382557594
110,14746.145123543069,16449.213604363707,6041.345496217046,11165.242430203423
111,8616.2549983994,9500.718137771755,3587.5766475841406,6436.505753862061
112,7077.379649267547,7873.235996209789,2902.4487000413237,5330.361659876682
113,6575.889072454009,7349.514872307814,2729.6644243237533,4983.869383358616
114,3711.1403034279047,4094.2729226573456,1508.7766281703282,2825.516263949093
115,6637.99095752811,7271.875896998373,2738.154280774628,5017.587247526673
116,12987.172002604591,14424.467787332987,5385.940301254584,9774.63641562692
117,9136.041066162605,10137.66640325667,3850.813953367776,6911.635669514391
118,21319.125477359587,23597.538654739757,8884.122117586736,16064.16499525718
119,7904.89745622256,8704.301816704203,3308.1969148623884,6013.848618952861
120,9913.536207207891,11034.802447209708,4223.534557364995,7511.957624956358
121,12395.081853866352,13687.90416486619,5322.195782215903,9320.461219216237
122,8681.18902723514,9638.46269611156,3742.1045321685256,6589.551837688435
123,10220.957038855362,11312.28013533585,4357.8821104889,7722.258900052638
124,10223.155275604136,11381.685096881887,4401.893492897758,7751.04415895386
125,10944.889265156477,12093.28134218139,4761.640840041647,8269.598966485439
126,9414.918092725606,10360.63626738408,4034.0509548919135,7196.781171142002
