,Gamma_C1,Gamma_C2,Gamma_C3,Gamma_C4
0,37.03586769946501,39.024528726601375,36.337807863601945,32.42283463184006
1,36.4859325482051,37.29662352156775,36.59747044581173,33.513645305985456
2,31.412561683918373,32.6784336758781,32.00817926404329,29.34612943916869
3,53.59736867868077,55.01714161111392,52.57107003614443,49.01672924077559
4,58.98827063214168,61.06234699382458,58.9411760293244,54.148555454017135
5,30.113173195827173,31.286272647563965,29.56324547390781,27.68961331441085
6,44.24245840427212,45.24372115227396,44.17711462396724,40.56392300093904
7,52.385927219708,53.65808575776588,52.47469016848365,48.50453065819187
8,27.272414030993037,27.81831617329635,26.61752092349713,24.53837336441843
9,37.697139222488246,38.39448450085627,37.21528298910365,34.420740886440065
10,24.580789593346505,25.296821658217592,24.272864113823577,22.58160503645952
11,69.39666625606387,71.09908745441004,69.26808782263498,63.6389549364056
12,47.73247531498177,49.509249328841726,48.21355919118867,45.2063869881773
13,43.59108193115453,44.2937989015382,43.036632817427375,40.108566558510425
14,24.87177876393828,26.062588574764938,24.96867878922071,23.226555887481844
15,51.0619777726013,52.32533017312801,50.37245422093194,47.25264509183952
16,51.05260763698394,52.764270856277456,50.7774876498051,47.35280044856777
17,65.57764658569924,67.25759357456566,64.76029640401619,60.60852009121644
18,59.72264182935923,60.04832513253954,58.796780922884864,53.79542091511825
19,32.731530097447084,33.22124184279472,32.09622032148758,29.448085794738727
20,35.68497499369287,36.728729935225246,35.69063801693188,33.49165535413872
21,26.963422461150756,28.36125191306206,26.74386625924814,25.144618698359004
22,34.5497473592764,36.48206883135016,34.7401624435583,32.20813940664765
23,49.94267464266973,52.51481339821816,50.05663595218367,47.07954151831066
24,39.24609968282678,40.71729469094325,39.54628070792874,36.37546059188146
25,41.03043388455304,41.78062641236659,40.55918032572424,38.092411414937686
26,45.998093072042806,47.08593630092757,44.81412936381453,41.91229640559532
27,49.94772365676016,51.79690003552764,49.88895475230115,46.42718024866583
28,45.46958514419942,46.37566830745447,45.03131477644977,41.67105985678
29,33.99362959299005,34.911227553945814,34.26276061266184,31.56103935180837
30,25.34390188737039,26.02557360598308,24.98325834271928,23.508161929226244
31,49.2612698691904,51.368813040605495,49.15580162597379,45.74423645684266
32,38.32116634648147,39.255247780969945,38.72310165000022,36.00386658955739
33,53.79696918142906,56.21695043434983,53.15748877320525,50.31257890145291
34,22.30420417271184,23.371435960681488,22.04178123956029,20.56050582357886
35,30.915464058899623,32.62042330748263,31.37751828519517,29.771560941998825
36,40.07086250098302,41.89288992141801,39.34237393620788,37.38121643481438
37,28.847395650879317,29.22252126226065,28.468280892013876,26.55968471501436
38,55.485605494679405,59.26334781872398,56.91271427139169,52.73627391382274
39,45.90449169858404,49.03051777959063,46.03305663176734,43.25899986071085
40,72.77740342150025,75.99150719533432,71.82827731199627,67.53504522690066
41,49.0954228847034,52.32331356843186,49.52088632692421,45.94231805795164
43,47.37212152677354,51.65469414605708,48.28924660130965,44.46457759868414
44,56.3060397916402,59.401979288272976,57.15728291996866,53.78179938938457
45,37.83241629447609,40.01559469856439,37.75500127333166,35.38101295309117
46,39.86954707090447,39.95990264282428,40.03504867846562,37.997860394368
47,63.14069677366357,66.73121028712869,65.15336175795963,59.90299980126559
48,62.0704813268142,63.95061134843968,62.07457890665014,57.71828246751938
49,46.30568562131742,46.67725421831094,44.81504279841238,41.99464380061599
50,43.83409177745733,45.59851467320344,42.987490576307714,40.16241028495667
51,47.41113247403026,48.97484932090147,46.69813024745752,44.078142077992354
52,35.509385028996434,34.303642806438845,33.67165627883954,31.039059946364777
53,34.67644376733513,35.839620339663576,34.0680173950226,32.08047668905013
54,58.35744552325827,63.61434047652413,59.334494248806045,55.86577067168343
55,35.928655517808004,37.87828298754957,36.09469107940607,33.604918693024935
56,38.12036936869271,40.20978052548279,38.237137948006335,35.863962846368565
57,56.48436816655376,58.21088793722395,56.55479897514513,52.43971375837762
58,52.59515036125851,55.92795683873524,52.59393402893444,49.73453337915425
59,72.33240873173952,74.48097799957918,71.02586401445572,65.42416444605908
60,41.55491109266927,43.054388051438416,40.79402304854728,37.66960252532146
61,34.313442948492614,35.910417379859766,34.28966060475028,32.014161311490575
62,61.67526722875364,64.61214093982586,63.14977608449209,59.02904360319022
63,43.11843069499589,45.254549120840096,42.72254214207887,40.00061824521707
64,45.87627688480404,46.659800724432586,44.77082344168173,41.73830958774807
65,48.64049810278894,50.932492489658166,48.34301753482611,45.53654994343056
66,36.718198481662576,38.486172249058114,37.39810985465995,35.04490681860997
67,56.094062113310905,56.88280041525003,55.847138724471655,51.81548679535772
68,44.82553429578887,45.801103547727415,43.607923072632126,40.81955306302638
69,32.05448734751111,34.19475154055784,32.4019018978604,30.519967751922696
70,52.02881167121976,54.27670994426299,52.28549664274055,48.90683406567518
71,35.62896566186253,35.91754470397174,35.167147255758046,32.361840730392245
72,54.8560287378327,56.24666592546083,54.2234915162619,50.34055060133496
73,51.63210331831294,54.59839837942093,51.49493082890697,48.526506128325785
74,64.63967480165175,64.66455380158403,64.30061487355215,59.929504484488966
75,45.16464965700326,46.595615382157725,44.72139682311385,41.52125908716331
76,46.5015496081452,47.08266454839727,45.3729073117165,42.1535589264565
77,52.36942493554325,54.61502112872463,51.64479222839108,49.440316154069976
79,48.64489592559672,51.0611490109183,48.37650191219449,45.36757061293006
80,52.27644574008551,55.02291916543234,52.47811535468711,48.62613655862301
81,54.69070004763091,56.59896846220525,54.0363129273046,50.16733958715629
82,64.07621338361655,66.07638509668848,63.15070055675719,58.6576743264401
83,32.56969473248338,35.58941130872299,32.450903709639746,30.34815207379636
84,62.45900135870291,62.02639441410095,61.07136486868879,56.28370283033298
85,53.6471219044746,56.01446914267275,53.80506805941385,50.146906668858925
86,39.980387461736754,41.43678958668165,40.31833614532386,37.07283211810505
87,29.697348778852845,31.30008248021456,29.95132407149373,28.117959578450773
88,62.63286752089439,65.21457628096263,62.47871863961287,58.15401122465783
89,38.53304602386869,39.93256559080673,38.6579578952236,35.903924402684616
90,62.56135489744367,65.1856263545339,62.805510071048246,58.66027488620709
91,33.85383678374218,37.251160817868126,34.81242027275896,32.761159993830766
92,42.258824255434085,43.78835957361999,42.82397024770951,39.34783643812237
93,48.500808290847786,49.27896215672665,47.48016596463083,44.393505609399206
94,60.734021213546725,61.79154099684593,60.31618007090536,56.01869179849626
95,52.456809044623895,53.632563066573965,52.14376361797751,47.960135578814615
96,64.46390308940853,65.32143023868717,63.55142725312648,58.66976914017263
97,43.62174444867904,45.32467223079751,43.77050215350842,40.96330649748986
98,59.35827321357621,63.06053014487147,59.787072343082,55.3846030831433
100,49.648249743277184,51.293470544721416,48.94946584564151,45.38895326859228
101,55.508165448095056,57.04812300541348,55.77519797477788,52.11303437444834
102,52.40677158249064,53.03070898156131,51.87031610171423,47.73265457157662
103,55.5041459128657,56.91272121684844,55.10914074468558,51.841838854495485
104,51.59969739329803,54.28273350380695,51.09929092224058,47.0894517234574
105,34.69098344766463,35.45284882355835,34.59892215926981,32.351590659229004
106,66.99518365760618,66.82862672346776,64.45018335053112,59.26489525573008
107,40.867108303819776,42.53707263112271,40.97921958276704,38.070851615139794
108,26.37092696003427,26.82745070113557,26.29637401934276,24.60414591895036
109,51.271101392297375,51.49683569843676,49.89287284337586,46.24453966176123
110,50.38250993949927,50.38022004378384,49.709478855171,45.93513689421971
111,50.95772530898168,53.055468396836574,50.03941387511349,46.48419570679237
112,55.5322496891058,55.91512168612446,54.63252674148916,50.85594752798914
113,37.56867241315621,38.60806070883548,38.02650891041199,34.8311407241921
114,43.8930381435848,46.07062383559409,43.62230723613467,40.81059599565915
115,50.06079977054136,50.92895363633353,48.83429936031837,44.830358241544126
116,61.727675820279295,64.35421753961514,62.46067314825958,57.68395831122812
117,82.54781811299861,83.4477321663328,82.0399163277367,75.65365614316548
118,48.11031637431911,47.97686233298545,46.88692431039078,42.82338617231265
119,32.157097554225814,33.823339524657065,32.445097551120995,29.78611441500256
120,43.30313063837943,44.95716424266727,43.63111325038562,39.884464074412726
121,41.91164732983748,43.3229474629999,41.736119610960266,38.61416123137524
122,61.62088745116239,64.09288962070973,61.890406788308205,57.90915799705952
123,75.41574576915117,77.66433503783608,75.56924527947146,70.64365867004842
124,52.42055673383771,55.29486975402512,52.35254887183246,48.47558519865892
125,60.6885394056532,63.35515757579426,60.851337706989874,56.57664494735594
126,56.58947151642952,57.87309688787989,55.30360690179728,51.25849357287978
127,41.20551115573011,43.04648691722288,40.72924333304871,38.051867588887895
128,46.28813989148683,48.83521131065116,46.02342758137906,43.05079544967723
129,49.29609798734963,50.64900342307919,49.34513646322373,44.92753021585715
130,53.85785452830673,54.83523064541846,53.44932836530253,49.048820024583534
131,50.40516835319598,52.13699316845466,49.75335124186942,45.73599657828363
132,32.229768748179175,32.63785213761197,32.10112936703942,29.66809217737102
133,52.9759084219526,53.75575890835402,52.11117780628226,48.2080679978406
134,53.85051370112515,54.78207968884784,53.23045408765406,49.40524742053971
135,51.28075796911763,52.55774171776597,50.688446580591794,47.16193888151476
136,58.8238774574806,59.12491583432224,57.955684874703095,53.52357669412111
