,Theta_C1,Theta_C2,Theta_C3,Theta_C4
0,5227.101544357021,5477.481535895253,5132.59551028997,4937.282064182105
2,5660.322922475059,5928.285760215944,5635.300492842585,5449.523663060978
3,10236.096011832587,10770.15853734584,10203.3187999495,9881.744930616003
4,7734.737901273815,8246.506785289632,7756.778569387176,7364.216839820672
5,6593.488126321634,7083.986426470032,6622.114146075724,6396.132826729161
6,4832.61302077355,5093.169215621208,4942.550005444796,4692.357129348064
7,5527.505699053413,5940.585439173219,5508.876594984493,5321.891669971674
8,7560.979088744181,8114.863673307574,7470.35781053252,7194.547253589477
9,5826.723798214963,6183.697353716497,5856.678832434477,5645.754703675129
10,9158.587934372315,9773.364686823898,9090.96451246651,8766.85119857123
11,6329.220569250785,6728.084815514518,6241.38071356207,6056.331525651427
12,7201.313804781981,7702.729578465864,7281.286632281448,6998.812723118221
13,6341.048028174928,6747.9233918733535,6267.434604794986,6053.494826788528
14,7694.408151006173,8159.402312435366,7743.834486736207,7388.948253379836
15,6251.5337476161,6831.222360608163,6377.99446709234,6103.121279748721
16,10379.120753812547,11124.12906966452,10488.466736299317,10043.632379056591
17,5623.779319609125,6084.802068519626,5576.229563589299,5416.390183083638
18,5530.541160323891,5956.7475700653085,5532.429968753845,5296.393459332756
19,10888.93558029698,11763.16928872757,10959.131153817982,10555.92005737924
20,4884.7967328061095,5253.256140022575,4938.583285232438,4705.257760022234
21,4746.0768281944165,5051.650927269683,4772.300577333038,4584.543789925338
22,5979.189844646267,6517.344396577162,5890.397909319895,5700.639692764307
23,9376.585781609076,10128.581827290494,9372.346852675062,9073.446505218932
24,3548.793044520251,3872.9729146344216,3553.2810906520226,3459.841102340595
25,4895.011121200357,5299.06091420694,4967.978066367999,4799.736715967626
26,5649.821350440956,5918.386765246944,5639.486759645652,5451.171773749107
27,6324.220623267237,6844.51662755317,6362.834137178988,6171.521952885259
28,5145.325173400657,5350.222564692627,5078.52368797714,4946.196542751752
29,4631.647717503588,4974.0022791368265,4636.4258075805365,4438.940733959551
30,7728.966137005679,8252.201974023621,7721.721332137491,7366.540382857543
31,8321.63518630698,8732.19579346431,8308.928492018524,7986.092091596942
32,4909.895765240539,5370.244932298676,4947.783220591268,4794.149424251722
33,9982.986284584296,10599.347061519082,9960.94137858678,9666.82241311371
34,9228.41005398692,9905.359737900171,9341.05839439354,8986.362289022023
35,14164.410889756293,15168.498259956925,14365.24657707962,13904.766089053028
36,5708.983941812562,6225.461273917037,5672.517725716097,5526.093502152966
37,7324.120169800336,7900.122896665244,7475.5354343051295,7291.523411014961
38,4541.850654822073,4939.813611418673,4571.671650193002,4429.651951890821
39,14532.782942924074,15506.779358386008,14431.26253478129,14030.80281025268
40,9010.402544541608,9725.770151210156,8999.480313579643,8670.59423529823
41,10282.901768115576,11024.168234105184,10390.096939670128,10009.60613689074
42,16068.8521276805,17065.735929152834,16003.791521548916,15491.883983647573
43,11851.975333781424,12469.880738547292,11774.557866758838,11441.011614993682
44,10620.897677592357,11209.800835664386,10629.99668217257,10308.614607504012
45,9059.638872784884,9698.510655214704,9017.47237956028,8713.016680811634
46,13837.202726542382,14656.5706786578,13895.280827255769,13352.049043319292
47,8263.784963528346,8780.168759322134,8232.271162091249,7879.049698226139
48,5237.410110948579,5524.079335193894,5154.7402111828615,4968.318647538438
49,5292.1657456179655,5672.396441144686,5225.919709446773,5055.824012168281
50,16932.787150988162,18191.004067288908,16703.359145942053,16184.644397985598
51,10242.877070112754,11205.53384925329,10338.540949158452,10052.276548727154
52,8744.578926933824,9434.454641941282,8667.740437807222,8505.084581245006
53,12865.811993055986,13939.275642662618,12779.839703154415,12478.952943218974
54,8018.871504236966,8543.208452079656,7890.210222933805,7700.945948585242
55,14139.236348512104,15126.7349350082,14210.958777423177,13721.713173533575
56,8831.701021340084,9414.800947509952,8773.63439202762,8612.073870655415
57,3670.2151809090265,3923.430591052641,3709.0462104820017,3580.764684637211
58,15190.165978024272,16181.331674548715,15195.575826042084,14679.847885108347
59,8862.33066453117,9510.409293500878,8733.793835264045,8493.036790700926
60,12680.892627494804,13470.33832573083,12643.0591997455,12204.68166061441
61,3444.9324903790266,3740.138706179554,3515.0917147088485,3384.834780854252
62,4711.073751180327,5070.75645241833,4680.308446614816,4503.257911138294
63,5633.371253351965,5953.944140395568,5625.868760668504,5494.5255494702615
64,7321.727056748218,7865.0731565449405,7400.598785186872,7102.213208902202
65,7485.659576154816,7896.269766587465,7537.105918591984,7228.609706052457
66,4274.66270631294,4519.615922343718,4228.805113101847,4093.060637554944
67,4500.993960800883,4820.128012906131,4482.750145568684,4338.980991176451
68,8603.106915088883,9186.868049849618,8516.665764409594,8246.085111625542
