,Alpha_C1,Alpha_C2,Alpha_C3,Alpha_C4
0,16638.39867773393,16517.206943015313,20126.62309807579,18276.03576973553
1,10337.264468910616,10516.43392638483,12993.726897918785,11828.719913470868
2,9370.391650442554,9508.31624163506,11625.317006942296,10573.034562703417
3,4302.317163837655,4365.530001710445,5367.008988870068,4845.835293535112
4,4094.813439682018,4237.603874562716,5043.51587101832,4691.9679897034175
5,3376.6544307676368,3455.621751854024,4144.727145947049,3763.8675661598777
6,7427.1993260741265,7697.063086812788,9241.63259953436,8491.599611999765
7,5590.34785204851,5812.580210484883,6856.158193872917,6355.252000934649
8,4080.869149355142,4319.316470893814,4970.795836547375,4643.418375602076
9,6825.1057947154295,7075.347347097741,8177.701552496859,7612.243655682918
10,14350.96122296992,14962.93104298232,17115.61772043952,16046.08784629412
11,12697.59980172522,13324.09081455206,15250.190556160103,14231.1847703711
12,8802.860801759523,9186.621709766709,10546.99469108575,9891.336520231172
13,9033.084643032544,9433.481801609983,10791.3919327064,10054.688761422569
14,9809.349894522536,10232.19454608432,11569.022317152245,10838.9706874352
15,5714.680997897681,6044.127444005913,6818.005619574639,6370.479269497198
16,12074.08064939035,12624.388154876004,14205.11410239043,13359.058662366966
19,12645.1620247331,13411.358608864295,14742.952670709794,13965.012361521514
20,11929.897515873075,12579.882327178044,13747.015826368692,13042.390422731823
21,10839.71477915704,11426.154334261462,12675.307266261392,11874.225283723716
22,13801.587304331502,14775.580327975093,16079.999895081042,15336.750211175648
23,7396.48140738157,7877.013080372755,8425.736122589593,8072.194451548248
24,5311.017016541944,5588.137604336381,6021.67737670054,5714.07181877941
25,22156.572696965013,23985.543804961093,25688.174992378543,24476.71212687104
26,15949.040298620668,16972.690106954506,17975.494499748987,17312.97508196498
27,11852.15699573866,12715.051332872805,13665.674579507291,12919.521865382172
28,13256.97686463839,14160.15825806757,14978.575859441144,14298.53178788429
29,6255.818446780146,6660.004832891628,7094.362548219693,6824.292128265214
30,11627.99971874963,12394.762073149872,12985.744487318709,12496.717543216662
31,13188.882400618688,14125.519379739428,14836.096950154191,14283.740673487584
32,8654.876626314433,9243.067499323492,9939.189475344989,9395.175939301547
33,5886.143867732446,6260.173582695985,6566.217130114541,6279.014288576848
34,12822.068834978909,13775.41629527685,14681.480913113091,13971.932254439786
35,7395.937185266902,7931.788804450197,8135.3331369069565,7844.110828511749
36,14351.23333118681,15459.619001384008,16163.224227556912,15499.606432028462
37,6875.226012219198,7366.530559994745,7594.744379717285,7277.052408309099
38,9807.647410675245,10589.638319224052,10915.684250401991,10449.825653470309
39,11261.750207710033,12197.516587732882,12690.802625489869,12156.802247062986
40,11786.573526247666,12635.428163046654,13193.749425153876,12572.840544181956
41,7438.274026125669,8032.24711030312,8242.867220467591,7963.787470398644
42,9253.747068715496,9950.321092048003,10245.427397560665,9830.91633814536
43,16932.223083654968,18325.738511679272,18785.556781931005,18194.97470121906
44,8039.197988683412,8506.810224509845,8861.068545620974,8442.633139844846
45,21654.703600922283,23369.9615613218,23908.42239752736,22984.968571567493
46,10647.754894440832,11402.370023247144,11719.602409745565,11253.470191201592
47,12953.72083540708,13985.327727562177,14261.577902602276,13734.597678918872
48,13546.388341428608,14683.751219601596,14765.753348938782,14252.172760482685
49,11027.45995877638,11898.865286725297,12108.705295631946,11692.921508252712
50,13029.266433120947,14029.279847106483,14241.130623990714,13708.948163404231
51,14176.611800921048,15160.63065231267,15542.197241892283,14898.216894185478
52,9972.234032429353,10810.589121739202,10947.583935046056,10579.84752789905
53,7516.396610373067,8175.457255315016,8285.195658300132,8032.755409090374
54,13412.709982145829,14470.684251178986,14776.07259394202,14179.492563791153
55,14359.692442665904,15373.322090778713,15687.330661619417,15104.185171619933
56,9407.897008624248,10185.534032276466,10339.432911363234,10000.416292222304
57,12110.28111706722,13133.458912390324,13115.022321341365,12728.764938071316
58,15273.676533948834,16365.974429798016,16449.80703262908,15880.117267929509
59,6787.409529380909,7362.438263527005,7368.083124995326,7114.771455581536
60,9652.11182155278,10421.77526642324,10533.723232040227,10161.542767047917
61,5374.477875925749,5810.926352004575,5819.247161149672,5654.236816053543
62,14190.507960089151,15317.79623203298,15358.500600132844,14897.326052590848
63,10433.341981018844,11282.690452882962,11225.359107721612,10965.59919827927
64,12641.176834713024,13660.065471750517,13669.032855194097,13246.873911517654
65,8077.290730061601,8732.84639715755,8764.609173564577,8502.547618923934
66,13345.773240047838,14391.840410176868,14280.544448066728,13831.197122162488
67,10865.361705252,11867.556471944015,11722.29217154082,11440.24087311872
68,18726.265179514263,20048.919350676017,19867.65078437552,19242.52881390315
69,13168.469057091794,14252.563654604608,14182.298392189252,13669.218946267938
70,8951.856680839395,9565.547520297589,9572.88949778748,9240.335418254544
71,9473.614263581168,10198.204160690497,10202.82544021168,9931.677293831548
72,22711.576510986302,24453.2937472186,24385.796471296457,23622.0473570615
73,8124.889294181092,8777.870096735547,8684.769061929903,8411.033443309156
74,14158.235200652172,15286.9912814338,15114.620300659322,14674.481516515412
75,6503.113188819982,7098.651749411225,6988.669114969395,6801.204094934503
76,7818.113780688584,8424.9187516148,8335.31564026394,8037.764554845397
77,13604.45160101574,14659.999986679515,14373.602724332872,14004.267190714392
78,4952.485656821478,5408.536175691204,5299.461525992005,5158.814779813592
79,8555.699356029187,9270.761286118315,9107.2346121455,8861.011750407135
80,7687.721549980488,8294.839670958296,8234.703209012561,7979.056852486163
81,12698.581009511752,13658.289838603225,13482.373455653693,13098.997382128236
82,12540.722463327951,13528.50620273436,13387.433856932845,12959.052044437583
83,9024.929754635268,9840.730050084152,9604.153491601206,9460.638926795911
84,20025.533578762064,21562.34990151652,21193.98848946939,20596.128080434948
85,9592.639474050908,10331.772474331248,10154.242423427657,9931.186417484429
86,16446.07755744376,17770.808944724948,17484.661992730456,16964.941078554308
87,4299.955941540669,4593.66409358768,4504.177498844248,4426.062269219681
88,7154.135946789543,7705.151409554721,7722.308815129609,7436.631913938221
89,18830.595273663334,20307.13347431264,19951.684036441708,19424.396638276983
90,11177.273545657335,12109.21585894787,11765.395595399285,11476.127215879187
91,15577.594758104198,16761.01986297307,16601.85664272747,16018.688830399702
92,6380.137487832476,6968.160065829069,6692.090179184484,6567.981774350693
93,19089.599373807974,20534.04241777236,20270.73263437945,19602.30718152217
94,16995.818659752145,18313.639819022832,18204.67120938361,17568.176945108255
95,15343.61224698066,16561.85792152489,16143.958234182055,15688.207727436367
99,14993.133854372263,16263.58826867197,16092.301738007642,15563.180038579516
102,11398.898724066486,12269.059887317784,12004.910887104426,11637.501566340074
104,13202.620736235524,14210.309108680747,13863.681515573102,13499.851678573952
