,Beta_C1,Beta_C2,Beta_C3,Beta_C4
0,8701.722126813744,8738.51205671771,10776.50026942734,9777.018478550905
1,8626.556621590067,8722.590409514893,10774.239912153447,9749.55543384336
2,9741.102754417663,9868.50699972303,12100.972831054369,10974.836201391236
3,4432.853829907626,4536.736693663416,5511.133099513758,5030.548451966057
4,10217.341709905331,10416.33761498153,12620.832363675518,11542.249199126698
5,3784.324588542561,3867.631261077322,4617.685915173017,4199.848540338302
6,6023.14864956638,6199.6368360153165,7401.615166278629,6760.937403240218
7,6819.499269792577,7004.31817041801,8292.319529989136,7638.063260244204
8,5704.821044313276,5912.322721308505,6967.997677268406,6426.418490376814
9,9830.652282374966,10224.85978306462,11925.878676332855,11016.127259002464
10,7431.339232533239,7691.774378954976,8912.38221863294,8272.578670815547
11,12920.259239146706,13383.21816689888,15455.584783166156,14350.088253501764
12,9981.984714550728,10402.021724831036,11929.390802862305,11121.237463923511
13,11462.80199251877,11922.347015777168,13572.196184938392,12651.03385503206
14,19264.89363274929,20146.462077478187,22817.25218379983,21314.01967825809
15,12295.743215460818,12816.742167126373,14475.859793690262,13497.497809216464
16,8375.672348129838,8608.520324826355,9806.106512503166,9142.046821471173
19,6883.106925005385,7245.34006332644,8009.2385756874655,7531.167788329492
20,13168.042132438764,13973.652430505334,15237.173477158003,14393.101282053456
21,14932.466407155744,15715.22510301736,17243.11401783229,16239.28299238725
22,11342.771477234872,11973.61489458849,13019.65599464109,12318.363068996276
23,13871.186859148198,14670.848482668143,15894.056186371798,15048.715436927234
24,9969.372849134586,10564.98711691955,11342.55119805194,10766.135282291378
25,12937.831078758289,13769.602334494548,14886.175835732003,14091.62088695392
26,17531.662900687283,18641.98590488228,19943.09773782156,18918.407861621385
27,10837.114048552903,11440.310294095229,12296.89749202093,11625.624294871586
28,9321.1357983897,9868.287371582948,10562.11550942792,10018.991445832642
29,11037.74731251456,11717.415331645454,12498.779740768052,11817.043723263823
30,4075.992181526364,4309.394920629499,4598.836113117253,4359.08593846729
31,6539.766272962471,6979.647229271712,7385.102825446656,7006.539033985245
32,10996.761215167273,11625.112359575,12303.256193772791,11690.948735395878
33,9361.98656633452,9943.312948342847,10466.720019677872,9982.816526983976
34,12167.64765227984,12902.59208088522,13637.961418077755,12977.16211682035
35,5644.859808870599,5983.319070826501,6289.926843144644,5982.118639559358
36,8314.713685250224,8851.678634945098,9298.020948888974,8839.475272407237
37,14562.4281911036,15533.648024562037,16186.37000894526,15460.186823493332
38,11762.348904708342,12570.999493183415,13082.712991624738,12512.521964389538
39,12731.1666646433,13503.750819787752,14108.072515983702,13452.156726117437
40,8253.311479052249,8812.208375486043,9227.348471345766,8784.169239101935
41,4803.3222954875655,5086.706833993413,5274.985096303154,5034.217125573429
42,8023.311653928799,8577.900399117909,8827.278354341088,8472.215314662006
43,7974.494077420493,8474.968656363557,8774.02665900886,8407.210380474417
44,18776.929128937325,19859.313483564933,20603.590411751164,19670.821022822347
45,11253.570372074772,11941.173258059676,12426.544071243665,11830.902017900828
46,17197.64150778192,18400.99446667187,18896.89564404472,18170.474106323865
47,11911.729733429296,12673.821908200298,12991.006570958129,12466.31868587927
48,15303.04776596651,16315.943267286468,16732.73020243977,15953.400648598532
49,11486.661983718455,12245.37820510428,12540.774455539726,12033.27987765442
50,5962.284621628521,6364.777657183152,6484.331918899042,6235.427492263739
51,5390.598977194875,5743.309744714634,5907.671809450864,5632.7124248147575
52,10315.609961864388,11035.288693189998,11238.309200275047,10841.503603803863
53,17022.90568486352,18221.61120636437,18438.34138655132,17817.596958548278
54,8964.057409207626,9521.650802307604,9728.69367368975,9358.209073591548
55,10129.998857804356,10822.43628364403,10958.653765153718,10549.134491325993
56,10360.947522464268,11087.03929644543,11327.182101753027,10845.45369894236
57,9596.260008963538,10240.083368017726,10461.568454882456,10039.49860335852
58,9043.537703550755,9684.996494702043,9783.648409995028,9453.664748802912
59,11146.658295541649,11871.031526266264,12096.49030061974,11574.240725668817
60,18103.548135178287,19341.116426819208,19614.16444606896,18866.867794538583
61,13362.740893462917,14287.953136725791,14397.245810518094,13857.22426726473
62,12083.709246838383,12851.802756020936,13033.884832783946,12556.610230165496
63,11485.438687880756,12237.95888744722,12412.639505785435,11894.835705603393
64,8534.992125174464,9154.477289568673,9160.456628970574,8826.69937288011
65,7887.234667560778,8392.779032714569,8514.992361838384,8162.519295174288
66,12851.297538489507,13771.150538658983,13859.25481865239,13355.290642765827
67,8735.585252497494,9296.064198325765,9352.214206849028,9026.850818394654
68,6696.6742386139,7145.485516838137,7168.466676414651,6934.662708916393
69,9348.280330233309,10018.14569534739,9998.234247058152,9674.66490031815
70,7138.952801615732,7588.663294077367,7627.317576972771,7332.843580416167
71,9744.50114520772,10364.972417614255,10457.149774164516,9993.275655671525
72,10011.09928903803,10717.497322217389,10678.881544794716,10337.077458119737
73,7456.1024037619,7985.943321310066,7980.705223365014,7717.241441781913
74,9272.01369230054,9887.792478130956,9905.265028404534,9510.808600997265
75,5714.286711768645,6147.0190724328695,6119.659996081417,5905.421300154406
76,14538.154681226282,15584.694824899309,15509.9496188885,14920.190007780557
77,7181.992618204663,7621.221582240488,7643.143715727569,7331.958764530927
78,6152.679836380566,6556.074653843112,6505.201484236049,6271.255109953614
79,8989.09709733472,9670.085557615168,9583.960322079532,9295.08904557776
80,5542.835527843997,5969.595356661084,5919.098117780187,5738.497258758435
81,11893.298764121377,12741.999320518156,12650.326425479549,12237.81079164861
82,11783.82034849926,12578.604179379305,12560.292983094852,12129.555078619262
83,4986.46049042457,5325.756330496119,5294.474370799922,5113.236263780883
84,11807.44236311498,12632.293651062402,12510.386033163612,12085.454701801566
85,14193.526970260918,15096.388872876643,15027.18649219522,14479.489520612478
86,14383.230736435373,15378.325559162671,15336.230113322708,14708.045683728178
87,11188.034797535436,11986.765129616551,11916.487660484445,11543.894872276502
88,12934.51543792642,13918.995766899534,13762.3446157765,13348.654923466562
89,17351.256086943733,18624.97027862361,18254.38393834222,17728.15515064239
90,11001.390731738911,11748.311350982158,11642.031525986346,11216.844044583991
91,8181.493686736771,8680.565792531801,8640.415246966453,8289.601266467558
92,3327.5596190828755,3552.5503362659265,3523.9918178035205,3387.2876126877086
93,9967.52738745218,10672.135084445565,10520.539009884082,10154.578685772707
94,10100.635717464307,10817.853393078894,10695.088687659092,10314.921975517242
95,7656.168227122303,8233.43125632637,8103.290797761682,7851.451033051923
99,9311.15699282273,10011.538850846957,9833.145327333345,9575.190066468129
102,7801.720018825327,8352.654553431812,8202.548656239436,7944.081486161529
104,6436.422489403,6888.326076458314,6742.035027920385,6519.599156674965
105,5158.297905405387,5526.186447383183,5404.45855137412,5262.23107208358
106,14510.536296483991,15527.159136020991,15188.970039208463,14791.962725869564
107,8817.210777512957,9394.453972989078,9268.780858714044,8964.36084677286
108,20320.07266040517,21776.969876966283,21266.60351297861,20686.344118705783
109,11653.58780139165,12425.436905394015,12127.167100148194,11850.339364317018
112,11109.813575795217,11867.34621251452,11550.73934474922,11243.136026242975
113,9091.302602474358,9693.345928485029,9493.895441372744,9182.606811863168
114,12118.717338021655,12946.155118351577,12619.737015073575,12247.470961948957
115,8647.468617129038,9235.545946711369,9035.347933156829,8769.567288454773
116,9828.260814487849,10527.246505369869,10244.188588414763,9945.084079985963
117,13988.931766230451,14914.855702728451,14576.17656464394,14096.607252633115
118,11023.033398718871,11816.84057847126,11467.207721003526,11098.195252088515
119,12925.01041666408,13769.77633215888,13507.984909606972,12979.1542612405
120,6073.8974424605085,6482.447656916591,6330.777686911481,6114.149217761912
121,19742.47445778026,21129.029765254592,20541.04636942391,19917.246322389445
122,8276.837127133,8822.13813098475,8604.690946870674,8329.087738443232
123,9804.645825919277,10504.020368461868,10192.94447577099,9907.31323264583
124,11608.831018165689,12405.379020089733,12032.387303761096,11652.961156362264
125,10164.263907160384,10898.335988397685,10578.878907850683,10244.588346593302
126,16533.196734029854,17650.087327048226,17187.683138359174,16605.904760086985
127,12280.035517169928,13137.053209896876,12743.575965738635,12335.660822372718
128,13732.927040876451,14686.4187890065,14346.443054544276,13867.09620751334
129,8741.343952195704,9383.676096769788,9067.886773971228,8814.998324951488
130,12942.493751104344,13782.814071480789,13429.962382084195,13022.93533270141
131,10686.44564355999,11379.415181855304,11128.562564690124,10727.219907047744
132,11986.420643796277,12815.05631278376,12481.945468096315,12008.3238477198
133,11699.989170955503,12534.98152821404,12125.64958083431,11794.493169959718
134,10383.560660025008,11080.859370779492,10759.389951624313,10428.685599052153
135,11510.956400941826,12289.724966468028,11916.773716171958,11526.21091092502
136,4605.114054635979,4904.325239839384,4784.129694311054,4607.7790539062735
137,10371.84209177005,11089.11351680578,10702.79122692578,10389.44600074711
138,9960.867142878187,10656.044185783026,10293.464869642874,9976.204947898965
139,11166.255036928836,11874.085281707785,11580.129631626813,11192.428977636557
140,14078.650116421626,15079.640008129612,14479.644251134056,14077.526885156016
141,11872.275786589757,12763.33558973102,12267.86384857522,11951.12929084259
142,7980.705521780145,8537.045214781629,8285.719728420032,8022.816753514053
143,8864.869595412527,9447.694139691552,9144.171650256663,8860.933848164354
144,10879.017976340836,11612.760293065889,11230.891223850247,10862.767929926393
145,16456.378577548083,17522.50600253444,16912.498129088486,16424.65440023537
146,18205.048252754976,19503.53821702789,18958.01012487796,18341.233107834247
147,7511.257458047125,8059.586045442003,7737.859359534468,7461.833289194974
148,6640.6620282151125,7099.690042929275,6857.288667898868,6663.036302102182
