,Delta_C1,Delta_C2,Delta_C3,Delta_C4
0,36046.09866550515,41539.64736826551,49150.67945323327,44802.639337384
1,524.4353150124824,509.20050116048594,998.3161265168276,914.9385997781916
2,480.06767213701664,494.91743832045375,809.7720038664542,784.1744081901718
3,1050.1566665981754,1043.7025898937418,1523.2540457971072,1450.080078895512
4,2760.6640674153155,3143.9156221054072,4161.2816010850365,3917.5373429180936
5,3273.1860087896634,3329.4931673827905,4541.221761327823,4749.164669928839
6,2957.7014419516727,2855.4043379549485,3862.720253925215,4073.54206523331
7,6191.488656545579,6546.928554938877,8127.990477054263,8410.944071257694
8,2453.3411308157592,2477.535447830925,2745.624710036908,3273.531516692773
9,3042.512361345693,3076.95651720637,3448.719808373815,3906.121670073831
10,3178.7923433510546,3217.8363895935545,3574.52325990709,4229.253454073663
11,4042.043305648871,3935.561023966509,4524.155437184912,5201.480420563898
12,4212.513642697668,4275.349719961894,4500.698101751649,5207.748680470578
13,5924.668305591412,5998.504751587572,6474.990819948649,7273.083590318469
14,6550.996393821263,6756.702719460808,7252.220788724477,8283.257143850986
15,8332.002513877349,8378.9746522451,9161.009570976968,10121.62305661068
16,10653.012569215683,11647.062243097083,12027.952099083808,13214.702521009383
19,48748.80320047222,61339.657618221216,59409.24610713515,58221.74323339849
20,18052.788224911543,20064.40044499849,16730.56624256092,18103.4460143406
21,28091.685166896288,29436.699052484477,31140.383395512537,31770.164711737823
22,18048.88111725809,18458.25770393428,19042.644385193053,20132.186138918158
23,18779.803925259614,18961.6034211874,19701.24831647073,21051.348937269027
24,17957.089273628284,17951.136596338485,18236.805209406728,19660.96576921937
25,62215.80027348043,69910.01047699084,76106.84177063694,74203.06655821158
26,25269.870215086885,25263.84101865576,26538.27607985505,27816.16406556408
27,25915.33053935729,25855.49401800655,26055.30375919515,27788.642519527224
28,24294.978054008847,24369.432309760712,24833.510901832105,26386.66498517864
29,25798.36099100891,25728.750716500508,26044.30372653168,27688.90914436877
30,29212.30742607574,29454.36180840154,29969.12248991421,31710.375927473317
31,29189.82770856046,29551.31712938008,29445.486198975635,31565.316751646904
32,34891.76972185291,35337.393973375045,35594.324723210164,37676.82803892826
33,35667.088858906885,35002.47555490371,35851.84841500459,37652.62154126377
34,48998.48608318576,50717.73305777833,53011.83329902812,53936.60206305966
35,45241.56183960013,45710.03667753912,46868.58036556362,48338.625092724935
36,39471.862318338135,39169.36104703641,39434.34596185505,41651.715438772415
37,43278.24634415464,42974.10059524314,43983.21408967003,46035.50003143766
38,48439.61607205056,49054.14998224116,49986.72064732222,51556.30846491525
39,77970.50196993537,83745.91283248147,88188.22679119423,88028.0561380603
40,62535.223358502495,63672.846594441646,64463.41371178904,66542.0813198073
41,53259.37880441704,53210.18020548786,53349.263590392206,55754.58284139366
42,60451.76157714472,60174.90321966216,61678.87006266719,63059.814544778696
43,59101.62355985156,58606.57060738486,59851.02861493141,61740.22717869281
44,61878.49766046302,61397.91634434234,61670.76116939532,64092.01444216864
45,94039.2294773852,95177.22096985394,96560.81527293388,99276.68899799534
46,67375.76899666431,66847.21704604836,67924.28791495925,70087.46033056281
47,62570.71580804126,62754.03629046796,63543.92077191601,65414.9430310532
48,88949.64787925883,87457.78450692481,89162.01591618292,91937.2527636568
49,77313.13336153206,76853.34027222222,77757.58766166198,80176.24446460244
50,79719.5689038619,79199.80045251081,80059.27236069736,82116.43074421122
51,82601.10043826855,81909.99148218795,83108.81891705199,85088.61410145415
52,87598.55448174066,86627.86021709917,88331.52947389429,89645.59790472806
53,122061.78409158498,125162.67293916868,127589.10938945052,128422.26308172775
54,110246.06176707867,112764.58620563518,113283.91415415416,115712.89223490568
55,99503.04347452227,98782.20586091514,99493.11206862678,102290.591815299
56,101052.27643001617,100156.988392451,101891.41249712463,104508.30378482156
57,101820.33064656476,101298.49299433683,101813.4506558258,104502.28415451956
58,109670.3847680796,109080.87028312318,109798.58454472174,112693.5994125727
59,116641.32099143196,118028.05508544284,119902.9014159646,121780.54415044334
60,114341.18568054192,113119.39092174616,113961.46300233292,116537.01226483834
61,118638.65818984847,117830.21600271067,118399.60504102614,121312.2031453361
