,Gamma_C1,Gamma_C2,Gamma_C3,Gamma_C4
1,39.04677214394751,39.10628622879764,49.6092585677888,43.66792905298457
2,19.041833729785598,19.090579585541175,24.000140205706423,21.30582993247033
3,21.244201861604544,21.738734189283058,27.25916491660772,23.77308886223779
4,36.89374748853867,37.50788974654062,47.25663296507014,42.19212981350783
5,39.29337982607446,39.79266497494622,50.6476668178167,44.00429317056958
6,24.85813540644545,25.828747577423595,30.79098294883485,27.725725482359884
7,26.542888574283054,26.94838377050687,34.02672438449189,29.72540513476561
8,28.39086390343781,29.68807881271219,36.18214216574749,31.52393070664727
9,18.85769357876526,19.339846581480533,22.943833280868503,20.682917888993824
10,30.137485337642484,30.80513231377649,37.32014575742493,33.530868250561745
11,13.560416132057302,13.858677632724524,16.754983423547436,14.694004881040003
12,27.09884855732274,28.517055115791745,33.52024425577908,30.034840066289284
13,30.630722333954992,31.530604791272054,36.7424305344864,33.62962964273681
14,20.22453661346074,20.780979390581148,24.692358354422662,22.443458551963342
15,32.29132348698669,32.88263334427183,38.21107459385814,34.499761495732166
19,23.58334420149945,24.228865771544505,27.89087601344616,25.237056117111536
20,19.849199585334397,20.70966329192164,23.786854899992846,21.763892665251525
21,40.14212423744696,41.27541528633627,46.73980949750096,43.51101025428683
22,22.583192196188055,23.60913957104553,25.864331760072066,23.997491404903062
23,24.647194398322736,25.22374154830053,28.522918888714365,26.128760007126736
24,23.02339793255893,24.246515883830764,26.9724372125618,24.81263253251177
26,23.102808362776777,24.73382488349831,26.736589107163866,24.891671431231728
27,16.959896786897836,17.60669782631913,19.62283329219512,17.89124417824191
28,27.16731233623681,28.089878373560204,30.85803761275589,28.44520860582144
29,33.09925355742163,34.6974920549966,37.10436009140388,35.02617165232916
30,36.99852839521103,38.87940826865632,41.979901313774846,38.400913385882205
31,20.85993041056802,22.595596524095168,24.158610989603343,22.379290936242747
32,29.328266951718764,30.998196010699264,32.81398807969966,30.5426788959282
33,42.403188338572505,44.41779568552947,48.94714561825719,44.7392432067469
34,37.78898642822995,40.29858452434425,43.81190457495648,40.08817011874721
35,32.14266884852792,33.51742477508899,36.75966690253811,33.656245596077966
36,38.693211204822695,40.42691686772088,43.02975115043359,39.78654567105564
37,33.92871301522649,35.51055195575537,38.071323207544815,35.29514442041701
38,21.04513656271461,21.925430760417846,23.606444520645105,21.735781122794982
40,18.898104133946877,19.38245899978221,20.659055931191343,19.212719058236768
41,37.49934289901771,39.8471458847772,41.8147434264591,39.33167147423966
42,25.57018794612029,26.350249223658203,28.837228757117053,26.25458284694125
43,27.041270517584383,28.467546792727884,30.09431412391783,27.92321369578235
44,47.91638430068193,50.19812325395091,52.83873684642123,49.85084720671585
45,33.152473870587066,35.225638867662695,37.41939154175365,34.38442414802237
46,32.2888700995389,33.97053036835783,35.16982647465247,32.988241728563565
47,10.938219481887383,11.392685596608214,11.823980044925042,11.255517626568388
48,20.30733740703637,21.65069686228149,22.33715944630789,21.39828143758971
49,11.81396714759859,12.326470965823708,13.02135311903947,12.078047845814869
50,21.08146664220606,22.13525158683302,23.098659690485007,21.591043486838192
51,28.64314568936885,30.073032983230213,31.92853278714337,29.529632547061578
52,25.769108526624475,26.84615327155217,28.474955819799504,26.45549725887625
53,30.06760323362556,31.526153685320764,32.91914646052423,30.566474064823755
54,22.80564558378728,24.24985129208868,25.522771529826866,23.939705562083216
55,26.97504135134822,28.19699644138393,29.605974867580624,27.49436120472037
56,29.504406473763936,31.031743818434432,32.352784747207544,30.72067218930816
57,22.017262239508117,22.027008367666,22.58096140189401,21.617582354842217
58,39.48260605180441,41.13361053801103,43.24170832978928,40.14449450411656
59,45.02621995200527,48.07260795215584,49.101615287998825,46.24819118830227
60,30.45492130423978,31.969997525037485,32.895805427083225,30.40094348289913
61,12.42859897433657,12.88364323187931,13.542952127820476,12.601759738999773
62,17.43519999206243,18.707626343334955,19.33757962006901,18.328317916674838
63,22.944599769847684,23.49423603266384,24.303000531294927,23.209212064507263
64,19.651797679386004,20.46299082084602,20.851309305762808,19.683407511298437
65,26.699499805284272,27.7234451622233,28.32920675012399,26.778585713895875
66,19.602490315777302,20.430160287045634,21.254113957220703,19.50900483719869
67,26.77820341434885,28.05645280354222,28.582589619442672,26.87629238512581
68,35.94777168376376,37.97223535851912,39.03988829871954,36.811767192987446
69,24.4514950601238,25.57528655788474,26.442578067068855,24.84251065814589
70,31.564502329752155,33.5739421597078,34.0651713088078,31.41413808166975
71,33.97113620625339,34.80323152244983,36.31202000425512,33.727863956100954
72,29.82340193966791,31.20176589470267,31.507292811556333,29.54376567553949
73,26.19506238556229,27.1158020933077,27.237932928914173,25.44672865890568
74,36.23615964286204,38.76658790012469,38.462212438195245,36.57110146008557
75,26.378933359089626,27.400814639997694,28.57013199732884,26.57864311469376
76,17.578744048857832,18.35973960417147,18.53068183548052,17.635852198011765
77,25.455119973063795,26.504046462234257,26.68031292062471,24.992314539589923
78,40.349700198467936,42.03638695412503,42.44450737355235,40.18211270727397
79,27.752244568480865,28.954400016223527,29.45064896958585,27.405126190904227
80,25.217737743515777,26.103463982889213,26.99812638396897,25.46652091410422
81,24.36708790189124,25.708347021685174,26.16126424723911,24.74741766407101
82,37.084032172081336,38.63888501140991,39.51423826516771,37.315422909806166
83,19.497253217561333,20.34389806829267,20.662147110364412,19.35582727202028
84,38.563195684909736,41.363598428672674,40.81039992148709,38.87283976156824
85,25.678312553962545,26.955908738395987,27.65740725560032,25.78283488170636
86,21.938431366847865,23.119162385787224,23.024255702225705,22.103240243060927
87,25.322942043939403,26.92818207333199,27.75523093355654,25.85008597600679
88,28.5135619457294,29.81443218114597,29.94660954370924,28.074073155479542
89,25.456533117880166,26.715885874686848,26.622399264846727,25.0590708360052
90,20.881805325348928,22.210442007568865,22.28067408427616,20.652855287001582
91,22.90781792372184,23.711020160630905,24.051266074146195,22.47607904910896
