,Beta_C1,Beta_C2,Beta_C3,Beta_C4
1,2573.556295387916,2726.091979020234,2253.9255548638216,1914.139289306608
2,7708.170484744889,8143.233236454519,6756.328793309252,5697.659648149531
4,5082.378750826675,5437.114952365521,4465.595479724284,3910.294177973792
5,3505.9298685593926,3752.2858861978425,3100.018157875192,2778.898936740587
6,5366.494724665813,5669.49641903948,4659.851968651363,4171.3224148999225
7,3881.890112227252,4120.709188995859,3438.3530018647125,2990.3986273052064
8,7230.87977633125,7634.527662614208,6378.379780350532,5809.287826390696
9,3783.220023032511,3986.4875600768232,3376.486076219622,3063.551414857135
10,5193.402655774822,5474.039162792321,4576.754908860457,4631.871080627939
12,2959.4493078731,3148.947439854477,2645.0699433774785,2245.1764936394607
14,2170.7615629738493,2289.168935086048,1908.1210508078127,1797.5427617498376
16,6742.581410584668,7095.43311679252,5998.596308679809,5313.5448369144015
17,6567.323785385116,6967.0328005459005,5813.563056685156,4999.134005924303
18,2695.384627355765,2769.7766803172804,2370.7122579247693,2062.587290666094
19,4071.37617838916,4220.689075302373,3607.344758134114,3063.844626689729
20,2322.060755702287,2377.812255452843,2038.992618115345,1767.6980272047251
21,2522.846132724239,2628.973393440337,2229.615542742562,1875.78887032816
22,1941.852213866808,2020.722351940524,1752.9374325915817,1459.7881386991696
23,6930.42740130693,7293.939860804981,6171.40576797214,5134.923380926388
24,3585.452881871985,3769.8492918301863,3244.7657931950853,2686.756603641642
25,4461.266772473355,4692.6542811762965,3982.0244461842735,3289.097254420009
27,2253.02435418298,2407.902646644304,2053.363859794109,1658.5403916029434
28,2498.102058454718,2622.952309807803,2221.728182712609,1907.6044674138568
29,4948.78741118497,5205.678981714132,4424.356595283522,3692.383034379244
30,4459.1540150926685,4762.07196579313,4045.134919106136,3332.605849689094
31,7099.965361220355,7459.569701974173,6372.812181671218,5364.5425180463335
33,3366.7256612558667,3585.783717180547,2987.777705522916,2536.744596105812
34,2566.946891509661,2725.540850413513,2293.4047073351844,1922.8026218416571
35,4720.940527440224,5018.039630442495,4224.449310640541,3536.9184411253013
36,4340.339351809422,4561.430867800563,3920.157174811307,3253.7162397537454
37,5828.270493004589,6147.58345936439,5260.749275438441,4376.461092959851
38,3374.519589123809,3567.709900626309,3032.142355717337,2494.422538303995
39,4311.011354858098,4578.060787940253,3886.99240745573,3621.389503146151
40,5822.904482016865,6204.681309624397,5262.707185980378,4539.834190355262
41,2460.72661848034,2545.134176350435,2198.2610851260138,1885.231720523571
42,2263.28496733763,2384.809000816551,2039.0461466916463,1724.5299047824642
43,2163.7511551253992,2296.0355967292203,1950.885723670666,1675.7684669287275
44,4639.497766305273,4874.611258334349,4150.7434767313325,3528.348749124067
45,5789.639742523162,6085.966856497957,5169.960964785693,4325.821421630936
46,4300.128756129459,4578.573395684634,3861.4558560171854,3237.3132792861425
47,2988.7088586244363,3163.789497299296,2698.650278978071,2262.767994657644
48,2183.2060625207228,2291.541580631492,1947.956004357069,1625.7058452958445
50,3090.40414447468,3249.101515522329,2789.2346984326605,2295.695187862501
51,4969.922827388818,5304.708013134823,4510.32611637981,3811.432873263192
52,5416.873238152192,5721.900963349449,4867.07787248718,4125.748852655681
53,4289.0562390443965,4588.764728705503,3931.895058277892,3180.407205864177
54,3556.773326193096,3803.7472063644495,3187.218991678217,2702.2464617356645
55,4357.361306574739,4589.770284936605,3908.7979432216302,3312.371800449895
56,3548.009246261959,3791.4404148938775,3221.184609053758,2666.7422728841816
57,3544.512397388917,3712.446011684032,3176.261510369952,2676.5937138093595
58,3152.70029005704,3292.423730029679,2803.9111461576645,2392.335513259716
59,3129.421989555853,3326.0729478736484,2842.606150416039,2422.8682630113085
60,3069.903263292755,3253.4438235384077,2781.552358044247,2337.75173325417
61,3467.276680513119,3635.889619828448,3097.693846105295,2621.544455335671
62,3990.562819887903,4234.909125986726,3573.641281707341,3072.980290357509
63,4203.143777353818,4465.345302492712,3784.720875707348,3131.3198761502263
64,5218.131763200686,5600.631980155593,4712.622556202538,3984.531769230304
65,3042.1148986095527,3173.0315181655437,2725.129909394178,2329.4492329520976
67,4571.897235998919,4837.89595183735,4134.188090021227,3690.369012027791
68,3049.818705046461,3217.426457511278,2747.986137172133,2327.424473390626
69,4663.610264702827,4921.588094759558,4195.42662337252,3828.455795140009
