,Delta_C1,Delta_C2,Delta_C3,Delta_C4
0,8651.980532374691,16534.292627502866,16012.451564918689,16885.35208916438
1,7224.329800903715,7718.222594167182,6352.657825478906,8979.697766074656
2,95490.74782837056,102785.73708135916,81287.6693654914,124585.23560146365
4,101766.36038656038,109272.84775849512,86388.34219819467,133086.37060718672
5,12650.756675366029,13499.308632281574,11153.456247303457,18453.856348778536
6,122684.98447792226,132029.5348319781,106431.45437521204,160282.93403449052
7,10594.128355302157,11220.425408896182,9389.683363189632,10982.782091209849
8,54523.372272706525,59089.614731254085,47502.27720200665,74503.01241145711
9,77113.60523937673,82914.67630906902,67081.323906744,105815.623183919
10,205921.47416877263,221832.7664197838,176465.45432376544,268426.78480460163
11,53953.22167371455,55528.16489572414,46566.35722640006,40848.59540897144
12,25791.41136692665,26925.96947304845,21221.651062958517,38047.14346816568
14,193129.48545546515,207220.15215055968,167852.21491133745,219778.72730990525
15,89947.52306277733,94927.09561210184,77991.59944965037,99866.98806159529
16,55918.09996364912,58186.30640792723,49095.263341700615,64538.66821368152
17,15380.621656996012,15619.835691022632,15168.781544214606,18432.76724205737
18,15218.212281540798,15045.798521802277,15778.47014791183,13235.06734098287
19,16145.443007858274,16231.16477635476,17726.456771259534,12420.594369577027
20,16173.236494877608,15487.355622491215,16094.815984769142,16537.43194486347
21,22714.084918013723,23572.01305171505,23684.545057760188,14624.38942111975
22,20529.50974136884,20571.857410567143,20844.11719756894,19363.236574150484
23,22865.46770692745,22621.558654180124,22852.004339589228,21642.456533997687
24,24561.672585435463,24718.301353018247,25610.38058792077,27841.13599540085
25,23870.71703430452,24122.74046044172,25235.162646191777,35527.078970968825
27,31891.39886907444,33149.050827931984,32974.701839733214,30367.63396002814
28,29951.321444419056,32858.20201947615,36263.403788348725,36933.55669657696
29,34236.8906654263,34512.04314221953,35139.12600571696,36240.926095695824
30,39409.12159468732,37892.97379684356,37238.97646796777,42231.44881710971
31,41215.51934399331,42888.32209660749,40036.134688752776,60451.61826053013
32,120772.10858247688,126839.44297640618,111258.27924728188,153799.37439645143
33,45232.88759861032,44723.31983680216,45981.860813324616,48701.620242605866
34,48037.4697051571,47421.89809360045,48917.05269004435,51317.38056465561
35,56771.31828107545,56934.685524829576,56775.85218910641,54798.614171566085
36,54621.08193818607,54764.1517376788,55095.66748458305,58224.51759709196
37,58176.97178217042,56759.02607935923,55558.16070295214,58847.29571066956
38,60028.96789030725,59792.75493405612,62269.971410759616,62999.64820279401
39,168373.47113813242,176670.4520312764,158236.28639486857,184280.86787222637
40,57381.99648596742,56865.48412733263,57050.057708944754,112861.9348756584
41,71310.03002553011,71344.53533784777,73394.40298865385,73689.3939008361
42,73790.38617859108,74218.94411552054,75739.66837055622,76923.43347475896
43,78926.91430909041,79143.89738383124,80103.30435910996,78626.5148358038
44,82692.71844773223,82000.23571669994,82483.21103697001,82247.37844788755
45,87896.87307441806,87644.44921316516,88851.0377519968,87612.95079328833
46,87885.45658701526,87406.58706207223,88762.73467758515,93132.37029631696
47,96337.68679716912,96973.8161040306,97788.14619956569,92022.09544473673
48,102622.01094383984,102818.4988158349,103535.41616338176,104711.33106691606
49,305304.13308444,319838.0490984634,286001.6593057977,244631.79193504967
50,112956.65478298056,113152.60567220944,113600.38450159736,100152.46524271446
51,87640.90589842654,87274.15466400346,87475.71357112424,182556.2101780172
52,118637.97849966794,117369.947719327,118713.59861610946,115418.7755471808
53,121860.45505317008,120033.98779268809,122627.49231131286,114740.68507230592
54,117124.3284528969,116108.80910107128,118354.75863415406,129926.3302046085
55,129150.99794027864,128149.21902673214,130176.31160974974,124288.09995032556
56,135261.08403827506,135036.0598724188,136263.3819581794,130775.55998915032
57,138964.46217971802,138573.46933673756,141143.66034878988,134517.09496894223
58,142582.95010402054,141890.30741553783,142527.67955947784,138951.37994036212
59,148710.90015706889,148493.9838667408,150558.86187694335,144060.18111277817
60,154063.05607494008,153212.51627332467,154303.54163306174,153516.09537798664
61,159259.85818248746,158569.00890908524,160052.47063744816,158973.84487565438
62,161236.68375877073,160878.46296138223,162728.78612665177,167537.35887074907
63,168794.91960835533,166993.78595243167,168520.7332990253,172244.43800582865
64,183650.1652644424,182828.51952204015,183526.09667156517,181437.36390325573
65,187072.7393009478,187409.2017475417,187660.9458121977,175678.0107766703
67,188848.05838538203,187452.5285848308,188667.24943437928,217566.94850945767
68,195970.80317973284,194486.6642493504,198477.3215902936,202542.92813251333
69,245515.71354078248,247438.0785986179,242765.93789210968,237899.55334279797
70,207714.1402407517,207393.3030927285,209119.9073989588,221018.27805694175
71,204682.6973519956,205118.56077300565,205551.9654684767,235991.93704869924
72,187402.3090196197,187084.5549105501,186087.77026047293,138076.94013488814
73,224051.80857336908,226673.99471704752,226236.53591059515,243961.2676330978
74,238037.6257851176,236048.83991456305,239755.7605858195,238754.53966953064
