,Delta_C1,Delta_C2,Delta_C3,Delta_C4
0,70293.86947218412,141376.38937255766,146293.5804878422,91864.02713596648
1,3821.510567529931,5275.693258712156,7819.098805145276,4268.949228691111
2,414.0425083741785,604.0373958420271,743.2331155132497,451.0668856568168
3,547.961157798502,800.663336578873,594.1502632316002,451.6677318687326
4,4775.527535079513,6460.75703432028,9005.36132058697,4897.470679529399
5,5967.550703276398,7818.665033527475,9466.877896756285,4972.472198643378
6,7430.22179698778,9393.846364990444,14841.158063944333,16518.701427086588
7,2750.9041760028517,3477.649870379068,4168.957353850279,7505.459546119899
8,3332.118371032853,3988.632656961952,3562.063788153642,3010.182189475029
9,7740.574769426065,9334.477080791865,10517.956756957172,4580.101181837377
10,15782.797313211056,18637.483853475587,25357.33524513917,18346.76695110205
11,5409.583432094158,6353.64713107388,5699.992485742582,5456.580503365939
12,5743.781698478628,6518.017752151663,5925.996099339828,6493.912673773917
13,6553.802235978521,7398.641143458824,6685.642734011609,7419.415797661964
14,6472.381751925365,6915.355829855237,6864.586339896916,10855.965714287466
15,16303.54605346396,18471.791193741574,21502.930711842542,19152.6969015007
16,10873.359529971713,11879.9309076403,11134.920928856323,10710.101728291716
17,13948.954073504823,15306.189539028474,14711.064184711242,14748.828321061354
18,22039.740853059386,24966.11590958365,28793.22886015174,30219.979592574007
19,135075.05129103528,160543.61884043892,213732.48637132213,146538.73809116954
20,19708.028185275056,20998.71782912385,22511.36986630828,21278.558630278403
21,20157.029518651907,22041.003833634066,22532.332596130225,21747.254705343075
22,19982.69232183293,20347.51461824967,20498.89805579706,21727.118401301854
23,20152.32455739284,20764.744019653128,20696.377496273104,23302.822608385697
24,23238.286255892028,23966.639225441584,23589.74482704349,23354.22831738876
25,27989.89139673224,29166.063746863216,30968.194161538693,27410.29663006965
26,28761.21207774852,29919.74895352024,29682.48403512889,27894.93992999988
27,30897.573393962204,31919.163257289994,31166.34426292591,28345.978169567712
28,31308.480734832112,32556.12502258274,32575.54183826196,32194.753082981264
29,34022.80719278591,35040.25522212812,34372.1264167621,34018.489120210186
30,38949.13330556435,40066.27054894772,40804.91337323831,40192.669400181054
31,40092.41052636956,41805.872358812805,40966.91415690606,38938.93860032609
32,39207.44926568864,40153.58293471773,39609.61157639096,49187.29285417763
33,35639.781318019704,36577.61597209578,36436.19436239149,68646.2311844006
34,57055.29514102223,60700.82904951658,64136.51359079965,49755.96617669882
35,49774.52005998134,51147.71772381723,52131.81186305693,52025.834791093046
36,52171.67345213087,53385.040629824514,54023.02371707662,54248.59794331762
37,54792.05797678221,56118.37563443148,55996.81727550585,56509.052457468
38,58091.27974383197,59379.81444418793,60337.23499424391,64556.24914663559
39,64666.61589832971,67858.49642429002,69507.0634198756,81443.22945807988
