,Theta_C1,Theta_C2,Theta_C3,Theta_C4
1,1723.355632707645,2150.1411984845927,2784.476002341408,1580.5524060817538
2,2313.707791626895,2718.2964555124017,3344.326254495289,2068.751419953893
3,1528.6377251656209,1800.290723054426,2248.631376221246,1364.118291299725
4,2908.182988606258,3533.46657651184,4470.850680073701,2775.793081652489
5,3999.005640566869,4813.143377605908,6038.928053699009,3644.3233000431865
6,4292.922259108793,5356.8864887721975,6694.10819383276,4199.020948770512
7,3640.617603569808,4234.629590920185,5133.699142579291,3234.2334461035343
8,3437.267554370568,3901.7159754232025,4793.750990838452,3008.227333643028
9,4199.252119011695,4969.05562518994,6088.994385450321,3905.090242371833
11,3082.969558951423,3423.337368736963,4206.601751052348,2713.108957960614
12,2331.6241825636325,2608.1040122501736,3177.02350655552,2050.238862034605
13,2347.317108916315,2584.881634102196,2982.053616234447,2090.0682999477203
14,1932.669481939856,2124.943525548483,2576.2990464370114,1744.017084372554
16,2066.423979330905,2277.8198416886034,2709.4293526566007,1826.7824691914143
17,4037.181989840087,4593.221527961209,5453.859205300352,3730.2481359242015
20,3575.0525781154915,4100.476456316239,4991.783308557582,3326.380455354056
22,1885.2391302366889,2130.7103962290053,2496.701580678904,1741.873667846819
23,3831.684110421744,4247.647364890863,4886.892297607672,3401.1159466443187
24,3109.3312064218862,3392.204075468353,3902.973957625745,2750.8763204289608
25,2416.364267811107,2639.4783270284647,3020.532677303639,2197.7922813457194
26,3674.488100620026,4049.198012458927,4612.931226196053,3223.630090019501
27,3033.223837970555,3308.111195346176,3801.038868166862,2610.721524031325
28,1910.8601371427944,2075.8048673867715,2318.949688755785,1713.9092249207506
29,2079.621034159325,2231.6955893164154,2521.475219050034,1840.8787276437156
30,2197.989986817991,2471.4041698934093,2881.7028053952545,2097.6105724174918
31,2187.2691068010986,2374.249786514143,2759.053807658406,1928.8572891244928
32,3470.3451195295847,3726.8714299488975,4315.951736732673,3290.5772094459053
33,3920.4229366455634,4378.362969422272,5198.5101586911,3668.498804032025
35,2420.29078637724,2655.224800715235,3036.8610896620366,2213.699442700064
36,2755.264708703341,3020.052675047175,3408.622009874256,2515.747895010845
37,2853.8034096787665,3038.9247947500207,3336.2181773217435,2520.603151146772
38,3001.2857025588746,3343.103715590526,3633.444488546941,2696.792536338786
40,2080.58421834908,2212.2523788220506,2459.466704313896,1854.1784184074716
41,3802.3049684633634,4136.607840550181,4782.542945235921,3725.3681742725394
42,2915.546230447194,3164.8968826231167,3475.4341730671867,2615.616787357229
44,1785.9024617751152,1904.5911469539988,2144.953741932017,1617.906018546391
45,1453.3345394466287,1476.394121129858,1620.416625751527,1280.9495275669408
47,3494.301584029092,3720.758280893864,4137.443648982069,2991.21589760828
48,1508.5883476886977,1589.3272614998352,1774.75965664082,1341.011850037217
49,3163.369518424285,3392.9720416445,3713.285039778223,2777.215855683228
50,3266.833601739542,3446.7016156214186,3891.1927482971496,2918.647642007973
51,2131.9361630195176,2245.993408385948,2476.133849140796,1855.138702582342
53,3718.246407708807,3992.660246174359,4360.617598452584,3306.601751962065
54,2820.8893474160977,3011.213039925588,3286.533963162197,2533.500160822302
55,3541.90653372636,3861.354209139048,4262.69606428375,3354.1805443175863
57,2397.3041250261062,2432.599806256272,2719.291178749289,2118.011066888572
58,1559.5649950113998,1679.866986761835,1859.0535515516303,1491.2283688578364
59,2637.200417864985,2826.760359709305,3057.064880386806,2466.9745661156444
60,1585.2750307759766,1617.9668867335392,1868.26511218742,1459.8761711928132
61,946.8179239004736,972.7221635970632,1107.8784418699645,855.3964125772511
62,2942.530191989862,3073.912876683795,3339.815591650363,2628.3410675510486
63,2813.276577996779,2984.8479414940266,3239.174456014332,2591.5644082311774
64,929.4402379088696,970.4663084380704,1067.9707012715753,881.057057754422
65,2228.373208260497,2279.558046602319,2520.577185022048,1976.9433067172629
66,2405.479814233932,2506.43703585021,2751.9677160597435,2185.5643920037664
67,1425.683940416069,1479.551040431822,1596.495156584532,1267.380435462063
68,2398.2057058609244,2446.7065907886504,2769.7376208749915,2216.100210133438
69,3959.4322112513455,4159.046350201487,4571.204908868624,3678.796538917946
70,1834.1870692500072,1921.447550281685,2050.494833007901,1634.3647925304583
71,2242.38005418548,2258.9516289075364,2604.21286167887,2055.136156390717
73,4172.8954580350455,4309.736658267016,4671.205555479747,3852.911847168396
74,1716.7995771221156,1799.1136168018063,1987.4778587890664,1549.5996493647433
75,5202.994332408329,5572.30416726502,6030.8915659866,5105.009971827035
76,1784.9929537180087,1836.1577620373928,1949.0248342901164,1628.6482032354634
77,3004.3788990504127,3147.4224771412523,3334.0653648317198,2683.331465702729
78,4805.30608634644,5020.906843381121,5424.078759589371,4532.933486781902
82,2590.637026275568,2649.535839448975,2845.0304996605973,2288.8253541772165
83,3795.622255316559,3841.126585505467,4181.069254434052,3333.9879150711067
84,2416.6219009522874,2483.8698977284403,2628.093385156312,2205.5146716320783
85,2882.354394604341,2975.6810949860774,3207.888529762518,2515.333456702696
86,1634.2916220038005,1645.9485886137145,1761.7793692067912,1498.2918872144885
87,2204.878587581345,2270.012528629225,2451.953348318607,1998.3214211424984
88,1296.864384758457,1314.9210941765243,1413.7877906236304,1176.8439191610437
89,2664.0292619527545,2779.7571796086786,2927.8532322562965,2378.793194708017
93,2081.5668017331736,2170.803725134115,2295.279650605619,1933.8987131193064
95,5368.358087115766,5728.802830925135,6169.501059769556,5149.855502267206
98,5073.085077698715,5401.0463001876415,5674.1957550071365,4703.102166351151
99,3096.7265371639496,3155.861687297307,3175.627097224912,2814.989270114972
100,2448.9765028992315,2535.222730123221,2660.242903578763,2228.2877458620483
101,2806.6196992419614,2939.917215088236,3111.8557339811427,2590.7206975728186
102,2818.029141936716,2908.4421695756896,2981.5416175392425,2542.4885223140755
109,4722.263529138079,4790.733813272589,4883.229181642468,4203.16717272741
110,2611.3829029710605,2682.982096428625,2868.751157133497,2313.3370565846108
111,3119.6046568054726,3212.426917569597,3319.2068993345647,2789.72544192178
112,1983.305291482362,2073.536238153545,2157.9562954011,1769.4252215086676
114,2179.3445851611987,2251.074454916808,2254.016972472597,1940.5557761779776
115,3423.20509531382,3469.7419508581725,3599.4849750105964,3016.4582566660138
116,1561.35058096919,1641.7723594184074,1598.9654012832316,1424.3411540676393
117,4922.357862045328,5117.6790449809305,5220.435179847054,4305.45664625158
118,2783.282135500187,2866.478213609653,2963.558852711761,2452.71102084807
119,2221.482180563042,2276.686512832003,2340.08103712455,2008.588146026349
120,2068.58526939696,2141.426795635902,2194.7835863992977,1801.9676752144928
121,2412.713405804444,2473.5971421258064,2529.939719350704,2184.0190848945995
122,2738.1067613871974,2791.794032047549,2884.639276544827,2419.102669415692
124,1040.9591173945948,1064.9031830055335,1073.7319878487287,933.2484696625476
125,1922.394137804332,2005.835470851713,2103.8260223016136,1731.942538580226
126,2000.0005610395629,2032.9763919861552,2030.821370322256,1798.1326566692546
127,1423.7910727926128,1512.936485859741,1462.8255688222084,1291.83396017022
128,989.2797632578348,1001.1813278979084,997.789319139971,897.9736547780798
129,4423.815600575807,4502.393717452192,4599.031929388707,3833.696807562868
130,1959.553018263565,1971.1177777324365,2010.488182974846,1786.1143274266929
131,2087.04407368433,2085.712775964351,2175.069976045133,1876.785353998473
132,2141.995997811637,2212.5030356087864,2204.3181327604084,1911.9562583618308
133,1804.0442959540312,1880.2214972468887,1870.306733412752,1657.2520200519466
134,1658.8757782470454,1662.5741791575408,1719.3047796600918,1443.0898192938057
135,1824.1255035467852,1801.691369080016,1881.241516147024,1640.6447983875128
136,1877.3849443298352,1949.129650296405,1911.3263102767228,1650.4139873607087
