,Beta_C1,Beta_C2,Beta_C3,Beta_C4
1,428.4944893077719,643.2439886043311,33272.11863821762,72.51551733209195
2,338.60133124901466,561.4023568162819,24770.18372080826,71.2327464519774
3,399.5610327710903,682.6193503133677,32594.12068808689,56.1076788826185
4,407.87406910010895,879.4910005582576,37933.05961805569,56.81769056600426
5,426.904854560523,843.9802085539988,37539.92462113116,58.68029655562245
6,428.225435307826,753.321879635099,36402.4521833253,69.76304430925732
7,290.5207439854427,609.5345713855863,26726.931697043496,46.10949029409446
8,432.9580770127481,980.140528156188,43288.977634096,62.99863129066974
9,345.20534634277254,948.7310296199752,39183.72475164732,40.69235935164598
10,486.5945183445435,1097.830500185754,50766.26447167751,65.22414565648468
11,356.70011938876667,738.7661948466688,36421.434860238805,53.08576017695088
12,415.71632960814446,880.8487863162053,44272.21615660046,62.38478466289367
13,264.24520039369,609.3591233867434,28998.27994224889,47.640568479863234
14,205.52463585463232,629.181054947417,26071.50957746181,37.076578121639805
15,436.24169245860986,1041.5189934699702,56302.1149147456,67.64988388450111
16,329.55342677876,905.521744140412,49980.69804654182,49.2259922494318
17,254.8537651721029,475.7103413610785,32394.64311052971,44.650014186968754
18,305.093753753614,523.582637570813,38172.51948408267,68.64405820070765
19,240.0059315377773,543.9707256389103,35619.2437766779,41.14756988503501
20,299.3393755809552,461.2223158235096,37535.00138361242,63.37800522407877
21,328.33589319246425,676.1322199617941,50850.83195821291,52.30490196729876
22,222.40150794082595,412.24185272540456,31489.49558616608,39.60137407601055
25,307.21547799610056,824.5321111819296,56640.42636561576,46.985530842559626
26,222.38663989368172,363.6913096858543,29955.81029159244,46.41608252741747
27,235.65046155108695,662.549310186417,43036.42732967145,38.309763688044896
28,229.0135032712425,409.1934428386554,31959.82378591213,46.793711599527455
29,348.9217082523609,677.305307199531,51982.03015805478,57.58231231714218
31,207.04904512413023,356.53737691204486,27780.5750977307,47.24174766106185
33,338.8276652667348,834.9823013780548,52172.95287639997,60.033904098660926
36,317.0322055355132,579.9615986364571,38491.795239235216,72.35469005014832
37,186.9132142260372,425.47807950314376,24178.517829722416,45.750540692179904
38,216.59966841098216,582.8696339886575,29397.466936020213,50.87042163602386
39,291.6086161372619,828.0326352043394,43719.03338344512,49.14751577107769
40,321.8875134281753,806.7759223249593,46896.29390996195,62.21522193786829
41,302.487589415772,1039.1881059232462,53468.26833759026,51.51023499772713
42,237.7596767630865,713.6810845077196,36237.61827064085,45.981925919238726
43,299.4715097056248,1146.6946721073336,50368.47927414331,42.12983895092906
44,360.8712346605439,1364.6285077802956,58394.27198151465,58.87692210008508
46,204.7308637325949,556.8223778227883,24822.119683492496,49.44743927262672
47,202.20547723535364,783.0498103217678,30265.26416637438,40.01175934767058
48,266.8359916213842,1173.1489131553571,42461.90444573735,50.98235346900346
49,253.2173462984432,1476.2944593956315,46204.38203351104,38.6155274917905
52,230.2486606114828,2247.50619580926,58318.69926679484,66.3425621075503
53,200.95835679678825,982.9881437506982,29812.335463592284,42.246184858809066
54,353.1023805324395,1884.110386314917,57739.766350638776,59.78900949022158
56,253.99510379663852,1869.9833342476857,43292.77488164712,68.05737780990613
57,326.38575447895795,2183.3321160979576,60159.14559803078,51.39379722240084
59,247.8390411260398,961.5773323239324,29080.39461001218,62.3155786642965
60,315.2892185977363,2061.877037972109,50111.32794319285,63.459438389339965
61,379.21925486897095,1865.8031040160613,49281.69587506968,80.29000361214888
62,284.6483092701871,1663.0771298382158,40551.76343438579,58.20291010947676
63,496.3817045073272,2729.1755635331933,67438.66817984209,92.31574140121538
64,394.61529193166825,3141.895259594301,68109.06688649881,62.45488592248169
65,267.945412454996,2058.974310568477,42896.44455070664,49.21148651967047
66,145.9689535902859,919.1642448087924,19078.271709272827,35.60406727673796
67,292.14358451257806,2115.6741773858453,44122.20299053318,55.65864705980142
68,204.54500890365424,1234.158142849045,26518.743802776306,48.00555172878928
69,331.8900926034829,2763.024283569356,52752.86282556134,58.23709013519678
70,419.5415658256839,3349.960225441993,64867.4539633523,76.52318989642608
71,200.17001585945485,1293.31267002747,25768.18037884976,48.25311161513327
72,257.0347704299068,1877.1313014208367,35243.16777432783,51.48587883735791
73,210.47870849308376,1365.675582400944,26250.859454663776,53.687830071459054
74,251.7907034455947,1716.8276724728378,32812.85066248216,54.959306891799045
75,191.98509783557088,1308.1050266366392,23667.45752254349,44.49749716758715
76,414.1948997644547,3299.588920830502,58158.00122727816,84.38680951481568
77,293.22289072913327,2669.972797894653,43681.72467583603,57.26784397445807
80,329.81629658797027,2351.1146466441364,39862.44184801108,76.57767918452767
