,Delta_C1,Delta_C2,Delta_C3,Delta_C4
0,1792.4948151321648,3039.6477641862443,9820.366764993729,424886.1770873871
1,84.33465366908375,251.2034007419544,195.36253917315057,217364.8652246507
2,291.6457744465923,232.67650796115527,10813.315899792911,165315.21467000822
3,221.31509723640076,173.19462377365903,16938.497520125362,51950.38273448928
4,389.58966663086346,250.9128618697628,15247.905440915632,35496.15430874204
5,766.5423647216227,412.7627284549242,2774.7626149913517,4433.127582552563
6,1119.5348140166063,686.738411294493,5279.290704510953,1081.432973834693
7,1558.5718716132246,990.8622019615138,4611.878259196118,2302.233225376194
8,2163.3457558381824,1622.2646119292026,4397.893841491085,4875.670289876647
9,2948.0823741159165,2464.2985556248736,11679.2497713053,13298.122566764669
10,3433.3148806784434,3563.677342438977,10641.575451006667,12768.308817639116
11,4310.703792309801,3554.9564435450084,7951.603080659961,7032.455479733359
12,5332.562090337542,4132.750735663889,7443.011511807236,9134.870419547236
13,6234.947298743048,5134.7043008640985,11333.16338091173,13062.752758954904
14,7265.354191038692,6484.020015655585,9514.833543324288,10806.241516442817
15,8399.194540478667,7498.011613468167,17345.48768193122,19867.43855674581
16,9782.53755715553,8485.172648527063,12916.876405808536,16035.55026134719
17,11043.69601089415,9767.345838288378,12924.281867515892,14713.490462665395
18,12484.44826255914,11103.0508966948,21464.559956495963,23852.422246244536
19,13944.828797068383,12566.419391067013,16670.914874250404,21435.91497987072
20,15609.18383539892,13869.835398912368,12914.876064090173,10567.76767813612
21,17404.785688807715,15638.24880048432,20103.005852467817,20662.409021108306
22,19210.15329810657,17385.75486702938,21278.178274389134,21855.981679629127
23,20987.24965246705,19481.02395943725,20704.027576448923,22176.921188028653
24,22945.083493427897,21599.125076156357,22925.35320608831,24692.57579208512
25,24921.201251660637,23364.17653606224,26789.73006351961,28349.201272391943
26,27089.234912677013,25052.142030143237,29042.52130581229,30097.533506272383
27,29235.56999997576,27829.13978890164,28714.59932655271,31073.20301615073
28,32810.629102932726,31190.92163779752,188121.66244332853,207093.30205817329
29,33528.288838876826,33423.941884013264,69016.36020381127,77897.8481805276
30,36452.355561323326,34887.51677506572,33388.98045335109,56044.72555891042
31,39024.14535233169,36609.08216570183,43881.69298665595,42983.73790119551
32,41323.47327235972,39978.53583734844,42096.88103104468,42953.67924994741
33,44401.41941210622,42106.90675040468,47538.82202318046,49292.47792241093
34,33529.13356518619,32131.306663701464,34980.45903951839,35886.683896342955
35,50472.09216537966,50035.05229560824,228082.95889457632,235560.31968125651
36,54085.26002938409,50813.94221417448,73142.00787452006,74140.0228297755
37,46969.48937873672,45472.97757445241,78590.0417929402,81759.62729523322
38,59891.78939166788,57330.71366255664,57590.24801881838,58299.02903080218
39,63182.87012414156,60931.0110732569,62654.09426723107,65244.4417772476
40,66815.49149750965,63572.78702561598,82252.35400045627,85505.76656912336
41,70026.46825087062,67849.33348798259,76469.0268752397,67606.11094546155
42,73499.28700370787,70956.94269077046,80862.71171869637,79782.78827307861
43,77235.16977824943,74397.01927547414,95744.13456021526,97246.02414209073
44,81590.01706691558,78517.70347994498,121031.67144820628,134242.59291621347
45,105791.87010595849,102160.03966484556,117591.69670900822,96308.65755119438
47,92056.60310673252,89087.15644657091,106290.85682670846,110718.30699550844
48,95607.31012381226,93417.52807844253,95310.93492432951,95796.0933463895
49,99659.3021744211,95373.60801490289,107951.3863818844,110070.62941951927
50,130395.02674387884,125119.60284062558,145118.18207476533,150189.4339160787
51,134398.09871212527,131240.7282275091,136757.57436133924,135724.76209996798
52,94855.68421471282,86970.39048114949,183772.805718619,215598.0101659867
59,143634.58307903862,137699.2569557994,198740.2323728506,199530.1456994967
61,154357.01244793678,152451.80245066457,152640.38490729537,140993.26363382835
62,159258.29215643305,155535.74628905844,172519.71269894406,157260.3220475632
63,163913.06780396937,161407.61031775817,159668.3697975367,159721.4739845909
64,169468.60164594182,167181.099321896,166878.4745345667,168934.33614759496
65,173855.90697290102,169261.8660904296,232463.45972053017,237116.84592773908
66,179958.93320919326,176202.04864797485,181392.18976368348,183437.84077614616
67,184685.0036140555,181420.31113233647,168179.29859627696,173224.81335984485
68,190055.39623566868,187635.15500536188,195539.5447251457,197127.0046407988
69,196453.53052875347,192839.2584200555,202383.90626108897,201850.2454673189
70,202356.46439369695,199593.41375805295,203746.7596350157,204044.0028364421
71,207681.7687696444,208153.86599721044,208772.7386737078,209915.46211285764
73,220160.82074705145,218335.24167131947,243850.4620246295,236163.33395935435
74,226283.4056833585,223728.96717566208,226523.3293799949,227979.55322460423
75,231948.7594723765,228522.19209679845,240763.78488930155,239697.19973816728
76,240028.8913838665,232687.44384208863,172601.61778087416,172729.93771037937
77,244934.6990990471,241021.13055408056,249171.5173598469,250780.2289563536
78,250751.3113729719,249478.08048756272,247787.73623038403,251640.6774134999
80,12.66148453947588,13.479933375139566,616.5207800394566,586.3742763969215
81,76.84687511691826,34.60358385378175,1210.472031833036,1171.0940009352485
82,216.539270703878,151.88662118523283,863.798074478721,891.46896915825
83,436.5704138681584,352.20846218064327,1912.0961283200809,2400.8243820467965
84,728.2105129491974,437.9637116005431,1336.3682828875585,3154.191680894105
85,1162.391698181291,1058.4541219409934,90634.88347778814,94085.07312975069
88,2755.599506463231,2475.196723448675,8800.678434213307,8622.238745092738
89,3417.710132951622,3221.067648112457,3774.5846351195873,3962.485661195521
90,4313.837678467045,3825.01614493293,10240.086484078794,10589.0921033261
91,5007.106466801185,5733.54548133489,7315.240159847585,10274.49771658106
92,6019.762999713146,6437.754316272186,9408.20527352621,8205.998185594106
93,7014.640750515369,10582.757526792851,177683.64365753246,182024.8237070144
94,10295.5072441191,9438.220747588468,19318.462284730813,14263.526636416946
95,7592.826042561885,7347.614259138804,12362.794679467144,11494.661307635182
96,13343.826351965052,12739.268557360829,24297.83510462322,20517.60725629903
97,11845.405789736664,10919.724063828313,12583.686188468224,23858.614435018226
98,11074.352978293797,10555.29579401187,12275.144196549223,12020.32846105615
99,14948.955864054376,14431.802076298642,15730.1566926696,15726.061646479338
100,16648.327972785737,16077.730061345925,136774.19275068343,142948.67896915603
103,27464.99518161483,27846.042522291504,32144.89676314049,32334.28975823926
104,24043.5974627706,22849.36436254533,24786.351883087988,25174.42496549076
105,25878.762003121807,25109.334432376632,27184.49466903028,27162.77503677723
106,27786.105017614864,27503.861110756065,24833.35658629313,25532.898927774226
107,30163.510487727905,29486.4287027536,122647.4770154462,126981.77492935736
108,32280.84162702485,31258.56062609673,34684.53279044017,34850.01285336888
109,34528.38476937823,33638.21459827088,37962.00660184381,37536.52477233745
110,36861.7965735208,36275.24651763374,38275.24201120851,38214.59351734165
111,39331.40765037393,38331.26732605056,39178.91181105381,38285.8488094751
