,Theta_C1,Theta_C2,Theta_C3,Theta_C4
5,149.7720358003545,93.6195814314344,7734.283951171265,10617.093961521055
6,334.409816626337,105.13443454755198,16203.16861901612,19931.427017597023
7,298.0075946317309,118.42503317039797,14586.007734447863,17576.18787770688
8,309.76417723506506,103.95705003353676,14529.00097840809,17058.625088350782
9,294.19649584335514,207.8604022115739,19483.843750726133,21320.856084218147
10,216.04684510457872,102.03245119639428,16210.382304939872,17891.479978800693
11,275.50270172388616,141.69880955404534,15075.893428165782,16479.419788632225
12,210.06853444569407,97.37628772267854,11523.34040021724,12476.872345489805
13,239.0421430415652,98.93199843805576,17106.87270736503,18544.128031473894
14,237.27020463631817,116.26135546925428,11602.208205053374,12471.84485779782
15,213.79438762231345,156.7048925248563,15670.368160800495,16719.82428431949
16,123.59007776285448,65.79094967381992,9272.427517386624,9408.651969022298
17,81.43789595143241,52.26622494580833,5231.257276105391,5525.489089858365
18,234.5186228374564,144.34646874125303,14676.426026621302,15780.045410237964
19,176.9768362474203,83.13727552960682,9284.213383139228,9986.09798717835
20,168.82602777713095,77.65372672754687,9848.009501102955,10275.574708782411
21,237.74498709913047,87.79433852962646,14126.961277755738,14770.541187858526
22,222.40411940008076,88.16954835544378,11577.331465786994,12050.986356377496
23,178.6161388709345,78.57599132881285,9117.889404854595,9581.576718497216
24,229.92164327453585,110.96620004153488,11439.045548864937,11989.918736650776
25,202.68249968722583,86.20186801414309,9611.707248017645,10129.993856176916
26,224.9330926346101,87.75815238572733,10641.605106613242,10978.965579036956
27,265.54770344335816,127.34629289585246,14237.39819234885,14909.988136053726
29,305.19798897350245,164.854171060849,22368.981640000224,23074.97872785763
30,208.02954964555903,105.84522622284528,10876.812961908689,11418.229608302772
31,263.78956271220466,140.2503161916102,13460.70897564725,14204.81979661509
32,320.5856378846157,134.19083258111033,16392.48456732641,17069.697571067903
33,329.8258003570708,159.02330186230878,17728.192883044983,18475.094129449917
34,267.65737928421674,119.44901210071582,14607.473088709536,15026.446745917949
36,154.9135673300323,74.34833426088653,15504.068865731317,16056.581359536818
37,159.3808505077449,88.60903186564364,18644.627451163324,19141.66180562116
38,373.5353670891672,208.74124631137272,20190.406972595207,20704.36130008692
39,188.11693018244603,97.02838849337402,8696.219105370454,9002.20224799894
41,362.7062547942551,159.07890455427523,18151.186568390232,18760.29194281137
42,398.6900311782391,159.78120048200822,19227.3125499089,19871.025211677523
43,251.3553282582428,85.61461272986905,9631.554713544898,9946.895121175356
