,Delta_C1,Delta_C2,Delta_C3,Delta_C4
0,21319.361490507315,32708.464384641185,34198.181930185136,23365.01713058125
1,981.3005320492152,2000.4498256450845,621.3176546795917,872.9061216359147
2,6710.67358092006,6907.851860804544,4396.738758378293,5910.311164087156
3,2345.9504108843803,9814.163353834998,2375.5669034670545,1971.9319728474225
4,6116.25349325116,7045.419953000619,3929.9116403862095,5415.173894783674
5,4388.199541798337,6492.347743082641,4090.623976844986,4115.8317571125845
6,4624.77869608364,5227.053246854116,4162.029929256765,4411.789033734321
7,112538.62751451212,116321.52968180717,71021.40115933739,100866.03404592232
9,40802.76590002391,45279.83044313674,42478.43376753866,54648.486517065125
10,3778.362255590955,3896.483766110297,4126.311486639716,3769.7020246053416
11,4093.737506889924,4390.684820004334,5797.949045703149,5023.364070527016
12,7239.42424966123,7039.645112813732,7004.398053070417,6540.664393976793
13,8975.863566931585,9679.732917120646,8405.493932824465,8448.534639858199
14,10146.54240521558,10529.375480829758,10501.831944000747,9289.130527174282
15,10296.340458003264,10990.191356583568,10504.25135406272,10337.22574565869
16,8860.605156058913,8690.333430627608,11922.861736847728,11322.210303066244
17,12520.107501073002,13296.728058600103,12358.393105936811,11677.356418335265
18,199119.9209397077,218033.15891821837,89728.7556238508,162996.38148364043
19,40570.997262721874,42592.431558111486,7650.388869023096,5185.161265748272
20,16140.451932776234,17151.130145728017,16320.93969538118,15917.28764583696
21,21222.105088015483,21502.661950478472,19595.11486390481,22238.114185352537
22,17752.76330930465,18874.466333307595,20250.3838369531,24276.78033777152
23,19291.609430037384,19159.044389861032,21634.174576033165,25258.58104567101
24,19889.403733359235,19509.988982737108,26596.285292111123,30392.583444926226
25,26930.96004443819,27580.50116078221,24499.34784857292,30245.00798278455
26,26183.70084692097,27528.93221915188,28119.87941211081,31246.959482269973
27,30049.33726865133,31730.409130812,29594.831055946062,32138.294033219303
29,49137.00933612422,46489.00310397572,33763.15348078262,37010.014018763126
30,31932.831899329325,39617.40299667776,41065.43796446541,42994.07969807761
31,35626.26742898187,37779.951299364126,38970.29046269217,41859.68078039717
32,40252.02688690442,41889.25167699642,40001.4780459714,40361.88889691612
33,41573.25932334128,42483.34741143895,42835.0065465211,43578.603325517885
34,44023.311440677855,46387.48191238266,45986.33934645399,47012.16000889371
35,48230.07509324963,49413.55970233028,49287.24688382395,51099.24043720839
36,50796.05478295953,50444.81048713679,51089.15671234672,51149.82513747135
37,53680.55878442677,54306.17700305014,55289.58022594971,55845.03888795796
38,349489.8679503341,368792.78903055016,97482.63409693964,115502.35335428096
39,142438.1508595927,149963.51836416667,62560.13555300648,69258.67972774943
41,52980.74436501984,53567.94661187305,79749.81392822508,79852.46199288967
42,70961.49130379753,72467.69226415569,70837.8514153788,68665.41174067662
43,74810.49583925297,76663.05920403605,74137.22041390056,72044.1726230504
44,86514.16833641694,87758.13761484573,77992.13647935152,77085.72271408974
45,86356.35613559534,89139.97199127414,81942.72068489564,80090.9546355249
46,84309.55737569231,84984.52817230269,83452.157217726,82755.6574595743
47,87930.78090815408,89752.5664321861,87687.04709920044,85006.00103898032
48,86899.76485233655,87697.13123240428,92795.32430487157,91593.43393404296
49,96204.24843222211,100036.74747933332,96788.52482756044,97747.35695688288
50,192321.59387615573,203344.2629766946,112086.54253740836,85644.8845955029
52,107063.0728361108,107676.34670500676,106191.41126597604,109655.86347519104
53,111029.42963312926,112137.0399564682,111644.05702946492,111592.20576520334
54,114806.1459049574,115374.4184594275,115411.16014376574,114923.50593038287
55,119640.62898471668,120707.8774256373,120568.50190232912,119597.65853881562
56,177377.89676427285,181109.0862738153,126815.22590381304,125298.99686801362
57,58669.90146957639,57040.41299385565,178017.69370586195,244754.95971200365
58,132131.6922782409,138097.60386307444,134319.1400083837,131786.1408670448
59,135288.9541689936,136973.86381380213,140517.8665692776,145211.96591769246
60,157108.65527061722,157222.7339830032,141750.01264986998,142928.9705724314
61,153627.78446002174,157362.7193507626,149596.51964896408,152769.08315430064
62,291419.98071442393,306643.41641785094,167277.1099071309,138026.28773784504
63,183200.5580066434,182856.35704082408,154935.62592439362,166774.06904648876
65,164226.2739270834,164721.08736272296,170447.65299585118,155893.2664664109
66,171988.49081162518,174134.73882263264,173555.85604023974,173286.71015246247
67,177261.78374739696,178260.06836588876,179497.95409174834,177109.41384192338
68,183014.08951954523,187016.6294181068,184244.08761406547,190077.80518095652
69,194502.35237814064,195498.3139033292,191638.5461561635,186651.65482568243
70,194694.42886094484,191342.59583340984,197761.5432536032,207749.52959206008
71,206850.93825333496,207160.6964886187,202965.1760691613,197941.77551647453
72,217092.52682248264,217003.92539616144,207982.7270607103,196986.7180064176
73,214992.8098182053,216807.63037268896,215988.8364043952,212064.3226308101
74,218516.5526210047,220389.5784486751,221691.6468993043,220287.28189551708
75,294312.9224482863,299850.4165442466,222770.55430310027,226027.96679134836
76,233612.9475665076,234519.17981815484,234589.9497138971,237798.07416116656
77,234887.1064713612,236232.93320436275,240766.86938151432,240261.91644755504
78,247025.9584392085,249157.67118144676,247372.8383795228,247281.0043424214
79,266587.39327315136,271132.7910827875,252535.7347388178,197405.57843564564
81,445.8180116219549,496.01441714538623,27.74498627917257,93.47962029467722
82,25810.165890102267,28026.034729833555,223.0567560621465,674.4272521292951
83,8409.428242878137,9265.83234233034,740.7085773244785,2370.9893435101767
84,644.9931043969355,756.0368490929092,501.8448351003256,697.1866927342303
85,1634.0767486342845,1856.919181809816,1028.886222685902,598.7411714547375
86,30486.81631302969,32820.52511908734,1508.161186227656,1157.1971319714748
88,5376.035105251725,5827.591750546956,3012.532098075645,2425.971095502653
89,4620.509750256116,4984.153956995209,3274.08871161884,2669.640661264349
90,4432.980047612015,4721.220135046746,4336.09365396236,5797.226239834896
92,5741.404939905943,6261.742453584006,3483.940493933741,12761.938598528926
93,8098.17119079732,8676.033652603604,7073.240589182697,5122.942876313144
94,8984.217753118814,9426.893757420983,4713.228200046928,5637.7685734746665
95,10631.086712318136,12206.756546430004,8918.862738556556,12483.957610999125
96,10130.456390075571,9916.890100526743,9203.50923688,13665.760182530335
97,11343.793556171162,11663.03919024736,11549.07961137377,15202.788200517713
98,10752.398518718766,11241.85344152581,12559.821526859772,15754.976261991264
99,282416.2497555396,305008.954574018,10771.808674447251,67677.68792127221
100,160426.4018884477,172824.09858438277,20662.017604832003,54559.6567534826
101,15368.336597856627,15722.614929986656,18673.603223251528,19363.806263443486
102,16370.185276267928,17604.17175096038,15108.959693837449,19885.74985523843
103,48151.13376467698,50850.67904909934,21504.06917883293,21976.707915734263
104,22163.62471027254,22949.60939407469,23719.32016918861,45799.37558347446
