,Gamma_C1,Gamma_C2,Gamma_C3,Gamma_C4
3,45.495171930500085,46.031839118008016,24.65221855719776,38.68838667384626
6,44.689755953709806,45.863454121599005,21.932129394614936,38.333603128319886
14,58.445071646540654,60.44510303605558,21.982073816257863,46.018006037541305
16,33.62446037835607,34.47958932143282,11.408069059893265,25.435963110210658
17,37.25944420146003,38.21438619500192,12.583289452557931,28.172953099609543
19,57.31592059605253,59.08532276089287,18.20568038005276,34.21480931732939
20,48.57983143898456,50.36615730985587,13.70900979243006,20.92215046988401
21,42.52014117869258,43.79487709579641,11.466264067567954,18.6612827956566
22,40.91160786908452,41.92896919256205,10.06423043218519,16.028903630241917
23,53.4526375043431,55.30907310258198,12.854711548005849,20.767075926254368
24,35.4413151353327,36.467780076179,7.937855632679297,12.862405067126751
25,40.51706287071693,41.672312020240376,9.027373434666377,15.129639757427745
26,74.9813985161615,80.6242978029621,15.076288717777418,27.89559938203089
27,51.246602692908496,57.36121570946566,10.212231963823475,17.595820892767634
28,83.94050890109895,86.92031232481824,18.437990488118157,28.56809343898294
29,73.11353049636992,77.00668272700833,14.74181149346668,23.83287768391934
30,35.81793319862344,36.804375543891496,5.661543487284187,9.651049005690082
31,52.26406931312891,54.42384673706962,8.720256389869089,14.73455623423835
32,59.45977048092933,61.50174409895772,9.052081994356628,15.667235637365795
33,56.73772147733001,59.523464569588,8.30997884184308,13.94561909969298
34,26.27148809578909,27.397647429775528,3.9333916188054463,6.589488684208731
35,31.141811305992373,32.84320450040261,4.016223634517545,6.979750857740969
36,52.66875299647694,53.90567187576725,7.720695332162326,12.802459226816698
37,65.33963796696324,67.31144994498393,9.178728399491428,15.149372944611878
39,67.38940224865239,69.71531373523655,8.936437558141257,15.05892125790414
42,50.28842559638352,52.722894014893576,4.956240995234345,9.554772040034166
43,67.97307974561573,70.22540172692939,6.306071791779889,12.246977529789268
44,80.44507180213928,82.83727644923978,7.40310848903045,14.86512554503756
45,44.40555473912265,46.86234762638624,4.338082308748354,8.647530608010168
46,44.42532172016463,46.08446929251088,4.097735369218728,7.903817346652104
47,52.911874848646086,54.56427316857791,4.3444270890600505,9.159905809174164
48,48.53522677314255,50.82185701627592,4.187581515093157,8.71466112439465
49,88.90750265342511,92.16464146011693,7.386771037490057,15.730660540422212
50,78.49387634363941,82.0140588118998,7.900558436359811,19.064000324321302
51,51.859468679237175,54.37493820285321,4.358572525253551,8.278937782368304
52,35.92327451804181,37.10247723027593,2.9361505656983247,5.548805644152947
53,43.16426417332885,44.53154277498157,3.142650852377204,6.406807725601672
54,34.269452606444936,35.67819875238153,2.334253411282671,4.696728802025643
55,56.62777748611303,59.8742581422641,3.834132448215516,7.806183600843945
56,59.48311986003824,61.76879978613299,4.72428835956656,9.195978578507304
58,54.70143235798148,56.5588029173277,3.5359778412414724,11.966651544891644
59,44.56592861000723,46.34764910424855,2.7672326895246937,7.962894168936559
60,51.7916744294136,54.01146523174972,2.8799753710904445,8.029640506582759
61,65.72518446098265,71.72841400542463,4.309209815537658,13.14270311095436
63,67.059683266736,69.0406871186857,5.227269289298979,10.213640038085856
65,74.01359272790178,72.47245520075904,5.37014066004287,12.020712163074965
66,37.31636518594807,37.87331230469988,2.3433961475152607,5.075908107399326
67,52.02192227574254,53.03156130723527,3.2030235250220174,7.425522648243184
