,Beta_C1,Beta_C2,Beta_C3,Beta_C4
0,428.23434502289984,442.8745716508988,405.82569616886826,411.3323905588453
1,506.5533339954698,530.1209562932852,490.41592660105977,494.706663374498
2,650.8560991304714,686.1951046952391,625.156041516425,637.9854988307637
3,1068.67864373519,1121.1283515027303,1046.5833603081433,1054.958307347235
4,376.4202569056545,393.7838358571352,363.8518883274081,372.3566702346629
5,209.56752289884625,220.14902954940504,204.14040025992523,208.3732847439462
6,238.9117501120472,253.58109164501127,225.8943221171414,232.357864753398
7,310.06912438666484,324.7635069251561,296.15285505742787,296.8209837102052
8,486.3147624385412,512.3868687406472,472.6339636401818,476.75598923699647
9,334.81099053458166,347.4325181329544,337.6252833971536,328.70625431680287
10,293.919643166168,310.9396475764469,286.18586100724366,291.6733693590157
11,329.83699076192414,344.71784200054645,329.1263802037168,326.7092297419909
12,465.6970938235378,486.9644271679934,450.59798192021873,450.62957527342695
13,378.9320633350286,408.87614367942274,377.3390341564427,376.5895375868062
14,296.6225278378062,315.6773129806712,293.41907972675904,297.27858870117484
15,290.46620101826227,310.5094644658209,285.4330175756911,290.22642143277886
16,348.321116846842,371.725979660727,341.91569896089163,344.3554100828053
17,367.817135305709,384.9758931727696,365.7351177354976,360.88616309143976
18,295.2399141213085,314.315368095286,287.5095973093873,296.15124171230514
19,388.51221818798274,407.3883679069573,377.71537641498594,380.01569054862085
20,318.0279179784344,333.76707585474566,310.1528711818169,315.9282138490955
21,446.6568067142436,471.6619346179415,442.67677040535193,443.19033461782624
22,303.553942566399,319.94493005239553,295.52664552273524,297.84618519310817
23,427.4604009949587,438.5746420535244,415.4302486599062,416.63327389867726
24,372.9653957440067,389.64791896795936,362.71046321108406,366.83837108622976
25,423.4469177789791,448.1113377711425,412.2452457858998,419.9908117442746
26,520.2902688562262,544.551715336071,509.3948590170834,509.5218997019301
27,511.8644988529123,535.5597369137762,502.1593517753067,507.0253258528553
30,714.510410366539,750.3225354980057,703.6737809423752,707.5479248058326
31,619.4266073560749,642.6286300685103,602.033780529522,604.3019934960399
32,761.2645769514603,797.0194975831059,750.5397731328433,752.5924585493447
34,669.0808957496539,708.1111881358678,654.566160382703,660.3597786041413
37,533.9853033861178,563.23973380998,529.1305152709637,532.5844801950586
38,448.49270147075225,465.9392334981808,436.03548570494814,434.3445870023253
39,526.428060097777,548.41161328156,518.7013369222502,517.655109035855
40,545.0980600829005,575.6418118906834,532.3760627380211,539.9127054458556
41,661.211009188671,698.9209872385585,643.9799562973072,658.7266910237147
42,484.1928401008282,516.1753643221064,481.1786981117873,480.4495946356854
43,513.1044928405504,535.4747497092044,499.4057196250855,500.55890408360864
44,508.8044060476034,531.9673125324603,496.5549515183537,500.7585383331084
45,478.6256822720809,499.7559783352355,474.5868461933171,476.1607798131166
46,444.1718166417069,467.2364820262405,431.2432432388308,432.10784374296736
47,415.92059830820415,442.3849596334588,415.6074831894665,417.3516208373293
48,500.2820756097809,526.5383345431514,485.6047828704216,501.9181998846468
49,412.2822178509568,429.4967452569013,397.8958634805495,400.39698507718094
50,367.6439532757337,391.57138154583936,360.3584669732626,367.2853761235082
51,572.1655743791517,600.1061839580716,565.085615921524,561.896607902433
52,406.8006095952823,427.4473748648407,402.69634680479487,408.2340118948907
53,477.7672321521568,505.9210407144485,466.3412582605324,475.7635531144895
54,593.808740101716,621.3602115261124,576.1558876085895,576.2674572136721
55,538.872414680879,567.3401442629702,518.0107105045034,525.7035586992635
56,720.9764463578937,749.4612468568058,708.6167949956449,706.5964912435767
57,494.835648146234,527.3620928865495,492.5344888974896,495.19199629438646
58,452.1078873137593,473.30508357846406,443.71211164391696,444.61593683777073
62,510.656552753904,536.5777953765257,500.064741231514,505.8534264652495
64,379.1550809800778,396.9658504231683,374.01815073215096,377.948717492516
65,487.1047953234653,506.3629998573605,476.7826790280128,474.4760141555612
66,598.2728371597585,626.6978560149026,581.997931536953,593.3758251114731
67,654.1305790780926,689.3213726228684,648.4620371523915,646.5251988788814
68,687.928044870397,725.5096262926767,680.189342462002,682.3266435086581
70,1257.367642937851,1332.5171664009156,1255.448904520825,1263.7250973059115
71,580.5391330142457,611.048812619448,567.6771574777713,572.599896675985
72,575.0737323101492,606.450338645846,563.9723785768197,567.410133709815
73,530.7668941039378,553.8096569209595,515.2344074627936,520.2661645659443
74,571.8059478283636,603.3870302148858,564.8792728886534,562.653663518008
76,763.1819841231593,807.35159586796,759.8690496330549,763.5131890658952
77,514.100452348353,541.7790744676295,502.4449614532696,504.088364786725
78,806.8175356407845,854.5177046989506,803.4591106367749,800.3503228747336
79,470.1934630423535,497.0647740554072,459.5469072655313,467.86828594931694
80,509.7377689459772,537.9245244074399,499.6981335524087,498.9052549085261
81,470.9931085289194,499.8297213007369,465.3598299540748,472.0666348120158
82,705.021231668156,743.9981338315815,691.0196236362088,699.1401919532807
83,554.0581839664555,585.82086743268,550.1531721526305,553.4122472526244
84,438.894655765693,461.34849559313415,439.5396626604114,436.9541309230429
85,373.59133374652765,397.3540812610031,367.03066201218,364.6211723445268
86,389.5308593309149,407.20003865113017,385.4564382079696,385.3212309282608
87,504.2478333477761,536.0298285615636,505.6806006948685,502.5111809086899
88,840.7983418413615,897.1503485819335,831.1091050451535,847.236815130193
89,761.066478498823,795.3069954906584,746.4984777269505,755.007155406696
90,540.4170445894282,583.9214459118397,522.845893448164,539.0369285581328
93,637.6090618526017,671.5840151596489,628.7264429806237,636.7918260414468
94,750.8237911756542,797.0600810332026,738.4164735903489,738.355783209706
95,1122.6131652631725,1178.3210065296194,1114.5980549824262,1109.788100771881
96,748.4744705566272,780.5082343345751,739.2064077730555,745.0294658169313
97,604.4173251014687,632.2831547595877,593.437063671385,596.0198000596945
98,630.0926783466283,655.7251668243193,620.5707895970968,620.4186570978745
99,826.0719829229108,872.3649602385282,822.8576071034704,824.3356067527226
100,694.4046666062889,746.8196963139542,688.4283662696348,686.571680693739
101,715.9878996199782,759.1504817579223,711.5543532143461,709.9472292185536
102,690.9344221580927,734.5209752965329,695.8498461630824,696.4255990153473
103,645.0053442827439,679.3932293173451,636.7689028711159,637.5971082495602
104,712.0300188048975,755.3012847920116,695.3474185661473,701.4202519191105
105,915.8993672471412,960.304746515474,900.6449995418637,905.1680141482348
106,837.9964963780741,891.7397172098359,835.0216045750699,842.3510334623393
107,756.4946185346568,799.244735808725,755.2083270700217,753.5642273692589
108,472.9170934484501,498.7054506902827,462.6102910918321,465.4203501280495
109,497.0642961795604,526.2591938378521,497.4366155189784,496.5548731807932
110,514.6512676962534,538.7516341754468,508.0521710522562,509.0418444090306
111,507.28123557782885,533.4721186622987,497.1925754037894,496.5617302422602
112,638.6874085397994,677.7222288560871,637.2393546396834,632.3194024988061
113,1048.8115876554318,1123.1754817306398,1050.925410450944,1052.2490079808958
114,812.9032489394472,857.920886876572,805.8044243102075,812.5385680177662
115,502.82084345786734,529.7004076106792,503.9122302647752,494.76341420594775
116,714.4349871759619,747.4441196136771,707.4590871786963,695.4884900969564
117,868.9819741401003,918.8988870494836,862.9753701946488,862.0166315634551
118,566.9961153881949,595.5033417601899,550.9889420575577,557.2079515500197
119,527.6348689006148,563.7048096945678,518.1224514452151,521.8426952843112
120,466.6689820628056,496.6420340517779,463.0323197068966,461.84322270860815
121,751.6146413134112,789.1991279784747,741.507277173762,733.1780211252035
122,465.6798800534372,489.9051548231979,460.821429783588,463.8583112704812
123,370.2110399328223,385.5626139472809,367.48703936914507,361.66985754127575
124,343.5884572044214,361.07212627160055,337.51770212471536,338.76608159065773
125,324.8220158888141,341.10927535587706,329.097337055994,320.55752790697017
126,341.24534017044107,365.2621790280693,337.9384722297167,338.76252770553003
127,466.7466378883438,490.8419718655959,458.47580345196434,469.20541933999374
128,378.5907150448002,398.2713896229352,371.6655008634916,379.184874630641
129,380.5695532918633,402.9921945954248,380.9020425966457,384.4025757179127
130,621.3595803183525,661.4159318886403,610.6530005826299,603.1213671790841
131,641.0011122893305,675.0152677085775,625.8611933054343,631.4934776886228
132,524.2087369426872,554.8845439057716,531.4514723030946,532.7475519751158
133,539.0569079038509,560.1520877770126,521.4924482415795,525.7217461327822
134,777.2963341260278,814.0201915555147,766.2628412864748,768.3916301859499
136,672.0988996802441,711.8044824877019,661.3288420529627,661.6069557266239
137,981.1382888338336,1017.3975994575228,971.7035025326412,965.3140380259778
138,679.251037608665,718.5996061134201,678.2354142048932,685.0031624165562
139,656.819920358882,699.0289021541151,654.5594937303391,653.0504872907878
140,541.9335454320544,575.4723408551283,531.4609736668813,537.4719396042284
141,639.9076696918901,664.4608926835921,620.6295433881706,624.5720328599709
142,625.3396521033774,657.1997977825439,616.0927090798218,621.9410772127216
143,642.7183155130465,680.4762195962561,632.9671521202486,629.1468576298508
144,504.16127624405294,531.6456038657443,496.897148028345,493.99734175918536
145,564.6757254673782,595.6435062067404,564.4201145826752,567.0249613964247
146,506.2168006947293,537.547902843642,502.3046428027083,504.4528667649861
147,623.4881079821769,654.5698888630261,610.4215595804485,616.6482284863489
148,806.8665819313824,851.0523260981098,792.292711558365,797.283922376988
149,639.8282108429199,686.3059206494789,634.1900393006929,643.4708892475467
151,591.7513806471587,625.9159536797957,593.6524579725553,600.0139807690205
