,Gamma_C1,Gamma_C2,Gamma_C3,Gamma_C4
0,8.675241532241397,8.93968364738301,8.348377238002866,8.31865386951015
1,5.430684577978809,5.519896234168193,5.198623995886127,5.174058934660849
2,15.57388337186152,16.060639451379288,15.348170735023649,15.146187744624132
4,9.443637982363,10.117071101206331,9.18265486573501,9.11113576347772
5,6.845516577385328,7.012400554799485,6.670448243437902,6.546427312276711
6,5.636322722718094,5.995952091188176,5.431076046609782,5.514975669452749
7,6.074117360170841,6.476366464794316,5.891489518421472,5.825974313816643
8,9.680032203692894,10.245727273556808,9.491707356196866,9.694925419829342
9,4.719718725031492,4.792324721277225,4.717196087202069,4.446379761422635
10,7.29645343503143,7.598931369912016,6.72885698098547,6.967964734408205
11,4.16951085387922,4.254144135480191,3.944498682323432,3.838697968703908
12,10.955484156904218,11.387301151120406,10.645817667466718,10.61094987436134
13,6.045297747072883,6.295530524788297,5.892759728395023,5.763471303188579
14,4.234931639847984,4.471421364932136,4.029755958540582,3.985113041299391
15,4.954729547666234,5.036984957169729,4.774389231879685,4.632353303077665
16,8.727608284789913,8.850323136242423,8.378325366355366,8.190005234652325
17,9.55910988405066,10.047232727362903,9.200846803554173,9.142594500821886
18,5.762979150050403,6.04272946378807,5.7597679780777,5.495137802952133
19,5.557630886253062,5.86801251005278,5.402877403574344,5.399807139052864
20,5.038174006795524,5.166966574110227,4.960987757420857,4.823711796703706
21,8.74643901839343,8.987940476388276,8.462117805863606,8.264431391963578
22,8.453710199016882,8.588742399736915,8.214353881439777,7.928903387653473
23,9.8383543206217,10.172362004389734,9.541837049780408,9.61778856360056
24,5.428906239743137,5.733678359192708,5.262703752929517,5.286754512365264
25,7.142232000322244,7.353293941251519,6.991931163138402,6.8945908094327
26,9.898793962562593,10.001366146423043,9.40664761642639,9.313059253591508
27,8.829484704431833,9.085866333596664,8.581577808034828,8.507083325280046
30,10.326816596533927,10.621752186998288,9.985124016520135,10.054001342668572
31,12.031131153617006,12.380415656097476,11.792784771502603,11.588567517627324
32,7.87021155071344,8.22177892831372,7.552824141761234,7.558667804061131
34,11.544141161838356,11.847142734651449,11.116832187335516,10.818879269328786
37,11.921821125776855,12.44096861194966,11.628931807206037,11.582866727972895
38,7.954049057762935,8.218441669805076,7.925383339623919,7.762043747528971
39,7.365284133315074,7.593405226926024,7.129451644563177,7.131531652267785
40,7.068415328200475,7.161578169914852,6.852607524100463,6.653853205928733
41,9.81657928860347,10.245783795392605,9.593672301415674,9.535140078097864
42,8.071476831563114,8.43789843653244,7.888906016018823,7.845332867706033
43,7.528024447835293,7.672089969847936,7.304969408691411,7.226742730893521
44,13.155308434180142,13.654155156570372,12.714934370039298,12.622441594061224
45,6.811562450900765,7.00631999059152,6.697345861291686,6.610814569443364
46,8.795561272691826,9.106620559539133,8.797561679049958,8.70834913891575
47,7.637660558102477,7.839965291821455,7.551781889582976,7.499593870623118
48,10.17325642063924,10.493051739535854,9.801220843738204,9.725023807319609
49,7.0556673860371815,7.383313196867367,6.8321517120290185,6.68065219787831
50,6.926975470151137,7.315814704124456,6.911015610786789,6.928807249713645
51,10.40444463834099,10.729976654786578,10.09446089161624,9.92030543346658
52,8.691350080917614,8.99824561727341,8.52252523838755,8.39747493683214
53,9.692722605152792,10.067530055013703,9.413998682361544,9.439612442314498
54,14.10715986027139,14.364499073644094,13.826329954000936,13.445718333038824
55,6.363872952612399,6.684475281718539,6.324947206120757,6.206134636629453
56,6.21182106728154,6.4709042493860505,6.248177600719222,6.256169220671974
57,8.864671263801979,9.225768030085376,8.705385378525632,8.557860252214006
58,11.65707031071353,12.356396314122662,11.640231561725868,11.57330649223494
62,6.796426603764594,7.010481485147455,6.6494126134261,6.481657239059031
64,7.198712221705966,7.498577745519119,7.226085495321207,7.1025874244117535
65,7.443270486330269,7.691229972329728,7.321627003376676,7.269235389090257
66,7.693009531374098,7.997771441990809,7.510226139342311,7.4594205650173135
67,8.065279180794699,8.401779270754897,7.723522762091304,7.758035140584029
68,14.393873880968329,15.013861616225247,14.210786705141844,14.148934382968122
71,12.957366655754829,13.602027122755782,12.855580037471396,12.791554984228302
72,14.999873700600402,15.678109110317129,14.699597147891993,14.785619611463977
74,13.755732504393068,14.190626262557693,13.461978967017718,13.287573373231346
76,12.215856127569634,12.47429232483156,11.981024366007713,11.525301509075888
80,8.627221301276144,9.06507482399891,8.73794260981306,8.54130292128062
81,8.25273735468859,8.582014138103014,8.12104028375319,7.790529235457137
82,7.487328809439853,7.879309359882257,7.43837524968373,7.268034946317231
83,8.456102365031464,8.709126123357214,8.285597268562597,8.290178396493284
84,9.844669869019295,10.250690405389893,9.803484885052791,9.754431646602072
85,7.905433849927424,7.884755169613317,7.725999107391625,7.365216951368031
86,6.187172862483692,6.389941573295782,6.089622467772195,5.914951194431882
87,5.120018761229649,5.37797642747551,5.156595396520284,5.002088525583574
88,6.341269502032081,6.660314096624634,6.431930434830124,6.30243804829089
89,8.004108976281408,8.324352344862962,7.925508205561227,7.70575254779932
90,8.606801785520004,8.899704411552015,8.669055200546964,8.486210252079811
93,11.05700451691208,11.288522826344366,10.8544892993183,10.9599479663134
94,8.10700579000315,8.29525024594748,7.923737465147235,7.93955241727254
95,8.496145224896392,8.62458694963391,8.273470165084438,8.15741435329686
96,7.796334178028769,8.111001978044909,7.727723193520783,7.578865743337462
97,8.793705748584964,9.185454100811675,8.81237792936835,8.717993783049389
98,6.5064392287311,6.729480391943301,6.480989449475982,6.340494342083006
99,7.942911484982648,8.242060153466932,7.937212086198866,7.668351865978154
100,5.1973823083564055,5.480963505943786,5.2838848912851,5.271647638490129
101,6.4206113286579285,6.6742590651951,6.245968191445711,6.132900092805649
102,7.165645141761841,7.278342812369073,6.893786512852474,6.722229270682425
103,5.9105894568496815,5.8999652463378025,5.752582590800316,5.610772463699013
104,12.526839554125509,12.99857069274539,12.731640985335442,12.193274885743756
105,8.564110290722688,8.915465847287226,8.337250861464042,8.064194242662667
106,5.306488613999616,5.61008415914608,5.252510101431243,5.153842035590485
107,9.884866360807871,10.211686951670034,9.904482906071513,9.623459381134692
108,7.705616007528728,7.899763347265901,7.641324861307803,7.52517177032011
109,7.078124523065791,7.310729472355912,6.959613810888014,6.971303413170785
110,4.498187766787436,4.757382001409234,4.488537486720564,4.373329273686573
111,8.698161112947847,9.095911153553114,8.842492751648235,8.640021638239794
112,7.397177891611315,7.671848357257405,7.440626173124647,7.272679593157799
113,6.97837852837386,6.994818278280471,6.753298233580696,6.724458027831231
114,9.70006000668823,9.865902262585676,9.481255879206405,9.409525125304189
115,7.08463502587175,7.576161637163475,7.018022772653496,7.034137259520139
116,8.637246501576188,8.968479928590291,8.7798000765404,8.451283738687659
117,9.112622684310256,9.59206047560046,9.03402178519059,8.831259471433373
118,7.578350162377833,7.676006930081388,7.584781298774021,7.340212169690434
119,8.316063870563365,8.554745864826844,8.263316623092182,8.019072744603951
120,4.608673193872137,5.012329344325865,4.62571833022603,4.654495533306708
121,4.5236412280822105,4.74068412841374,4.425126475405548,4.29261485822241
122,7.601279411007938,8.003219861724341,7.41990672021364,7.241118386874647
123,4.883181694820865,4.88410482149277,4.641323324840388,4.40572928034222
124,7.7858733865838,8.090116958214994,7.761661054503738,7.559338716878114
125,5.182167979579609,5.339836216734763,5.135701170018129,5.201251268683564
126,5.337787823240627,5.42878170036176,5.248250649504748,5.163658426654463
127,6.8282506208360845,7.045266879278984,6.816566164068855,6.735130187010392
128,5.9340682516573295,6.143374021934217,5.852821063886156,5.79681148197866
129,8.1861942028014,8.476251142111645,8.112956002963777,7.952122325289662
130,8.318642754228215,8.636717728108167,8.226593337441447,8.008649144123732
131,10.62166702577276,11.27848126145436,10.590822661840726,10.310151764042526
133,4.3413541990304285,4.508564668262912,4.430439840083534,4.384498895969236
134,7.080402535700784,7.290574305474728,7.177745261233187,7.000623750322917
135,11.253982972451292,11.750265834498313,11.433812106104934,11.05644468238845
136,7.068840973508189,7.499021099414115,7.120539736108549,6.985185001273041
137,12.288712853543522,12.60943019313408,12.156513912096148,11.892537488572756
138,6.514384268122094,6.651051658789655,6.424252819751943,6.371577990396242
139,13.977378651553822,14.222643896721236,13.793159975844254,13.408972906149849
140,5.770282825029892,5.960762177131404,5.657033013294472,5.525220471307856
141,7.100206994411539,7.480439616780708,7.066592031225032,7.003701396239974
142,7.393945228344788,7.458121175850802,7.245039186691675,7.081953008849074
143,7.42908245246142,7.623557746979147,7.252872951631959,7.146356298019217
144,4.464323251942326,4.610331450078984,4.410622236512466,4.271656588561627
145,9.278033629653146,9.60413958191116,9.290054047392402,9.115966011118145
146,7.952322783025532,8.142598162396173,7.901374385927947,7.666763661929555
147,8.232118703903959,8.542148312569292,8.2402780929045,7.908105598013395
149,9.185347689349696,10.44191423442336,9.281917719429748,9.230309968376288
151,7.344818851130047,7.632577497793097,7.242401578882219,7.01870439289635
152,9.289027885466854,9.556466600461048,9.082775020547066,8.948400198260348
153,7.144227962141644,7.395683762818463,7.08415339522199,6.9947210287138
154,11.388795809541158,11.80961929259817,11.239472176674552,11.069022252970496
156,8.421876762547402,8.987851324226867,8.522995178837403,8.390541851652472
157,9.034212093408636,9.410833773445905,8.893684459947595,8.70629914704142
158,7.483367275506049,7.774412591442567,7.398505475823131,7.2446026240944015
159,6.631831111260024,6.713372455639649,6.488744660257317,6.394668568848861
160,7.932787148464191,8.292251940569049,7.877664735840478,7.793721211640988
161,7.68059211593981,7.971029000498569,7.633907072414608,7.542083853389287
162,6.526310427920641,6.945720909366534,6.539453054525828,6.478497684259072
163,12.940298313484998,13.765396608230429,12.778013281709253,12.646701677532898
164,10.8603322820096,11.406240990619258,10.834052082452308,10.520699500088051
165,5.555531508276963,5.83736377467875,5.565388024845377,5.432381966281066
166,5.147566127087182,5.288245500431972,5.210192591015476,5.128523997090266
167,8.283610180446388,8.535073825926187,8.120025655631844,7.898483726146613
169,14.715575799903302,14.956171216397593,14.088561438571816,13.948794549023912
173,6.219443895369888,6.341165786493663,6.006110934770449,5.974959021803322
174,5.611811446802358,5.933159446787265,5.595173902526086,5.375126629304416
175,8.160356766747658,8.426214899636198,8.003214743227732,7.796428106594843
