,Theta_C1,Theta_C2,Theta_C3,Theta_C4
0,1292.4706177795547,1350.3385918095944,1241.605798832561,1263.6764580988593
1,677.361849570219,724.5583503563536,617.6107970419163,649.9016912622832
2,1168.62272076949,1264.6959579855416,1202.1439564330076,1181.742361715678
3,1424.40300224614,1496.6151881144583,1308.0077864083914,1371.3663945677863
4,542.9399023098174,562.5097010133998,539.6368619313095,523.6481523446425
5,197.87789496944455,214.2453730791985,201.18032949800823,202.82112901704343
6,129.5813425549812,138.97769630358334,136.14880660958974,134.0677576069996
7,119.07141772940096,130.14405672580494,120.14771877480908,119.31914052841086
8,225.23401958753144,230.8686004584356,212.28388188480403,218.458051670101
9,85.86000786246564,92.70249617220792,89.8597231595848,90.2840627196952
10,154.2390401102754,170.7137759403937,152.06564805785777,156.6144853385935
11,140.44857302004138,146.27197680949797,126.93751287172718,129.6374593785393
12,240.72056605034663,240.3471373719706,240.8164384179537,235.283031414234
13,206.14415820629583,219.7319655186241,204.4684301399677,211.7529640846089
14,132.50369653498478,148.92072643400263,130.10335634290146,140.2597779368234
15,205.3317473226768,218.54021708678624,204.8932533956651,205.6450087702584
16,159.2241911497889,172.77069322215306,169.81971370187014,176.98129420431752
17,128.05439227433814,135.20611638992943,138.6932586135414,139.94040469515463
18,131.67704200249975,134.2073623212534,122.13326503359936,135.9292035300321
19,1942.203402661248,2069.278611451656,1914.263214951904,1976.315967891387
20,179.3630467027417,199.1677919207402,185.1550638946487,201.2057261335493
21,134.30208267805062,146.74651273421432,131.2714632459376,136.14773314731755
22,279.97738718722474,289.664582398374,263.89587531263743,277.11753320440414
23,144.53706897211757,157.79431313692842,146.12087903100365,144.2868990298989
24,169.61715460622466,178.53756061710237,165.85157389359895,169.75999391858747
25,90.25736366931092,101.28059108600618,94.00536010416415,100.22788759859198
26,187.19722438706947,192.3138109430144,186.82906275996308,192.5196408606972
27,190.65260702507635,198.9766934567056,180.208242588395,188.22591619256056
30,216.60354384176745,219.01181762357416,209.1016038438348,217.4928097172904
32,303.6902478571787,322.6601228030251,282.2874580325489,296.1061290401751
34,860.5855889722759,929.616291476789,865.9694709863079,885.6796880965819
37,346.8849418469343,364.3113446664962,341.16450432819323,363.4163025650549
38,257.2597862107698,282.8433716990382,252.95201218574303,239.11713505787844
39,264.07045682720315,288.8562416509124,258.5817741302087,272.02444521180166
40,303.00730442918444,312.10129079445426,309.6511235270464,314.0724395698062
41,211.88165560890047,225.3103380989907,213.82673991259517,211.64943583005785
42,196.96872391918592,209.9388438688621,227.51911796844848,233.7615799518936
43,265.8172174725915,289.6305376735719,264.9139434650086,270.82450342400097
44,527.0473684771795,573.2020613690556,523.3647958112069,538.3989507925992
45,172.40489133645062,176.03396308629016,178.35301262352172,190.7530996975151
46,237.0227983684869,249.7086728846172,231.53572082213395,250.90673805906755
47,277.97539603591326,294.19749657512006,261.77146300951733,277.56745189429523
48,240.0937097281334,256.84917900206045,241.64448079794263,239.7101576477108
49,195.1093786052028,199.86968667167517,183.62457882113725,187.5303043319168
50,244.41042067359425,255.16805155326168,239.0226464247459,241.30067077686303
51,299.2889249984256,303.6103425502876,294.74920719243534,304.2714263013584
52,232.46697459481243,249.5802349402074,236.48689361752017,246.37212224723976
53,301.574686599136,327.81890813549296,298.0062959548008,298.6610198106561
54,295.02968741190904,302.9024357555876,288.42516733657993,295.59290860563215
55,203.10130796821025,211.59796770972216,203.2664814148592,198.4837369459804
56,211.84215439828995,228.0547161119164,200.1152019149506,212.79008641841548
57,381.5419178779018,404.3044177092459,367.2690508041272,388.527767047605
58,286.38045102105013,315.3603198523089,295.74171294613865,293.6298058111095
62,220.5674964352365,229.5808126318017,208.52352517012747,218.7475409231265
66,306.02011538599777,321.3072824706354,311.1896257837731,309.9738938671869
68,219.9524287852818,238.39977409492565,226.4777689940804,231.40329751156065
72,207.66478007105752,229.10510393411468,207.9518432486517,215.03919107281763
73,638.2120502290552,666.588357912612,627.8862601060238,628.4457531354
74,450.6886496301807,480.44007565124286,442.930830150488,449.9478050649221
76,231.66524897904327,243.97109889941785,224.0921275347308,231.3314139296592
77,205.0366425502631,221.2164467698359,201.2399525382682,209.2733866289864
78,218.11097221187765,230.87526624596117,215.89586359456624,218.9035581324221
79,380.8773077583626,399.9789105334711,374.2794748639967,375.8016179463608
80,222.9668997756887,235.92856428466268,208.86924210556717,218.2996438258967
81,474.61888856261726,502.28783321413385,439.2510052487456,457.862946316951
82,251.1135334359689,264.53419872040143,238.90451465290187,244.50972575841
83,265.55630199904573,269.2455781542367,251.79148077247015,252.82704709135265
85,181.1808578485773,196.08661494981908,179.55787251710333,191.7502887227081
86,225.34665462835977,244.5484303783141,224.44306599291576,231.33323529256185
87,228.0491639530925,232.15307049213493,229.97673227855063,226.50766861194631
88,569.1158545263812,637.9319890753967,578.5539774260183,579.3828299200351
89,278.09519097080096,298.9054083933379,259.0061102561366,278.4701520941144
90,367.4404337705997,377.3370394995884,333.25807629363607,357.084207823813
94,605.2365472513577,631.4217810701363,584.8604965341792,594.0332265941123
95,680.8076369793597,721.1697513679449,700.6261742654633,716.8607012053
96,571.7026775492477,633.7494858140169,554.58887952845,593.7076776395802
100,456.817282575078,478.83173813706776,463.3335168482407,466.240139048669
101,548.9363030962259,607.9576517552862,566.7479591579711,598.439671744656
102,804.6357769023946,859.0480078788029,745.5684076989392,766.3911698995124
103,1173.1440726397557,1260.1869839848137,1191.6305862325198,1233.9987257230496
104,551.8382814345517,576.5121710266187,535.3440435245168,550.9433903280209
105,568.3341351254999,594.7734390647598,545.0814835169167,556.4779452436926
108,1325.9050636320314,1388.7481620041922,1281.0793022321602,1275.102596107397
109,332.5705862456232,356.6902473787766,311.3233308251535,332.06559877402185
110,302.5712425992741,327.7577290449342,312.00545940373496,317.40267415325167
111,403.8092473167533,443.13158501876296,405.5077480919349,424.12423212373255
112,929.4733851941731,1004.6659234373066,898.4870582554839,924.4568960182904
114,1546.809721748578,1674.5431599403823,1539.4328377959628,1574.7244570651756
115,469.4124876226504,500.5755642685451,465.7558065196413,483.5054321502873
116,489.4145589761976,535.3923914805755,496.10819315332685,524.3999161617817
