,Delta_C1,Delta_C2,Delta_C3,Delta_C4
0,6219.292066939575,8678.804429883536,10910.23396774391,6146.814130674843
1,37702.63032494573,44618.81826812204,14364.626173293567,35044.6350986062
2,13022.319299071598,12957.492017733462,5475.223698611428,12710.294741362311
3,487.3167269645027,307.0834190806995,1324.0874301394265,1130.4323523365215
4,5546.071939792906,4951.666279423512,2545.862620780624,4425.258821497423
5,2249.265728841562,509.5811582523569,1223.6996556858244,1033.1404547564475
6,2255.798837477249,457.9180149165045,2000.546840921864,1645.031864020907
7,3258.6042258297352,631.9418761223361,2307.2676501006363,1956.6250474832243
8,3740.584543163792,1165.51998354315,3060.969421671876,2939.8498045793617
9,3850.327422837185,1494.9219747310012,3953.7497149963833,3699.695999089749
10,8221.239906773284,4903.000053629479,5462.617762153782,6880.811166514457
11,8389.03510561592,3277.777244756629,5205.810526191352,5667.576290864115
12,9639.488017382402,8371.359858839991,9041.788036814827,11383.600688668275
13,8370.331038248965,7579.063661718087,9102.320948195384,10579.837434199011
14,9159.020726666926,5346.197446786756,8497.872150748964,8262.712764561444
15,30805.19279390779,18294.89074700201,12566.661918285838,21023.971769974836
16,12011.68241025618,10806.539843926024,12557.923570266352,14174.096702692796
17,22544.719968356967,16971.063708556343,13792.161634809185,19899.78203763216
18,36330.31447187364,34933.29560519894,21412.68760549416,36301.37483985553
19,59008.87130186497,48023.084499269775,25658.87905402198,52383.48526346019
20,111308.81129333096,333360.9769607324,138321.8907880177,281545.88721786684
21,18945.525102870943,15254.79078849288,18981.835995302383,19873.56189396888
22,22193.801543868256,16455.07781258575,20373.743794016133,20310.806982056
23,35661.911191722415,34890.34717701235,27150.37834662144,35381.52050404156
24,75031.88605667115,106975.03377590208,47851.05647364238,93757.82940089532
25,31382.458630730136,19765.493757170152,25568.152334076407,25409.08849676203
26,60542.23408920199,27077.47297714494,28066.39394844711,30361.163842934857
27,40940.00315985678,41032.39610379025,38495.967265404965,44632.26345058416
28,37176.9017567042,30966.125028624985,33617.93773839694,35159.97378435221
29,42553.32238898821,31289.680319550214,35246.85339439307,34792.51657530475
30,38071.01648930166,42378.22208891428,42388.79399465449,45593.33992213508
31,38028.20483119424,48010.25587197734,45401.846870630216,51843.36251620302
32,49920.19467498049,38863.098862063685,43143.08182234672,41300.00732957114
33,48663.61532285142,43539.31077181107,46180.82402671854,46647.06703401564
34,55370.57058429368,44412.81101722692,47153.836521123776,47734.23867512352
35,60685.59779176929,61976.87194014223,58064.4285126585,64429.83452649508
36,50058.64842734244,69538.73048263894,65020.8573126881,71088.44869110048
37,71310.07901945923,75676.9842915277,65242.664736821534,77351.79262219186
38,69149.55837655024,102896.36610978276,76399.54181677777,104201.37341945388
39,66519.06088862832,62222.02988779253,67172.74945227035,67050.53197570234
40,72430.16000687661,66585.9684091972,62596.67856446956,68905.14114113082
41,80644.72846753217,79003.32262153608,74641.17376998856,81271.11433181528
42,83353.54379910504,77097.19950552321,77475.5902049598,78113.2854117944
43,88531.2414373021,90931.09639278815,83938.14923172121,91538.7123502642
44,88127.06926007815,79783.47767407521,82345.10964080536,82786.53661115092
45,89942.12449805412,85802.74201139991,86471.00711372947,88073.59498291882
46,103703.98888667574,83428.66013829349,86301.86121228749,85064.70839497706
47,94885.54457769023,96314.96218300314,97231.5094406222,99051.7111442981
48,95758.15699350284,104762.05043596197,102383.85740155568,105501.85914008893
49,100270.9078439963,108493.5710638811,106483.21907682635,109572.62012477338
50,109782.78504611755,107807.1535668914,106877.94193739053,109171.12233308544
51,116528.20590833656,108880.52398927978,109779.60744522105,111069.99767818526
52,117893.20234939449,116770.57470943482,116175.80298969676,118519.05258043308
53,125880.8065237267,119027.67157261482,121025.82759546726,120884.60858270492
54,134062.98702509975,129194.22974216397,125108.50360246036,128919.30566111208
55,125859.047175004,147215.65854691353,135672.05428010147,146465.51349598047
56,140808.0519806775,141998.93281010742,139034.47805839387,144621.9057132372
57,132852.89277285847,153542.81451394747,144972.17030310832,153830.95779233903
58,150747.17529799117,148183.0273013213,142362.19502645155,149612.55190630924
59,137285.3915802581,171669.06872263565,167408.44536522904,170297.29852596714
60,149315.68761513746,168315.4259143879,165437.80287420933,167164.11782103585
61,160047.40790381783,169631.1564338096,169818.67436217857,169375.02959973004
62,162387.27816384923,174179.38817220952,169648.187146316,172662.54201482006
63,162935.3870935717,189544.8438530898,179644.9724818382,186539.8267144946
64,194776.40942144973,172051.76341671913,176601.4035049467,170591.73597574022
65,168654.17368428982,205778.62696583683,195275.2345538117,203957.64455759517
66,203687.89143026448,187324.81186309815,185388.32334926783,187932.7898393617
72,217063.5794594447,272699.95674334414,238617.76997578584,270582.7453031516
73,214207.8879385942,258315.1336947754,239825.0429086293,254409.4763645641
74,240730.58915233187,238568.83859943665,238160.91990148465,236084.92622731716
75,246659.0932465035,244725.59230110867,247037.8616145936,243404.04899523733
76,253883.0530602121,251036.42736841316,252051.0614568994,250168.24249157164
78,167.72076626268012,155.0065567563365,23.75603864247389,160.54672367253394
79,21436.559537135818,21358.27255346576,2859.235651127858,20426.72691625331
80,67578.17553647782,65580.35770817715,9554.610004312965,64412.813516466005
81,16456.68451942648,16188.71970715952,3061.1093068043974,15085.650124765152
82,18988.16205367481,19024.39879190859,3534.164711731694,18164.398006180847
83,11753.114162108375,10623.504548887871,2007.4043966700624,10141.52365240123
84,18784.918744889477,19789.99545504565,4840.55269644917,18615.49058281808
85,9417.059631318516,11235.516925053364,3903.1875119823,10151.726574262528
86,14065.376151036162,26832.4930056876,7858.756916178675,24195.887711407475
87,19495.66115580852,20713.743433004107,5912.084188312658,19414.54467547193
88,9984.36743401869,12747.583998984685,6546.848645688415,11714.600040839092
89,59607.11541109615,67083.95434220604,12728.255512235692,60368.806237884266
90,18471.46768714156,3466.7132694269767,3843.77823771953,3493.0772107241287
91,28163.33637578729,30369.98385511689,11433.52092304427,29261.4238729112
92,85539.84698768085,72721.57931230191,14483.33434051034,67511.61039799996
93,256989.68839409365,258366.61075329772,31661.637848684848,234459.33020590543
94,13937.253910315643,19436.518288176077,13188.04019917036,18637.92180525957
95,13657.294806717944,23039.445239182634,15324.74115179252,21649.693926609263
96,23973.74277602182,14035.31155840229,13323.980745208137,13752.414077770558
97,19073.949315100428,21358.448906415502,16649.011808513238,20039.43885006099
98,31060.40511508474,29561.118659602867,17425.925110523873,28044.503509210677
99,14184.858484964863,55849.9679742122,25935.03745937168,52473.21905062889
100,24625.369708828628,21724.07026092751,20921.938042173588,21237.622003664525
101,21993.493102243,31049.986523126983,26109.871428722225,30537.23388654998
102,28509.166709315075,29983.376884530477,26161.25171168133,27341.78660256686
103,31997.592405963755,29054.33087696882,28222.567386163057,28088.259109487302
104,40914.62501507991,34520.20894919714,29906.03407343715,32902.03232435621
105,42138.48565563244,31421.22560098414,30990.59348333778,30296.051645195093
106,30753.385712630672,70709.1473702969,39320.7201259666,67684.36522598259
107,36681.57883106517,97578.98930737146,46892.29739363072,95494.43379565966
108,39624.09452516617,54230.15529707487,41226.55643957872,51760.359520511
109,32920.472367812734,58238.52783163125,44208.49124211758,56716.32979005126
110,50912.24461965782,41501.38243897569,42800.01750945608,41905.53516789895
111,47600.18614630293,52945.1027746195,48088.31916947896,53357.55707538541
112,83899.45354734572,61417.26972957338,48231.09131094617,59635.4880160234
113,71414.99732997565,75748.55578875424,55635.38292317093,73268.65700759731
114,59099.37431718172,56936.632423162,52943.75158244208,57174.047522860485
115,58552.647315622366,65895.64259964252,57498.50304387908,66675.76602440646
116,72117.8778925186,54816.05206024338,60747.36578919093,54957.60740148277
117,64821.391411472905,76502.65258866656,66869.89376298465,76450.65676699035
118,64831.25285217933,75647.06602104068,70163.14378901871,75653.449632844
119,73615.0059854711,73065.88228396383,71416.27161392527,73661.77697032517
120,84582.26529152472,85074.81499033677,77293.68150549776,83687.54065216043
121,77519.85334373993,82429.08613571557,80850.25896784864,82739.05826886631
122,82699.01158465997,83311.23693096993,83598.58934961593,83991.18458707094
123,95085.36691105465,89409.38332728842,87678.68208605783,90106.5848925825
124,99895.01866755744,103407.39128888796,90730.69521274354,103756.66320783387
125,95745.9067906491,94018.71101974176,94343.55038642736,95024.97340037025
126,105594.35717403948,94793.35300561384,100704.22040469086,94008.7693721519
127,118906.51064711055,95538.83800348637,95406.6606225607,99013.55548925672
128,115559.95530429872,102019.36503376384,103927.60277934684,103781.99428334022
129,113702.18744676354,116866.04498892256,119919.7534152266,118197.30041492032
130,114857.65577681563,118700.7961940966,117907.35285292786,122160.34599075495
131,116083.56937500431,126418.23536482232,119932.30314522477,128188.1082813996
132,123686.0128033484,126048.01511006428,128054.15753919352,130377.36335900328
133,124401.48229018776,135821.42520702642,130511.29577254916,139411.79295641943
134,133890.8518403525,134527.96096203217,135985.70715051758,137128.69852257028
135,144359.68368082755,141629.16527813498,138776.110787456,144967.34145713295
136,147323.05943951805,153005.63804136493,159909.0637336262,152072.132783291
137,154077.9525467106,151929.70548034448,163203.0117598362,152080.9737082121
138,186421.9073778115,150420.81591475848,144829.27658862364,152654.93616463177
139,163993.87730591602,154924.4309181818,154141.66061546144,155863.0001018867
140,164141.44178540783,164751.02913417396,160616.44803618483,166348.62961921486
141,169523.29957851584,169495.91381319566,167820.61092354846,171589.6029121861
142,175083.9537942227,174905.06607266975,171530.43707479126,177533.69863809462
143,180947.14153140355,183610.07065630693,179152.93564556752,185976.4632579776
144,187145.3610215396,183453.45542297728,184152.99800994617,188482.8414017232
145,195561.528107662,191137.66010602983,189601.70648427776,194662.3243460977
146,201182.14402181515,195021.26579599985,192506.32941491285,196730.90227929904
147,199083.2186991304,220608.00696563895,205255.07316609903,221974.69734658653
148,238161.5477223556,201927.8176355554,209174.5929744792,199172.0094423912
149,323571.2176958724,342982.1359416529,223157.3174319678,318688.5159309928
150,257030.9137819981,212961.23797947168,218848.7672611586,209960.8113104408
151,234173.4219704961,225516.1887935798,228587.04616399136,225011.72913964896
152,238320.45641572785,230527.82441229123,227691.1036973552,232281.2258258232
153,243228.78318096747,238009.02902580943,237811.98639987595,241433.09400578
154,246527.4579423889,246903.1739463058,246463.12416136736,249451.7844578027
155,253304.8354165405,253595.50653648976,253775.07453347687,256266.2243012849
157,8306.51758341781,9757.843225128225,734.8896926968869,8511.207914593893
158,7489.506816411448,10691.366713800504,451.7545309892825,7239.704529496065
159,734.4767256742066,368.9191086452284,412.2479675000992,396.0210079545986
160,1210.9252022754893,700.2148515983814,705.5737414423386,733.8230776989371
161,2244.3933986681404,1272.2653388188648,992.1108982982068,1306.5387978909828
162,1659.4684163606016,1971.758608114136,1741.4669947478783,2034.3416163413615
164,3708.743717074887,4632.058541027827,3105.5973285912605,4225.690450345786
165,3764.172135945262,3473.880621905876,3957.724886006648,4248.882435968373
166,5214.26567339927,4761.647585598275,4624.564409546407,4770.007392446594
167,6767.479532559407,5950.5527603458895,5434.240554933735,5894.825035182784
168,6982.959582990025,7314.49252907421,6624.315795305844,7380.18345206467
169,10562.961203288582,13650.45327642836,7953.8222904895,10319.049466532915
170,8917.241736331247,9716.621384129065,8987.594826247496,9804.93600463894
171,10582.419392497524,10558.897328413284,10320.41968833455,10242.900136930084
172,11714.741093863628,12671.83246325528,11411.775964136226,12436.67485097037
173,14265.28309194078,14337.533223744424,13283.712751015251,13633.30933609152
174,20697.748954409737,22054.564228350915,14462.576584640648,20045.480800347985
175,20138.961644592877,96373.5479527042,26753.09233887379,92556.26786369937
176,23489.567917780623,50732.67920217064,20516.249153943656,46408.481827794014
177,29802.938248515253,33894.239568461126,19721.602380060587,40738.00332408381
178,57268.86656592971,40217.73940850886,27883.904647259533,38072.76689916326
